Entity,Code,Year,Ozone concentration (parts per billion)
Afghanistan,AFG,1990,62
Afghanistan,AFG,1995,62
Afghanistan,AFG,2000,62
Afghanistan,AFG,2005,62
Afghanistan,AFG,2010,63
Afghanistan,AFG,2013,63
Afghanistan,AFG,2015,63
Albania,ALB,1990,72
Albania,ALB,1995,71
Albania,ALB,2000,70
Albania,ALB,2005,69
Albania,ALB,2010,68
Albania,ALB,2013,68
Albania,ALB,2015,68
Algeria,DZA,1990,67
Algeria,DZA,1995,68
Algeria,DZA,2000,69
Algeria,DZA,2005,69
Algeria,DZA,2010,70
Algeria,DZA,2013,70
Algeria,DZA,2015,70
Andorra,AND,1990,65
Andorra,AND,1995,65
Andorra,AND,2000,65
Andorra,AND,2005,63
Andorra,AND,2010,61
Andorra,AND,2013,60
Andorra,AND,2015,59
Angola,AGO,1990,80
Angola,AGO,1995,81
Angola,AGO,2000,81
Angola,AGO,2005,83
Angola,AGO,2010,85
Angola,AGO,2013,87
Angola,AGO,2015,88
Antigua and Barbuda,ATG,1990,41
Antigua and Barbuda,ATG,1995,41
Antigua and Barbuda,ATG,2000,41
Antigua and Barbuda,ATG,2005,41
Antigua and Barbuda,ATG,2010,41
Antigua and Barbuda,ATG,2013,41
Antigua and Barbuda,ATG,2015,41
Argentina,ARG,1990,36
Argentina,ARG,1995,37
Argentina,ARG,2000,38
Argentina,ARG,2005,38
Argentina,ARG,2010,39
Argentina,ARG,2013,40
Argentina,ARG,2015,40
Armenia,ARM,1990,62
Armenia,ARM,1995,62
Armenia,ARM,2000,62
Armenia,ARM,2005,62
Armenia,ARM,2010,62
Armenia,ARM,2013,62
Armenia,ARM,2015,62
Australia,AUS,1990,36
Australia,AUS,1995,36
Australia,AUS,2000,36
Australia,AUS,2005,36
Australia,AUS,2010,36
Australia,AUS,2013,36
Australia,AUS,2015,36
Austria,AUT,1990,63
Austria,AUT,1995,62
Austria,AUT,2000,61
Austria,AUT,2005,60
Austria,AUT,2010,60
Austria,AUT,2013,59
Austria,AUT,2015,59
Azerbaijan,AZE,1990,60
Azerbaijan,AZE,1995,59
Azerbaijan,AZE,2000,59
Azerbaijan,AZE,2005,59
Azerbaijan,AZE,2010,59
Azerbaijan,AZE,2013,59
Azerbaijan,AZE,2015,59
Bahamas,BHS,1990,50
Bahamas,BHS,1995,50
Bahamas,BHS,2000,50
Bahamas,BHS,2005,50
Bahamas,BHS,2010,50
Bahamas,BHS,2013,49
Bahamas,BHS,2015,49
Bahrain,BHR,1990,90
Bahrain,BHR,1995,95
Bahrain,BHR,2000,100
Bahrain,BHR,2005,103
Bahrain,BHR,2010,105
Bahrain,BHR,2013,106
Bahrain,BHR,2015,107
Bangladesh,BGD,1990,59
Bangladesh,BGD,1995,61
Bangladesh,BGD,2000,63
Bangladesh,BGD,2005,66
Bangladesh,BGD,2010,70
Bangladesh,BGD,2013,72
Bangladesh,BGD,2015,74
Barbados,BRB,1990,39
Barbados,BRB,1995,39
Barbados,BRB,2000,39
Barbados,BRB,2005,39
Barbados,BRB,2010,39
Barbados,BRB,2013,39
Barbados,BRB,2015,39
Belarus,BLR,1990,55
Belarus,BLR,1995,53
Belarus,BLR,2000,52
Belarus,BLR,2005,51
Belarus,BLR,2010,51
Belarus,BLR,2013,51
Belarus,BLR,2015,51
Belgium,BEL,1990,49
Belgium,BEL,1995,50
Belgium,BEL,2000,52
Belgium,BEL,2005,52
Belgium,BEL,2010,53
Belgium,BEL,2013,54
Belgium,BEL,2015,54
Belize,BLZ,1990,46
Belize,BLZ,1995,46
Belize,BLZ,2000,46
Belize,BLZ,2005,46
Belize,BLZ,2010,46
Belize,BLZ,2013,46
Belize,BLZ,2015,46
Benin,BEN,1990,70
Benin,BEN,1995,71
Benin,BEN,2000,71
Benin,BEN,2005,72
Benin,BEN,2010,71
Benin,BEN,2013,71
Benin,BEN,2015,71
Bhutan,BTN,1990,55
Bhutan,BTN,1995,56
Bhutan,BTN,2000,58
Bhutan,BTN,2005,61
Bhutan,BTN,2010,65
Bhutan,BTN,2013,67
Bhutan,BTN,2015,69
Bolivia,BOL,1990,50
Bolivia,BOL,1995,50
Bolivia,BOL,2000,51
Bolivia,BOL,2005,54
Bolivia,BOL,2010,58
Bolivia,BOL,2013,61
Bolivia,BOL,2015,62
Bosnia and Herzegovina,BIH,1990,69
Bosnia and Herzegovina,BIH,1995,68
Bosnia and Herzegovina,BIH,2000,67
Bosnia and Herzegovina,BIH,2005,66
Bosnia and Herzegovina,BIH,2010,65
Bosnia and Herzegovina,BIH,2013,65
Bosnia and Herzegovina,BIH,2015,64
Botswana,BWA,1990,55
Botswana,BWA,1995,55
Botswana,BWA,2000,56
Botswana,BWA,2005,57
Botswana,BWA,2010,58
Botswana,BWA,2013,58
Botswana,BWA,2015,59
Brazil,BRA,1990,44
Brazil,BRA,1995,44
Brazil,BRA,2000,44
Brazil,BRA,2005,46
Brazil,BRA,2010,50
Brazil,BRA,2013,52
Brazil,BRA,2015,53
Brunei,BRN,1990,42
Brunei,BRN,1995,39
Brunei,BRN,2000,37
Brunei,BRN,2005,37
Brunei,BRN,2010,39
Brunei,BRN,2013,39
Brunei,BRN,2015,40
Bulgaria,BGR,1990,66
Bulgaria,BGR,1995,66
Bulgaria,BGR,2000,66
Bulgaria,BGR,2005,65
Bulgaria,BGR,2010,65
Bulgaria,BGR,2013,65
Bulgaria,BGR,2015,65
Burkina Faso,BFA,1990,52
Burkina Faso,BFA,1995,52
Burkina Faso,BFA,2000,52
Burkina Faso,BFA,2005,52
Burkina Faso,BFA,2010,52
Burkina Faso,BFA,2013,52
Burkina Faso,BFA,2015,52
Burundi,BDI,1990,54
Burundi,BDI,1995,54
Burundi,BDI,2000,54
Burundi,BDI,2005,53
Burundi,BDI,2010,53
Burundi,BDI,2013,53
Burundi,BDI,2015,53
Cambodia,KHM,1990,40
Cambodia,KHM,1995,41
Cambodia,KHM,2000,42
Cambodia,KHM,2005,45
Cambodia,KHM,2010,47
Cambodia,KHM,2013,49
Cambodia,KHM,2015,50
Cameroon,CMR,1990,67
Cameroon,CMR,1995,67
Cameroon,CMR,2000,67
Cameroon,CMR,2005,67
Cameroon,CMR,2010,67
Cameroon,CMR,2013,67
Cameroon,CMR,2015,67
Canada,CAN,1990,58
Canada,CAN,1995,58
Canada,CAN,2000,58
Canada,CAN,2005,57
