Entity,Code,Year,All staff compensation as % of total expenditure in primary public institutions (%) (%)
Algeria,DZA,2013,95.5899124145508
Andorra,AND,2006,52.6699714660645
Andorra,AND,2007,53.9326095581055
Andorra,AND,2008,54.2162017822266
Andorra,AND,2009,43.9842414855957
Andorra,AND,2010,45.4335289001465
Andorra,AND,2011,45.9142417907715
Andorra,AND,2012,55.2552108764648
Andorra,AND,2013,54.7799491882324
Andorra,AND,2014,62.1585807800293
Angola,AGO,2006,59.6223907470703
Antigua and Barbuda,ATG,2002,93.4801177978516
Argentina,ARG,1998,89.5703887939453
Argentina,ARG,2001,85.5625228881836
Argentina,ARG,2002,88.6273880004883
Argentina,ARG,2003,88.2546615600586
Argentina,ARG,2004,87.3373718261719
Argentina,ARG,2005,88.4306411743164
Argentina,ARG,2006,88.8407211303711
Argentina,ARG,2007,86.4004287719727
Argentina,ARG,2008,86.1512298583984
Argentina,ARG,2009,86.697639465332
Argentina,ARG,2010,85.3558731079102
Argentina,ARG,2011,86.5305480957031
Argentina,ARG,2013,88.5589904785156
Armenia,ARM,2012,90.5188369750977
Aruba,ABW,1998,95.6121063232422
Aruba,ABW,2005,94.979133605957
Aruba,ABW,2008,94.3023681640625
Aruba,ABW,2009,95.1508865356445
Australia,AUS,2000,75.6974105834961
Australia,AUS,2005,74.1998977661133
Australia,AUS,2006,72.9349365234375
Australia,AUS,2007,72.5878219604492
Australia,AUS,2008,71.129997253418
Australia,AUS,2009,61.4170913696289
Australia,AUS,2010,56.3944816589355
Australia,AUS,2011,63.7757415771484
Australia,AUS,2012,72.4217376708984
Australia,AUS,2013,71.8931579589844
Austria,AUT,1998,72.1869201660156
Austria,AUT,1999,71.8436889648438
Austria,AUT,2000,70.7015609741211
Austria,AUT,2001,71.674919128418
Austria,AUT,2002,70.791862487793
Austria,AUT,2003,75.3139419555664
Austria,AUT,2004,71.87841796875
Austria,AUT,2005,71.6166915893555
Austria,AUT,2006,72.5233917236328
Austria,AUT,2007,73.7077484130859
Austria,AUT,2008,73.2199325561523
Austria,AUT,2009,73.5822677612305
Austria,AUT,2010,73.2995986938477
Austria,AUT,2011,72.171760559082
Austria,AUT,2012,74.1951293945313
Austria,AUT,2013,72.8060302734375
Bahrain,BHR,2014,91.4407272338867
Bangladesh,BGD,2008,59.4136199951172
Bangladesh,BGD,2009,53.3869590759277
Barbados,BRB,1999,75.9070892333984
Barbados,BRB,2000,80.7342224121094
Barbados,BRB,2001,77.7979431152344
Barbados,BRB,2002,62.5546417236328
Barbados,BRB,2003,65.0165405273438
Barbados,BRB,2004,66.8191909790039
Barbados,BRB,2005,78.593017578125
Barbados,BRB,2007,77.1904373168945
Belarus,BLR,2004,70.3447113037109
Belarus,BLR,2005,72.494270324707
Belarus,BLR,2006,73.4852066040039
Belgium,BEL,2001,84.072998046875
Belgium,BEL,2002,85.9363708496094
Belgium,BEL,2003,87.69921875
Belgium,BEL,2004,87.383430480957
Belgium,BEL,2005,87.5068435668945
Belgium,BEL,2006,86.5211715698242
Belgium,BEL,2007,85.9927520751953
Belgium,BEL,2008,82.7441711425781
Belgium,BEL,2009,84.0260467529297
Belgium,BEL,2010,85.4028091430664
Belgium,BEL,2011,85.6186065673828
Belgium,BEL,2012,83.2013092041016
Belize,BLZ,2000,68.5404205322266
Belize,BLZ,2001,87.0726013183594
Benin,BEN,1998,64.0754928588867
Benin,BEN,2007,69.2014236450195
Benin,BEN,2008,79.3942413330078
Benin,BEN,2009,87.24658203125
Benin,BEN,2010,79.6481399536133
Benin,BEN,2012,62.7045097351074
Benin,BEN,2013,71.8514633178711
Benin,BEN,2014,74.7281723022461
Bhutan,BTN,2013,27.2772808074951
Bolivia,BOL,2008,23.3398399353027
Bolivia,BOL,2009,72.4104232788086
Bolivia,BOL,2011,88.6950912475586
Bolivia,BOL,2012,82.0218505859375
Bolivia,BOL,2014,81.9348526000977
Botswana,BWA,2009,92.6106033325195
Brazil,BRA,1998,75.035758972168
Brazil,BRA,1999,70.0729370117188
Brazil,BRA,2000,71.154182434082
Brazil,BRA,2001,71.6442031860352
Brazil,BRA,2002,72.4647369384766
Brazil,BRA,2004,65.8601989746094
Brazil,BRA,2005,69.1419372558594
Brazil,BRA,2006,67.9788284301758
Brazil,BRA,2007,66.7995071411133
Brazil,BRA,2008,67.1320724487305
Brazil,BRA,2009,69.2509765625
Brazil,BRA,2010,64.8400497436523
Brazil,BRA,2011,67.8898086547852
Brazil,BRA,2012,66.5770263671875
Brazil,BRA,2013,68.6870803833008
Bulgaria,BGR,2001,75.4271469116211
Bulgaria,BGR,2002,75.2325134277344
Bulgaria,BGR,2003,71.9420700073242
Bulgaria,BGR,2004,77.2372665405273
Bulgaria,BGR,2005,60.1131210327148
Bulgaria,BGR,2006,59.6522407531738
Bulgaria,BGR,2007,57.6665115356445
Bulgaria,BGR,2008,66.9128570556641
Bulgaria,BGR,2009,60.8817481994629
Bulgaria,BGR,2010,68.0192031860352
Bulgaria,BGR,2011,68.4106903076172
Bulgaria,BGR,2012,69.6231002807617
Burkina Faso,BFA,2007,55.0932884216309
Burkina Faso,BFA,2010,90.1675796508789
Burkina Faso,BFA,2011,50.9739608764648
Burkina Faso,BFA,2012,55.8693389892578
Burkina Faso,BFA,2013,50.9404792785645
Burkina Faso,BFA,2014,51.1430206298828
Burundi,BDI,1999,95.518180847168
Burundi,BDI,2001,97.3964309692383
Burundi,BDI,2002,85.4185333251953
Burundi,BDI,2004,64.1795501708984
Burundi,BDI,2008,73.0154876708984
Burundi,BDI,2009,69.6530303955078
Burundi,BDI,2010,74.7388916015625
Burundi,BDI,2011,86.0984420776367
Cambodia,KHM,2012,59.4263687133789
Cameroon,CMR,2008,72.2361068725586
Cameroon,CMR,2009,62.1455612182617
Cameroon,CMR,2010,80.2456207275391
Cameroon,CMR,2011,85.9078369140625
Cameroon,CMR,2012,80.3956680297852
Cameroon,CMR,2013,78.8694305419922
Canada,CAN,2012,73.6899795532227
Cape Verde,CPV,2002,83.6042861938477
Cape Verde,CPV,2004,85.5669937133789
Cape Verde,CPV,2005,88.1696472167969
Cape Verde,CPV,2006,80.9121704101563
Cape Verde,CPV,2008,88.2566833496094
Cape Verde,CPV,2009,83.2013320922852
Cape Verde,CPV,2013,96.1619720458984
Cayman Islands,CYM,2006,98.8713836669922
Central African Republic,CAF,2005,92.2208480834961
Central African Republic,CAF,2007,96.3862228393555
Central African Republic,CAF,2010,99.2179565429688
Chad,TCD,2009,51.6050491333008
Chad,TCD,2011,64.9352035522461
Chile,CHL,1998,57.0692100524902
Chile,CHL,1999,55.1031684875488
Chile,CHL,2002,51.3706893920898
Chile,CHL,2003,62.8241806030273
Chile,CHL,2004,67.5563507080078
Chile,CHL,2005,87.2618637084961
Chile,CHL,2006,86.9166488647461
Chile,CHL,2007,86.0279083251953
Chile,CHL,2008,87.7878265380859
Chile,CHL,2009,86.3540420532227
China,CHN,1999,68.0424499511719
Colombia,COL,2004,77.2282409667969
Colombia,COL,2007,80.0655670166016
Colombia,COL,2008,75.2620620727539
Colombia,COL,2009,93.1596984863281
Colombia,COL,2010,89.7009429931641
Colombia,COL,2011,90.3236694335938
Colombia,COL,2012,89.429443359375
Colombia,COL,2013,83.6774063110352
Colombia,COL,2014,87.0362396240234
Comoros,COM,1998,98.4767684936523
Comoros,COM,2002,28.8591899871826
Comoros,COM,2011,99.0418701171875
Comoros,COM,2012,98.9001083374023
Congo,COG,2010,20.2177391052246
Costa Rica,CRI,2006,85.8241500854492
Costa Rica,CRI,2007,78.8545913696289
Costa Rica,CRI,2008,75.9632873535156
Costa Rica,CRI,2009,71.9877319335938
Costa Rica,CRI,2010,70.0702590942383
Costa Rica,CRI,2011,77.3866806030273
Costa Rica,CRI,2012,73.9330062866211
Costa Rica,CRI,2013,74.8002014160156
Costa Rica,CRI,2014,73.9344863891602
Cote d'Ivoire,CIV,2012,95.7522506713867
Cote d'Ivoire,CIV,2014,81.0122985839844
Cuba,CUB,2000,67.6120986938477
Cuba,CUB,2001,61.3900909423828
Cuba,CUB,2002,59.9883613586426
Cuba,CUB,2004,64.0639724731445
Cuba,CUB,2005,63.4985618591309
Cuba,CUB,2006,74.8226623535156
Cuba,CUB,2007,61.2783889770508
Cuba,CUB,2008,60.4496002197266
Cuba,CUB,2009,76.5307083129883
Cuba,CUB,2010,79.7891006469727
Curacao,CUW,2013,89.9987716674805
Cyprus,CYP,2000,85.8902587890625
Cyprus,CYP,2001,81.0645599365234
Cyprus,CYP,2002,80.9917373657227
Cyprus,CYP,2003,77.3042602539063
Cyprus,CYP,2004,79.8948516845703
Cyprus,CYP,2005,77.8130035400391
Cyprus,CYP,2006,77.2359619140625
Cyprus,CYP,2007,77.8774871826172
Cyprus,CYP,2008,75.7604827880859
Cyprus,CYP,2009,77.8550491333008
Cyprus,CYP,2010,77.3159027099609
Cyprus,CYP,2011,77.85009765625
Czech Republic,CZE,1998,59.5063095092773
Czech Republic,CZE,1999,58.5951118469238
Czech Republic,CZE,2000,58.4601516723633
Czech Republic,CZE,2001,61.8001518249512
Czech Republic,CZE,2002,61.5171508789063
Czech Republic,CZE,2003,63.006950378418
Czech Republic,CZE,2004,58.3529510498047
Czech Republic,CZE,2005,59.5783195495605
Czech Republic,CZE,2006,57.9893684387207
Czech Republic,CZE,2007,60.6246681213379
Czech Republic,CZE,2008,59.5077705383301
Czech Republic,CZE,2009,57.9928894042969
Czech Republic,CZE,2010,57.4855690002441
Czech Republic,CZE,2011,56.3063087463379
Czech Republic,CZE,2012,56.2478103637695
Democratic Republic of Congo,COD,2010,97.5764465332031
Democratic Republic of Congo,COD,2013,71.4287033081055
Denmark,DNK,1998,76.8333969116211
Denmark,DNK,1999,71.0146408081055
Denmark,DNK,2000,72.5268936157227
Denmark,DNK,2001,70.411018371582
Denmark,DNK,2002,70.7455368041992
Denmark,DNK,2003,71.3097229003906
Denmark,DNK,2004,72.2281799316406
Denmark,DNK,2005,72.2384719848633
Denmark,DNK,2006,73.1227874755859
Denmark,DNK,2007,74.4958114624023
Denmark,DNK,2008,73.4695587158203
Denmark,DNK,2009,72.7666702270508
Denmark,DNK,2010,72.0762176513672
