Entity,Code,Year,Indicator 2.2.2a: Prevalence of wasting in children under 5 (%) - Past - Unscaled (%)
Afghanistan,AFG,1990,11.372
Afghanistan,AFG,1995,11.411
Afghanistan,AFG,2000,9.097
Afghanistan,AFG,2005,8.326
Afghanistan,AFG,2010,9.11
Afghanistan,AFG,2016,9.326
Albania,ALB,1990,8.782
Albania,ALB,1995,8.687
Albania,ALB,2000,9.805
Albania,ALB,2005,8.455
Albania,ALB,2010,8.813
Albania,ALB,2016,8.626
Algeria,DZA,1990,7.065
Algeria,DZA,1995,9.838
Algeria,DZA,2000,11.094
Algeria,DZA,2005,8.93
Algeria,DZA,2010,6.643
Algeria,DZA,2016,5.227
Andorra,AND,1990,1.235
Andorra,AND,1995,1.207
Andorra,AND,2000,1.128
Andorra,AND,2005,0.969
Andorra,AND,2010,0.947
Andorra,AND,2016,0.918
Angola,AGO,1990,17.998
Angola,AGO,1995,17.724
Angola,AGO,2000,13.747
Angola,AGO,2005,11.814
Angola,AGO,2010,10.082
Angola,AGO,2016,8.433
Antigua and Barbuda,ATG,1990,2.877
Antigua and Barbuda,ATG,1995,2.782
Antigua and Barbuda,ATG,2000,2.611
Antigua and Barbuda,ATG,2005,2.397
Antigua and Barbuda,ATG,2010,2.331
Antigua and Barbuda,ATG,2016,2.256
Argentina,ARG,1990,4.846
Argentina,ARG,1995,4.528
Argentina,ARG,2000,3.914
Argentina,ARG,2005,2.939
Argentina,ARG,2010,2.643
Argentina,ARG,2016,2.399
Armenia,ARM,1990,2.19
Armenia,ARM,1995,2.272
Armenia,ARM,2000,3.033
Armenia,ARM,2005,4.326
Armenia,ARM,2010,4.401
Armenia,ARM,2016,3.886
Australia,AUS,1990,1.56
Australia,AUS,1995,1.597
Australia,AUS,2000,1.208
Australia,AUS,2005,1.05
Australia,AUS,2010,1.007
Australia,AUS,2016,0.93
Austria,AUT,1990,1.297
Austria,AUT,1995,1.253
Austria,AUT,2000,1.155
Austria,AUT,2005,0.982
Austria,AUT,2010,0.972
Austria,AUT,2016,0.938
Azerbaijan,AZE,1990,5.95
Azerbaijan,AZE,1995,5.432
Azerbaijan,AZE,2000,5.09
Azerbaijan,AZE,2005,5.124
Azerbaijan,AZE,2010,5.567
Azerbaijan,AZE,2016,5.428
Bahamas,BHS,1990,2.794
Bahamas,BHS,1995,2.733
Bahamas,BHS,2000,2.518
Bahamas,BHS,2005,2.331
Bahamas,BHS,2010,2.321
Bahamas,BHS,2016,2.255
Bahrain,BHR,1990,7.019
Bahrain,BHR,1995,6.692
Bahrain,BHR,2000,5.369
Bahrain,BHR,2005,3.558
Bahrain,BHR,2010,2.994
Bahrain,BHR,2016,2.677
Bangladesh,BGD,1990,20.505
Bangladesh,BGD,1995,18.708
Bangladesh,BGD,2000,13.395
Bangladesh,BGD,2005,13.23
Bangladesh,BGD,2010,14.492
Bangladesh,BGD,2016,12.621
Barbados,BRB,1990,6.113
Barbados,BRB,1995,6.016
Barbados,BRB,2000,5.72
Barbados,BRB,2005,5.555
Barbados,BRB,2010,5.408
Barbados,BRB,2016,5.264
Belarus,BLR,1990,3.008
Belarus,BLR,1995,2.932
Belarus,BLR,2000,2.949
Belarus,BLR,2005,2.798
Belarus,BLR,2010,2.609
Belarus,BLR,2016,2.519
Belgium,BEL,1990,1.271
Belgium,BEL,1995,1.219
Belgium,BEL,2000,1.135
Belgium,BEL,2005,0.99
Belgium,BEL,2010,0.974
Belgium,BEL,2016,0.921
Belize,BLZ,1990,2.736
Belize,BLZ,1995,2.407
Belize,BLZ,2000,2.448
Belize,BLZ,2005,2.585
Belize,BLZ,2010,2.826
Belize,BLZ,2016,2.739
Benin,BEN,1990,10.467
Benin,BEN,1995,12.874
Benin,BEN,2000,11.331
Benin,BEN,2005,10.385
Benin,BEN,2010,12.175
Benin,BEN,2016,8.87
Bhutan,BTN,1990,4.449
Bhutan,BTN,1995,3.14
Bhutan,BTN,2000,2.895
Bhutan,BTN,2005,5.079
Bhutan,BTN,2010,6.024
Bhutan,BTN,2016,5.714
Bolivia,BOL,1990,3.69
Bolivia,BOL,1995,3.59
Bolivia,BOL,2000,2.852
Bolivia,BOL,2005,2.388
Bolivia,BOL,2010,2.079
Bolivia,BOL,2016,1.877
Bosnia and Herzegovina,BIH,1990,5.353
Bosnia and Herzegovina,BIH,1995,5.983
Bosnia and Herzegovina,BIH,2000,6.668
Bosnia and Herzegovina,BIH,2005,6.246
Bosnia and Herzegovina,BIH,2010,7.015
Bosnia and Herzegovina,BIH,2016,7.342
Botswana,BWA,1990,8.039
Botswana,BWA,1995,7.786
Botswana,BWA,2000,6.539
Botswana,BWA,2005,6.532
Botswana,BWA,2010,6.514
Botswana,BWA,2016,5.888
Brazil,BRA,1990,3.117
Brazil,BRA,1995,3.789
Brazil,BRA,2000,3.803
Brazil,BRA,2005,2.965
Brazil,BRA,2010,2.61
Brazil,BRA,2016,2.477
Brunei,BRN,1990,4.22
Brunei,BRN,1995,4.127
Brunei,BRN,2000,3.82
Brunei,BRN,2005,3.441
Brunei,BRN,2010,3.267
Brunei,BRN,2016,3.118
Bulgaria,BGR,1990,4.197
Bulgaria,BGR,1995,4.201
Bulgaria,BGR,2000,4.267
Bulgaria,BGR,2005,4.072
Bulgaria,BGR,2010,3.843
Bulgaria,BGR,2016,3.724
Burkina Faso,BFA,1990,13.862
Burkina Faso,BFA,1995,13.631
Burkina Faso,BFA,2000,18.67
Burkina Faso,BFA,2005,21.344
Burkina Faso,BFA,2010,17.228
Burkina Faso,BFA,2016,12.786
Burundi,BDI,1990,9.746
Burundi,BDI,1995,10.189
Burundi,BDI,2000,9.43
Burundi,BDI,2005,8.699
Burundi,BDI,2010,6.415
Burundi,BDI,2016,6.095
Cambodia,KHM,1990,10.716
Cambodia,KHM,1995,10.71
Cambodia,KHM,2000,12.363
Cambodia,KHM,2005,11.94
Cambodia,KHM,2010,10.624
Cambodia,KHM,2016,9.27
Cameroon,CMR,1990,4.591
Cameroon,CMR,1995,5.877
Cameroon,CMR,2000,7.327
Cameroon,CMR,2005,6.934
Cameroon,CMR,2010,6.077
Cameroon,CMR,2016,5.199
Canada,CAN,1990,0.74
Canada,CAN,1995,0.725
Canada,CAN,2000,0.727
Canada,CAN,2005,0.679
Canada,CAN,2010,0.672
Canada,CAN,2016,0.654
Cape Verde,CPV,1990,5.919
Cape Verde,CPV,1995,6.526
Cape Verde,CPV,2000,6.108
Cape Verde,CPV,2005,5.352
Cape Verde,CPV,2010,4.725
Cape Verde,CPV,2016,4.196
Central African Republic,CAF,1990,7.483
Central African Republic,CAF,1995,8.153
Central African Republic,CAF,2000,10.011
Central African Republic,CAF,2005,10.599
Central African Republic,CAF,2010,9.172
Central African Republic,CAF,2016,8.38
Chad,TCD,1990,19.709
Chad,TCD,1995,17.235
Chad,TCD,2000,15.228
Chad,TCD,2005,15.905
Chad,TCD,2010,15.615
Chad,TCD,2016,14.367
Chile,CHL,1990,0.619
Chile,CHL,1995,0.571
Chile,CHL,2000,0.535
Chile,CHL,2005,0.47
Chile,CHL,2010,0.427
Chile,CHL,2016,0.382
China,CHN,1990,5.827
China,CHN,1995,5.534
China,CHN,2000,4.03
China,CHN,2005,3.159
China,CHN,2010,2.912
China,CHN,2016,2.653
Colombia,COL,1990,3.205
Colombia,COL,1995,2.381
Colombia,COL,2000,1.76
Colombia,COL,2005,1.618
Colombia,COL,2010,1.454
Colombia,COL,2016,1.365
Comoros,COM,1990,12.531
Comoros,COM,1995,11.495
Comoros,COM,2000,12.852
Comoros,COM,2005,12.804
Comoros,COM,2010,11.334
Comoros,COM,2016,10.207
Congo,COG,1990,5.682
Congo,COG,1995,5.999
Congo,COG,2000,7.373
Congo,COG,2005,7.714
Congo,COG,2010,7.679
Congo,COG,2016,7.543
Costa Rica,CRI,1990,3.462
Costa Rica,CRI,1995,3.234
Costa Rica,CRI,2000,2.905
Costa Rica,CRI,2005,2.711
Costa Rica,CRI,2010,2.616
Costa Rica,CRI,2016,2.525
Cote d'Ivoire,CIV,1990,10.641
Cote d'Ivoire,CIV,1995,9.859
Cote d'Ivoire,CIV,2000,9.547
Cote d'Ivoire,CIV,2005,10.441
Cote d'Ivoire,CIV,2010,10.2
Cote d'Ivoire,CIV,2016,9.085
Croatia,HRV,1990,3.957
Croatia,HRV,1995,4.37
Croatia,HRV,2000,4.482
Croatia,HRV,2005,4.203
Croatia,HRV,2010,3.808
Croatia,HRV,2016,3.571
Cuba,CUB,1990,1.927
Cuba,CUB,1995,2.323
Cuba,CUB,2000,2.517
Cuba,CUB,2005,1.997
Cuba,CUB,2010,2.222
Cuba,CUB,2016,2.228
Cyprus,CYP,1990,1.437
Cyprus,CYP,1995,1.337
Cyprus,CYP,2000,1.213
Cyprus,CYP,2005,1.009
Cyprus,CYP,2010,0.989
Cyprus,CYP,2016,0.945
Czech Republic,CZE,1990,2.974
Czech Republic,CZE,1995,2.923
Czech Republic,CZE,2000,3.045
Czech Republic,CZE,2005,3.084
Czech Republic,CZE,2010,3.101
Czech Republic,CZE,2016,3.079
Democratic Republic of Congo,COD,1990,8.54
Democratic Republic of Congo,COD,1995,11.898
Democratic Republic of Congo,COD,2000,14.466
Democratic Republic of Congo,COD,2005,12.299
Democratic Republic of Congo,COD,2010,9.706
Democratic Republic of Congo,COD,2016,8.371
Denmark,DNK,1990,1.221
Denmark,DNK,1995,1.208
Denmark,DNK,2000,1.098
Denmark,DNK,2005,0.943
Denmark,DNK,2010,0.929
Denmark,DNK,2016,0.894
Djibouti,DJI,1990,15.747
Djibouti,DJI,1995,16.469
Djibouti,DJI,2000,20.547
Djibouti,DJI,2005,24.044
Djibouti,DJI,2010,23.396
Djibouti,DJI,2016,21.182
Dominica,DMA,1990,3.533
Dominica,DMA,1995,3.323
Dominica,DMA,2000,3.009
Dominica,DMA,2005,2.718
Dominica,DMA,2010,2.648
Dominica,DMA,2016,2.54
Dominican Republic,DOM,1990,2.493
Dominican Republic,DOM,1995,2.45
Dominican Republic,DOM,2000,2.366
Dominican Republic,DOM,2005,2.494
Dominican Republic,DOM,2010,2.492
Dominican Republic,DOM,2016,2.413
Ecuador,ECU,1990,2.816
Ecuador,ECU,1995,3.073
Ecuador,ECU,2000,2.715
Ecuador,ECU,2005,2.214
Ecuador,ECU,2010,2.079
Ecuador,ECU,2016,1.976
Egypt,EGY,1990,5.494
Egypt,EGY,1995,5.929
Egypt,EGY,2000,6.081
Egypt,EGY,2005,6.361
Egypt,EGY,2010,7.385
Egypt,EGY,2016,6.851
El Salvador,SLV,1990,2.836
El Salvador,SLV,1995,2.737
El Salvador,SLV,2000,1.987
El Salvador,SLV,2005,1.718
El Salvador,SLV,2010,1.812
El Salvador,SLV,2016,1.964
Equatorial Guinea,GNQ,1990,3.854
Equatorial Guinea,GNQ,1995,4.343
Equatorial Guinea,GNQ,2000,5.331
Equatorial Guinea,GNQ,2005,4.231
Equatorial Guinea,GNQ,2010,4.022
Equatorial Guinea,GNQ,2016,3.321
Eritrea,ERI,1990,19.845
Eritrea,ERI,1995,19.257
Eritrea,ERI,2000,16.199
Eritrea,ERI,2005,13.182
Eritrea,ERI,2010,12.287
Eritrea,ERI,2016,11.732
Estonia,EST,1990,3.328
Estonia,EST,1995,3.268
Estonia,EST,2000,3.086
Estonia,EST,2005,2.712
Estonia,EST,2010,2.431
Estonia,EST,2016,2.3
Ethiopia,ETH,1990,9.243
Ethiopia,ETH,1995,10.921
Ethiopia,ETH,2000,12.776
Ethiopia,ETH,2005,12.224
Ethiopia,ETH,2010,10.924
Ethiopia,ETH,2016,10.903
Fiji,FJI,1990,9.488
Fiji,FJI,1995,8.569
Fiji,FJI,2000,7.023
Fiji,FJI,2005,6.172
Fiji,FJI,2010,6.012
Fiji,FJI,2016,5.832
Finland,FIN,1990,1.284
Finland,FIN,1995,1.236
Finland,FIN,2000,1.133
Finland,FIN,2005,0.97
Finland,FIN,2010,0.94
Finland,FIN,2016,0.923
France,FRA,1990,1.359
France,FRA,1995,1.277
France,FRA,2000,1.176
France,FRA,2005,1
France,FRA,2010,0.995
France,FRA,2016,0.96
Gabon,GAB,1990,5.239
Gabon,GAB,1995,4.922
Gabon,GAB,2000,4.745
Gabon,GAB,2005,4.452
Gabon,GAB,2010,4.191
Gabon,GAB,2016,3.888
