Entity,Code,Year,Increased risk of illicit drug dependency (odds ratio)
Agoraphobia,,2010,1.9
Antisocial personality disorder,,2010,3.8
Any anxiety disorder,,2010,3.5
Any disruptive behaviour disorder,,2010,4.6
Any mood disorder,,2010,2.1
Attention deficit hyperactivity (ADHD),,2010,5.2
Bipolar disorder,,2010,5.1
Conduct disorder,,2010,3.5
"Dysthymia (persistent, mild depression)",,2010,2.7
Generalized anxiety disorder (GAD),,2010,1.2
Intermittent explosive disorder,,2010,6.3
Major depression,,2010,1.6
Oppositional defiant disorder,,2010,3.9
Panic disorder,,2010,1.1
Post-traumatic stress disorder (PTSD),,2010,3.9
Separation anxiety,,2010,3
Social phobia,,2010,2.8
Specific phobia,,2010,2.2
