Entity,Code,Year,"Daily time spent on domestic work, women (UN (2017)) (Daily hours)"
Albania,ALB,2010,7.15
Algeria,DZA,2012,5.8
Argentina,ARG,2005,6.77
Argentina,ARG,2013,0
Armenia,ARM,2004,7.5
Armenia,ARM,2008,6.88
Australia,AUS,1997,7.07
Australia,AUS,2006,7.35
Austria,AUT,2008,6.5
Azerbaijan,AZE,2008,7.83
Belgium,BEL,1998,6.25
Belgium,BEL,2005,6.32
Benin,BEN,1998,7.17
Bhutan,BTN,2006,8.42
Bolivia,BOL,2001,8.73
Brazil,BRA,2009,6.98
Brazil,BRA,2012,5.95
Bulgaria,BGR,2001,7.87
Bulgaria,BGR,2009,6.72
Cambodia,KHM,2003,7.5
Canada,CAN,1998,7.2
Canada,CAN,2005,7.3
Canada,CAN,2010,7.28
Chile,CHL,2007,6.38
China,CHN,2008,8.28
Colombia,COL,2012,7.17
Costa Rica,CRI,2004,7.32
Costa Rica,CRI,2011,6.58
Cuba,CUB,2001,7.65
Denmark,DNK,2001,7.38
Denmark,DNK,2008,6
Ecuador,ECU,2012,7.95
Estonia,EST,1999,7.82
Estonia,EST,2009,7.03
Ethiopia,ETH,2013,8.17
Finland,FIN,1999,6.65
Finland,FIN,2009,6.12
France,FRA,1998,8.05
France,FRA,2009,7.53
Germany,DEU,2001,6.53
Germany,DEU,2012,6.32
Ghana,GHA,2009,7.33
Greece,GRC,2013,5.65
Guatemala,GTM,2006,9.35
Guatemala,GTM,2011,8.65
Honduras,HND,2009,5.15
Hong Kong,HKG,2001,6.9
Hungary,HUN,1999,6.85
Hungary,HUN,2009,6.95
India,IND,1998,7.37
Iran,IRN,2008,5.77
Iraq,IRQ,2007,6.25
Ireland,IRL,2005,7.63
Italy,ITA,2002,7.12
Italy,ITA,2008,7.07
Japan,JPN,2001,6.47
Japan,JPN,2006,6.57
Japan,JPN,2011,6.42
Kazakhstan,KAZ,2000,10.22
Kazakhstan,KAZ,2003,10.67
Kazakhstan,KAZ,2006,9.78
Kazakhstan,KAZ,2012,6.33
Kyrgyzstan,KGZ,2000,10.23
Kyrgyzstan,KGZ,2005,9.22
Kyrgyzstan,KGZ,2010,7.3
Kyrgyzstan,KGZ,2015,6.13
Laos,LAO,2002,7
Laos,LAO,2007,6.4
Latvia,LVA,2003,7.82
Lesotho,LSO,2002,6.45
Lithuania,LTU,2003,8.52
Macedonia,MKD,2004,7.78
Macedonia,MKD,2009,5.87
Madagascar,MDG,2001,6.67
Malawi,MWI,2004,5.97
Malaysia,MYS,2003,0
Mali,MLI,2008,8.7
Malta,MLT,2002,7.37
Mauritius,MUS,2003,6.55
Mexico,MEX,2002,8.95
Mexico,MEX,2009,9.4
Moldova,MDA,2011,7.53
Mongolia,MNG,2000,8.98
Mongolia,MNG,2011,8.8
Morocco,MAR,1997,6.75
Morocco,MAR,2011,6.35
Netherlands,NLD,1997,4.75
Netherlands,NLD,1999,5.92
Netherlands,NLD,2001,5.72
Netherlands,NLD,2003,5.72
Netherlands,NLD,2006,6.4
Netherlands,NLD,2011,5.87
New Zealand,NZL,1998,6.85
New Zealand,NZL,2009,6.72
Nicaragua,NIC,1998,6.98
Norway,NOR,2000,6.92
Norway,NOR,2010,6.85
Oman,OMN,1999,6.52
Oman,OMN,2007,5.53
Pakistan,PAK,2007,6.08
Palestine,PSE,1999,5.55
Palestine,PSE,2012,5.48
Panama,PAN,2011,7.68
Peru,PER,2010,8.67
Poland,POL,2003,7.23
Poland,POL,2013,7.12
Portugal,PRT,1999,7.7
Qatar,QAT,2012,5.32
Reunion,REU,2010,6.08
Romania,ROU,2000,6.8
Romania,ROU,2011,6.07
Serbia,SRB,2010,7.1
Slovenia,SVN,2000,8.08
South Africa,ZAF,2000,5.53
South Africa,ZAF,2010,5.98
South Korea,KOR,1999,6.85
South Korea,KOR,2004,6.53
South Korea,KOR,2009,6.35
South Korea,KOR,2014,5.9
Spain,ESP,2002,7.32
Spain,ESP,2009,6.9
Sweden,SWE,2000,7.82
Sweden,SWE,2010,8.03
Switzerland,CHE,1997,7.17
Switzerland,CHE,2000,7.18
Switzerland,CHE,2004,7.15
Switzerland,CHE,2007,7.17
Switzerland,CHE,2010,6.85
Switzerland,CHE,2013,6.82
Tanzania,TZA,2006,6.95
Tanzania,TZA,2014,7.22
Thailand,THA,2009,7.67
Tunisia,TUN,2005,6.75
Turkey,TUR,2006,7.32
Turkey,TUR,2014,5.85
United Kingdom,GBR,2000,6.47
United Kingdom,GBR,2005,6.07
United States,USA,2003,7.33
United States,USA,2004,7.43
United States,USA,2005,7.37
United States,USA,2006,7.27
United States,USA,2007,7.42
United States,USA,2008,7.17
United States,USA,2009,7.02
United States,USA,2010,7.02
United States,USA,2011,6.97
United States,USA,2012,6.97
United States,USA,2013,6.9
United States,USA,2014,6.65
Uruguay,URY,2007,7.63
Uruguay,URY,2013,7.9
