Entity,Code,Year,Drank alcohol (%),Binge drinking (%),Heavy drinking (%)
United States,USA,1995,52.8,14.1,
United States,USA,1997,53.5,14.5,
United States,USA,1999,54.2,14.9,
United States,USA,2001,55.3,14.8,5.2
United States,USA,2002,56.6,16.1,5.9
United States,USA,2003,58.9,16.5,5.9
United States,USA,2004,56.9,14.9,5.8
United States,USA,2005,55.6,14.4,4.9
United States,USA,2006,55.2,15.4,4.9
United States,USA,2007,54.7,15.7,5.2
United States,USA,2008,53.9,15.5,5.1
United States,USA,2009,53.9,15.5,5.1
United States,USA,2010,54.1,15.1,4.9
United States,USA,2011,57,18.3,6.6
United States,USA,2012,55.1,16.9,6.1
United States,USA,2013,54.4,16.8,6.2
United States,USA,2014,53.1,16,5.9
United States,USA,2015,53.6,16.3,5.9
United States,USA,2016,54,16.9,6.5
