Entity,Code,Year,"Percentage of teachers in lower secondary education who are trained, both sexes (%) (%)"
Andorra,AND,2006,100
Andorra,AND,2009,100
Andorra,AND,2010,100
Andorra,AND,2011,100
Andorra,AND,2012,100
Antigua and Barbuda,ATG,2000,40.6593399047852
Antigua and Barbuda,ATG,2008,50.4332809448242
Antigua and Barbuda,ATG,2009,38.1578903198242
Antigua and Barbuda,ATG,2010,38.2113800048828
Arab World,,2012,73.6973495483398
Arab World,,2013,83.4478378295898
Arab World,,2014,74.1023483276367
Bahamas,BHS,2002,100
Bahamas,BHS,2005,89.5145568847656
Bahamas,BHS,2006,89.0118026733398
Bahamas,BHS,2007,85.2702713012695
Bahamas,BHS,2008,86.5702514648438
Bahamas,BHS,2009,82.5242691040039
Bahamas,BHS,2010,89.0020370483398
Bahrain,BHR,2011,80.2393493652344
Bahrain,BHR,2012,82.1960830688477
Bahrain,BHR,2013,82.4135437011719
Bahrain,BHR,2014,82.7472305297852
Bangladesh,BGD,1998,36.2497100830078
Bangladesh,BGD,1999,36.2883110046387
Bangladesh,BGD,2000,36.8401298522949
Bangladesh,BGD,2001,35.5098495483398
Bangladesh,BGD,2002,37.0853996276855
Bangladesh,BGD,2003,36.9597396850586
Bangladesh,BGD,2004,37.612419128418
Bangladesh,BGD,2007,44.5092582702637
Bangladesh,BGD,2008,57.1440200805664
Bangladesh,BGD,2009,57.4447898864746
Bangladesh,BGD,2010,58.4894599914551
Bangladesh,BGD,2011,59.6698112487793
Bangladesh,BGD,2012,59.6563415527344
Bangladesh,BGD,2013,59.6132011413574
Belarus,BLR,2013,98.0402221679688
Belarus,BLR,2014,98.1411209106445
Belize,BLZ,2000,54.3367309570313
Belize,BLZ,2001,38.5255584716797
Belize,BLZ,2003,40.8893699645996
Belize,BLZ,2004,43.0579986572266
Belize,BLZ,2006,36.5168495178223
Belize,BLZ,2007,38.6239204406738
Belize,BLZ,2008,36.4048309326172
Belize,BLZ,2009,35.507251739502
Belize,BLZ,2010,38.9972114562988
Belize,BLZ,2012,41.9396286010742
Belize,BLZ,2013,38.1483917236328
Belize,BLZ,2014,47.8947410583496
Benin,BEN,2000,39.2139511108398
Benin,BEN,2014,9.34105968475342
Bermuda,BMU,2001,100
Bermuda,BMU,2002,100
Bermuda,BMU,2003,100
Bermuda,BMU,2004,100
Bermuda,BMU,2005,100
Bermuda,BMU,2006,100
Bermuda,BMU,2011,100
Bermuda,BMU,2012,100
Bermuda,BMU,2013,83.2098770141602
Bermuda,BMU,2014,100
Bhutan,BTN,1998,100
Bhutan,BTN,1999,100
Bhutan,BTN,2005,93.4762268066406
Bhutan,BTN,2006,91.9635467529297
Bhutan,BTN,2008,90.2222213745117
Brunei,BRN,2014,93.9667129516602
Burkina Faso,BFA,2009,49.8880386352539
Burundi,BDI,2014,71.0682907104492
Cambodia,KHM,2001,99.7298965454102
Cambodia,KHM,2002,99.7153396606445
Cambodia,KHM,2004,99.9465866088867
Cambodia,KHM,2005,99.8907623291016
Cambodia,KHM,2006,99.2080917358398
Cambodia,KHM,2007,99.1565704345703
Cambodia,KHM,2008,98.7679214477539
Cambodia,KHM,2009,98.5117416381836
Cambodia,KHM,2010,99.7585525512695
Cambodia,KHM,2012,100
Cambodia,KHM,2013,100
Cambodia,KHM,2014,100
Cameroon,CMR,2013,33.0131492614746
Cape Verde,CPV,2007,58.5714302062988
Cape Verde,CPV,2008,64.0121002197266
Cape Verde,CPV,2009,67.9660186767578
Cape Verde,CPV,2010,67.5356597900391
Cape Verde,CPV,2012,75.801887512207
Cape Verde,CPV,2014,77.245231628418
Cayman Islands,CYM,1999,100
Cayman Islands,CYM,2000,100
Cayman Islands,CYM,2001,100
Cayman Islands,CYM,2002,100
Cayman Islands,CYM,2004,99.0825729370117
Cayman Islands,CYM,2005,99.2857131958008
Cayman Islands,CYM,2006,100
Cayman Islands,CYM,2011,99.4594573974609
Cayman Islands,CYM,2012,99
Colombia,COL,2007,96.3453598022461
Colombia,COL,2009,96.3358917236328
Colombia,COL,2010,96.3479995727539
Colombia,COL,2011,97.0738372802734
