Entity,Code,Year,"Children in employment, work only (% of children in employment, ages 7-14) (% of children in employment, ages 7-14)"
Afghanistan,AFG,2011,50
Albania,ALB,2000,43.13078
Albania,ALB,2005,6.7
Albania,ALB,2010,5.1
Algeria,DZA,2013,4.50865483103489
Angola,AGO,2001,26.6
Argentina,ARG,2004,4.8
Argentina,ARG,2012,4.75294
Armenia,ARM,2010,0
Azerbaijan,AZE,2000,4.175365
Azerbaijan,AZE,2005,6.3
Bangladesh,BGD,2003,63.2940802554
Bangladesh,BGD,2006,37.8
Bangladesh,BGD,2013,58.07367
Belarus,BLR,2005,0
Belarus,BLR,2012,0
Benin,BEN,2006,36.1
Benin,BEN,2012,32.4
Bolivia,BOL,2002,15.2
Bolivia,BOL,2005,8.1
Bolivia,BOL,2008,5.2
Bolivia,BOL,2009,7.2
Bolivia,BOL,2013,7.391486
Bolivia,BOL,2015,6.72
Bosnia and Herzegovina,BIH,2000,3.9603960396
Bosnia and Herzegovina,BIH,2006,0.1
Brazil,BRA,2004,7.2
Brazil,BRA,2007,6.6
Brazil,BRA,2008,4.8
Brazil,BRA,2009,5.2
Brazil,BRA,2011,3.59368403123194
Brazil,BRA,2013,4.995714
Brazil,BRA,2014,4.45564334085779
Brazil,BRA,2015,4.04
Burkina Faso,BFA,2003,98.1
Burkina Faso,BFA,2006,67.7
Burkina Faso,BFA,2010,56.8333141953349
Burundi,BDI,2000,48.31579
Burundi,BDI,2005,38.9
Burundi,BDI,2010,18.3
Cambodia,KHM,2001,16.5
Cambodia,KHM,2004,13.8
Cambodia,KHM,2009,18
Cambodia,KHM,2012,21.1
Cameroon,CMR,2001,52.49441
Cameroon,CMR,2007,21.9
Cameroon,CMR,2011,15
Central African Republic,CAF,2000,54.9253731343
Central African Republic,CAF,2010,24.8133443821791
Chad,TCD,2004,49.1
Chad,TCD,2010,44.3
Chad,TCD,2015,49.2661837383611
Chile,CHL,2003,3.2
Chile,CHL,2012,0.9
Colombia,COL,2005,32.8
Colombia,COL,2007,24.8
Colombia,COL,2009,14.61
Colombia,COL,2012,17.5
Colombia,COL,2014,11.15534
Colombia,COL,2015,13.36
Congo,COG,2005,9.86
Congo,COG,2012,5
Costa Rica,CRI,2004,44.6
Costa Rica,CRI,2011,19.0248378006422
Costa Rica,CRI,2016,14.7
Cote d'Ivoire,CIV,2000,46.4373464373
Cote d'Ivoire,CIV,2006,46.8
Cote d'Ivoire,CIV,2012,41.152743848366
Democratic Republic of Congo,COD,2000,35.7
Democratic Republic of Congo,COD,2007,28.7
Democratic Republic of Congo,COD,2010,20.7185837789945
Democratic Republic of Congo,COD,2014,10.5205549637723
Dominican Republic,DOM,2002,11.4
Dominican Republic,DOM,2005,6.2
Dominican Republic,DOM,2009,4.8
Dominican Republic,DOM,2012,11.1326
Dominican Republic,DOM,2014,4.79812138109455
Ecuador,ECU,2004,27
Ecuador,ECU,2005,21
Ecuador,ECU,2006,21
Ecuador,ECU,2009,25.5
Ecuador,ECU,2011,24.180641303414
Ecuador,ECU,2015,8.216805
Egypt,EGY,2005,21
Egypt,EGY,2009,55
El Salvador,SLV,2003,19.4755788521
El Salvador,SLV,2007,24.9
El Salvador,SLV,2009,22
El Salvador,SLV,2011,17.3
El Salvador,SLV,2012,17.2
El Salvador,SLV,2013,15.68454
Ethiopia,ETH,2005,69.4
Ethiopia,ETH,2011,35.1221018027922
Gabon,GAB,2012,2.91273015677064
Gambia,GMB,2000,41.60541
Gambia,GMB,2005,32.1
Gambia,GMB,2008,25.6
Gambia,GMB,2015,56.6315789473684
Georgia,GEO,2006,1
Ghana,GHA,2003,71.2
Ghana,GHA,2006,18.7
Ghana,GHA,2012,11.98304
Guatemala,GTM,2003,33.8
Guatemala,GTM,2004,31.3
Guatemala,GTM,2006,28.4
Guatemala,GTM,2012,23.9386439208717
Guatemala,GTM,2014,25.62519
Guatemala,GTM,2015,38.9710058660754
Guinea,GIN,1994,98.6
Guinea,GIN,2010,45.4
Guinea,GIN,2012,49.5
Guinea-Bissau,GNB,2000,63.7
Guinea-Bissau,GNB,2006,36.4
Guinea-Bissau,GNB,2014,24.2128382914767
Haiti,HTI,2006,17.7
Haiti,HTI,2012,7.62211145061959
Honduras,HND,2004,48.6
Honduras,HND,2007,45.1
Honduras,HND,2011,55.5
Honduras,HND,2013,52.6
Honduras,HND,2014,41.75336
India,IND,2000,89.8
India,IND,2005,84.9
India,IND,2006,32.8
India,IND,2010,67.5
India,IND,2012,82.5
Indonesia,IDN,2000,24.94929
Indonesia,IDN,2009,11
Indonesia,IDN,2010,44.4
Iraq,IRQ,2000,51.68736
Iraq,IRQ,2006,32.4
Iraq,IRQ,2011,33.6
Jamaica,JAM,2002,17.1
Jamaica,JAM,2005,2.5
Jamaica,JAM,2011,0
Jordan,JOR,2007,27.8
Jordan,JOR,2016,20.02
Kazakhstan,KAZ,1996,4.4
Kazakhstan,KAZ,2006,1.6
Kenya,KEN,1999,44.8
Kenya,KEN,2000,14.1
Kenya,KEN,2009,32.4890522591497
Kyrgyzstan,KGZ,1998,7
Kyrgyzstan,KGZ,2006,7.9
Kyrgyzstan,KGZ,2007,0.8
Kyrgyzstan,KGZ,2014,0.291858298186082
Laos,LAO,2006,22.9
Laos,LAO,2010,89.3456781165234
Lesotho,LSO,2000,17.55725
Lesotho,LSO,2002,74.4
Liberia,LBR,2007,45
Liberia,LBR,2010,23.9255080500291
Macedonia,MKD,2006,2.8
Macedonia,MKD,2011,1.44531959872421
Madagascar,MDG,2001,85.11842
Madagascar,MDG,2007,40.9
Malawi,MWI,2004,13.9
Malawi,MWI,2006,10.5
Malawi,MWI,2011,11.7759263729812
Malawi,MWI,2014,4.815425
Malawi,MWI,2015,7.28
Mali,MLI,2005,60.8
Mali,MLI,2006,59.5
Mali,MLI,2007,69.6
Mali,MLI,2013,54.8
Mauritania,MRT,2007,49.2
Mauritania,MRT,2011,43.71046
Mexico,MEX,2004,34.1
Mexico,MEX,2007,17.2
Mexico,MEX,2009,22.6
Mexico,MEX,2010,26.6
Mexico,MEX,2011,14.9503811782538
Mexico,MEX,2013,14.46352
Moldova,MDA,2000,3.842578
Moldova,MDA,2009,0
Mongolia,MNG,2000,28.22719
Mongolia,MNG,2005,8.7
Mongolia,MNG,2007,16.4
Mongolia,MNG,2012,5.76186532438088
Mongolia,MNG,2013,3.78275963399062
Morocco,MAR,1999,93.2
Morocco,MAR,2004,84.5
Mozambique,MOZ,1996,100
Mozambique,MOZ,2008,18.2482810562206
Namibia,NAM,1999,9.493
Nepal,NPL,1999,35.6
Nepal,NPL,2008,13.4940229635708
Nepal,NPL,2014,8.7514406061639
Nicaragua,NIC,2001,33.2808708563
Nicaragua,NIC,2005,30.8
Nicaragua,NIC,2010,18.7259934071753
Nicaragua,NIC,2012,15.58193
Niger,NER,2007,66.5
Niger,NER,2009,52.2
Niger,NER,2012,54.5
Nigeria,NGA,2007,30.9
Nigeria,NGA,2010,33.9
Nigeria,NGA,2011,23.44813
Pakistan,PAK,2008,88.9
Pakistan,PAK,2011,87.4463967862567
Panama,PAN,2003,38.4
Panama,PAN,2008,14.6
Panama,PAN,2010,16.5
Panama,PAN,2012,17.9
Panama,PAN,2014,13.10023
Paraguay,PRY,2005,21.6
Paraguay,PRY,2014,9.288411
Peru,PER,2000,4.8
Peru,PER,2007,4
Peru,PER,2011,30.2544055287952
Peru,PER,2014,25.75867
Peru,PER,2015,24.0669375937743
Philippines,PHL,2001,14.7994594495475
Philippines,PHL,2011,13.9
Portugal,PRT,2001,3.60468311630175
Romania,ROU,2000,20.7
Rwanda,RWA,2000,27.4924471299
Rwanda,RWA,2008,18.5
Rwanda,RWA,2010,7.9388270333028
Rwanda,RWA,2011,20.98102
Rwanda,RWA,2014,20.8
Senegal,SEN,2005,61.9
Senegal,SEN,2011,60.4
Senegal,SEN,2015,44.743381299024
Serbia,SRB,2005,2.1
Serbia,SRB,2014,0.8452975
Sierra Leone,SLE,2000,53.8
Sierra Leone,SLE,2005,29.9
Sierra Leone,SLE,2007,57.7
Sierra Leone,SLE,2008,32.9
Sierra Leone,SLE,2010,21.6
Sierra Leone,SLE,2013,26.8
Somalia,SOM,2006,53.5
South Africa,ZAF,1999,5.1
South Sudan,SSD,2008,76.0484939478117
Sri Lanka,LKA,1999,5.4
Sri Lanka,LKA,2009,3.17097411631773
Sudan,SDN,2000,55.93958
Sudan,SDN,2008,73.5016686441102
Sudan,SDN,2014,25.499329948079
Swaziland,SWZ,2000,14.01986
Swaziland,SWZ,2010,2.43631233711983
Syrian Arab Republic,,2006,34.6
Tajikistan,TJK,1999,11.2
Tajikistan,TJK,2005,9
Tanzania,TZA,2001,39.9755321185
Tanzania,TZA,2006,28.2
Tanzania,TZA,2011,26.4451356039287
Tanzania,TZA,2014,29.21715
Thailand,THA,2005,4.2
Thailand,THA,2006,4.2
Timor,TLS,2001,26.8
Timor,TLS,2007,36.6
Togo,TGO,2006,29.76352
Togo,TGO,2010,11.4699577472654
Togo,TGO,2014,14.9204710853764
Trinidad and Tobago,TTO,2000,12.8205128205128
Trinidad and Tobago,TTO,2006,2.6
Tunisia,TUN,2012,15.4
Turkey,TUR,1999,66.8050396567
Turkey,TUR,2006,38.8
Uganda,UGA,2006,7.732421
Uganda,UGA,2012,6.61896277352278
Ukraine,UKR,2005,0.1
Ukraine,UKR,2012,1.3
Uruguay,URY,2009,10.6578583401372
Uzbekistan,UZB,2000,4.096171
Uzbekistan,UZB,2005,1
Uzbekistan,UZB,2006,1
Venezuela,VEN,2003,17.5824175824
Venezuela,VEN,2005,24.7
Venezuela,VEN,2006,19.8447789614905
Venezuela,VEN,2013,31.13462
Vietnam,VNM,2006,11.9
Vietnam,VNM,2011,15.9
Vietnam,VNM,2012,19
Yemen,YEM,1999,64.34137
Yemen,YEM,2006,30.9
Yemen,YEM,2010,35.9701143833731
Zambia,ZMB,2005,25.92283
Zambia,ZMB,2008,18.5753910835086
Zimbabwe,ZWE,1999,12
