Entity,Code,Year,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal) (% of total freshwater withdrawal)"
Afghanistan,AFG,1987,1
Afghanistan,AFG,2000,0.7604
Albania,ALB,1990,8.333
Albania,ALB,2000,29.95
Albania,ALB,2006,42.81
Algeria,DZA,1980,22
Algeria,DZA,1990,24.89
Algeria,DZA,2001,30.07
Algeria,DZA,2012,35.85
Angola,AGO,1987,13.96
Angola,AGO,2000,38.41
Angola,AGO,2005,45.27
Antigua and Barbuda,ATG,1990,60
Antigua and Barbuda,ATG,2005,63.1
Antigua and Barbuda,ATG,2012,62.61
Arab World,,2015,44.47
Argentina,ARG,1995,15.96
Argentina,ARG,2011,15.48
Armenia,ARM,1995,29.57
Armenia,ARM,2002,29.82
Armenia,ARM,2007,29.5
Armenia,ARM,2012,8.262
Armenia,ARM,2015,6.051
Australia,AUS,2001,20.47
Australia,AUS,2005,22.34
Australia,AUS,2012,23.37
Australia,AUS,2015,23.11
Austria,AUT,1980,16.7
Austria,AUT,1985,19.8
Austria,AUT,1990,18
Austria,AUT,1997,18.86
Austria,AUT,2002,18.23
Austria,AUT,2010,20.62
Azerbaijan,AZE,1997,1.775
Azerbaijan,AZE,2002,4.995
Azerbaijan,AZE,2005,4.267
Bahrain,BHR,1990,39.33
Bahrain,BHR,2003,49.78
Bangladesh,BGD,2008,10.04
Barbados,BRB,1996,24.69
Barbados,BRB,2005,24.69
Belarus,BLR,1995,37.98
Belarus,BLR,2000,46.3
Belarus,BLR,2005,47.07
Belarus,BLR,2010,38.08
Belarus,BLR,2013,36.13
Belgium,BEL,1980,11
Belgium,BEL,1997,11.37
Belgium,BEL,2002,10.92
Belgium,BEL,2007,11.75
Belgium,BEL,2009,11.81
Belize,BLZ,1987,10
Belize,BLZ,2000,11.29
Benin,BEN,1985,28.18
Benin,BEN,2001,31.54
Bhutan,BTN,2008,5.03
Bolivia,BOL,1987,10
Bolivia,BOL,2009,6.513
Botswana,BWA,1992,31.86
Botswana,BWA,1995,36.33
Botswana,BWA,2000,40.72
Brazil,BRA,1996,20.96
Brazil,BRA,2006,27.95
Brazil,BRA,2010,23
Bulgaria,BGR,1990,5.564
Bulgaria,BGR,2002,16.24
Bulgaria,BGR,2012,16.59
Bulgaria,BGR,2015,15.98
Burkina Faso,BFA,1985,20.69
Burkina Faso,BFA,1992,19.41
Burkina Faso,BFA,2001,38.97
Burkina Faso,BFA,2005,45.92
Burundi,BDI,1987,36
Burundi,BDI,2000,17.01
Cambodia,KHM,2006,4.487
Cameroon,CMR,1987,45.45
Cameroon,CMR,1992,46
Cameroon,CMR,2000,16.67
Canada,CAN,1991,11.32
Canada,CAN,1996,12.32
Canada,CAN,2007,14.23
Cape Verde,CPV,2001,7.273
Caribbean small states,,2014,85.11
Central African Republic,CAF,1987,77.32
Central African Republic,CAF,2000,82.78
Central African Republic,CAF,2005,82.9
Central Europe and the Baltics,,2014,3.488
Central Europe and the Baltics,,2015,15.98
Chad,TCD,1987,16.02
Chad,TCD,2002,10.42
Chad,TCD,2005,11.79
Chile,CHL,1992,5.397
Chile,CHL,2006,3.576
China,CHN,1980,1.526
China,CHN,1985,6.171
China,CHN,1990,7
China,CHN,1993,4.789
China,CHN,2000,10.46
China,CHN,2007,12.43
China,CHN,2012,12.08
China,CHN,2015,13.28
Colombia,COL,2000,31.85
Colombia,COL,2008,26.63
Comoros,COM,1999,48
Congo,COG,1987,62
Congo,COG,2002,69.57
Costa Rica,CRI,2013,32.34
Cote d'Ivoire,CIV,1987,22
Cote d'Ivoire,CIV,1994,13.15
Cote d'Ivoire,CIV,2000,38.27
Cote d'Ivoire,CIV,2005,41.05
Croatia,HRV,2012,76.65
Croatia,HRV,2013,80.14
Cuba,CUB,1995,34.16
Cuba,CUB,2007,34.43
Cuba,CUB,2013,24.43
Cyprus,CYP,1975,16.13
Cyprus,CYP,1980,20.9
Cyprus,CYP,1985,22.5
Cyprus,CYP,1990,24.34
Cyprus,CYP,1993,23.7
Cyprus,CYP,2002,21.93
Cyprus,CYP,2007,30.29
Cyprus,CYP,2012,30.81
Cyprus,CYP,2013,32.94
Czech Republic,CZE,1997,38.45
Democratic Republic of Congo,COD,2000,66.65
Democratic Republic of Congo,COD,2005,68.01
Denmark,DNK,1970,63.89
Denmark,DNK,1975,58.09
Denmark,DNK,1980,58.09
Denmark,DNK,1985,39.57
Denmark,DNK,1990,45.28
Denmark,DNK,2002,66
Denmark,DNK,2007,72
Denmark,DNK,2012,55.21
Djibouti,DJI,1985,12.5
Djibouti,DJI,2000,84.21
Dominica,DMA,2010,95
Dominican Republic,DOM,2000,12.33
Dominican Republic,DOM,2005,13.24
Dominican Republic,DOM,2010,11.95
Early-demographic dividend,,2014,85.11
Early-demographic dividend,,2015,14.9504527223272
East Asia & Pacific,,2015,13.5496588974728
East Asia & Pacific (IDA & IBRD),,2015,13.28
East Asia & Pacific (excluding high income),,2015,13.28
Ecuador,ECU,2000,9.684
Ecuador,ECU,2005,13.04
Egypt,EGY,1995,6.334
Egypt,EGY,2000,7.76
Egypt,EGY,2010,11.54
El Salvador,SLV,1992,33.74
El Salvador,SLV,2000,27.54
El Salvador,SLV,2005,22.38
Equatorial Guinea,GNQ,1987,81
Equatorial Guinea,GNQ,2000,79.31
Eritrea,ERI,2000,14.93
Eritrea,ERI,2004,5.326
Estonia,EST,1995,6.48
Estonia,EST,2002,6.03
Estonia,EST,2014,3.488
Ethiopia,ETH,2002,5.991
Ethiopia,ETH,2005,10.3
Euro area,,2014,3.488
Europe & Central Asia,,2014,3.488
Europe & Central Asia,,2015,12.8279299075093
Europe & Central Asia (IDA & IBRD),,2015,12.3301080777441
Europe & Central Asia (excluding high income),,2015,12.3301080777441
European Union,,2014,3.488
European Union,,2015,15.98
Fiji,FJI,1987,20
Fiji,FJI,2000,28.03
Fiji,FJI,2005,29.8
Finland,FIN,1990,18.07
Finland,FIN,1995,15.93
Finland,FIN,2002,17.35
Finland,FIN,2006,6.239
Fragile and conflict affected situations,,2015,25.25
France,FRA,1985,16.92
France,FRA,1992,15.25
France,FRA,1997,19.41
France,FRA,2002,18.43
France,FRA,2007,18.09
France,FRA,2012,18.13
Gabon,GAB,1987,72
Gabon,GAB,2000,57.02
Gabon,GAB,2005,60.89
Gambia,GMB,1982,7
Gambia,GMB,2000,37.46
Georgia,GEO,2005,19.75
Germany,DEU,1995,12.83
Germany,DEU,2001,13.82
Ghana,GHA,1970,35
Ghana,GHA,2000,23.93
Greece,GRC,1975,13.68
Greece,GRC,1985,11.94
Greece,GRC,1997,9.907
Greece,GRC,2007,8.787
Grenada,GRD,2014,85.11
Guatemala,GTM,2006,25.12
Guinea,GIN,1987,10
Guinea,GIN,2001,37.65
Guinea-Bissau,GNB,1991,60.24
Guinea-Bissau,GNB,1996,13.14
Guinea-Bissau,GNB,2000,13.14
Guyana,GUY,1992,1.027
Guyana,GUY,2000,1.829
Guyana,GUY,2010,4.242
Haiti,HTI,1991,5.092
Haiti,HTI,1995,8.638
Haiti,HTI,2009,13.1
Heavily indebted poor countries (HIPC),,2015,25.25
High income,,2014,3.488
High income,,2015,23.2021225709138
Honduras,HND,2003,19.6
Hungary,HUN,1970,21.74
Hungary,HUN,1975,19.25
Hungary,HUN,1985,8.999
Hungary,HUN,1992,13.79
Hungary,HUN,1996,13.79
Hungary,HUN,2002,14.53
Hungary,HUN,2007,14.2
Hungary,HUN,2012,14.18
IBRD only,,2015,13.4778360577794
IDA & IBRD total,,2014,85.11
IDA & IBRD total,,2015,13.5029184306374
IDA blend,,2014,85.11
IDA only,,2015,25.25
IDA total,,2014,85.11
IDA total,,2015,25.25
Iceland,ISL,1980,87.04
Iceland,ISL,1985,87.5
Iceland,ISL,1992,52.1
Iceland,ISL,2002,49.09
Iceland,ISL,2004,49.09
Iceland,ISL,2012,2.632
Iceland,ISL,2015,28.75
India,IND,1975,3
India,IND,1980,3.206
India,IND,1986,3.691
India,IND,1990,5
India,IND,2000,6.881
India,IND,2010,7.359
Indonesia,IDN,1990,6.361
Indonesia,IDN,2000,11.59
Iran,IRN,1995,7.229
Iran,IRN,2001,5.491
Iran,IRN,2004,6.645
Iraq,IRQ,1975,1.43
Iraq,IRQ,1980,1.752
Iraq,IRQ,1985,2.072
Iraq,IRQ,1990,2.991
Iraq,IRQ,1995,5.129
Iraq,IRQ,2000,6.515
Ireland,IRL,1980,38.6
Ireland,IRL,1994,39.97
Ireland,IRL,2007,93.01
Ireland,IRL,2012,82.96
Israel,ISR,1970,15.35
Israel,ISR,1975,18.84
Israel,ISR,1980,22.06
Israel,ISR,1990,26.72
Israel,ISR,2002,37.58
Israel,ISR,2004,36.44
Italy,ITA,1970,16.83
Italy,ITA,2000,20.06
Italy,ITA,2012,17.58
Jamaica,JAM,1993,18
Jamaica,JAM,2007,35.47
Japan,JPN,1980,15.53
Japan,JPN,1992,18.6
Japan,JPN,1997,18.31
Japan,JPN,2002,19.23
Japan,JPN,2007,18.92
Japan,JPN,2009,18.92
Jordan,JOR,1975,29.05
Jordan,JOR,1980,24.86
Jordan,JOR,1985,21.81
Jordan,JOR,1992,21.75
Jordan,JOR,2002,31.01
Jordan,JOR,2007,31.55
Jordan,JOR,2012,41.7
Jordan,JOR,2015,44.47
Kazakhstan,KAZ,1995,1.732
Kazakhstan,KAZ,2002,4.218
Kazakhstan,KAZ,2007,4.117
Kazakhstan,KAZ,2010,4.153
Kenya,KEN,1990,19.67
Kenya,KEN,2003,20.26
Kenya,KEN,2010,36.86
Kuwait,KWT,1994,37.36
Kuwait,KWT,2002,43.86
Kyrgyzstan,KGZ,1994,2.983
Kyrgyzstan,KGZ,2000,3.175
Kyrgyzstan,KGZ,2006,2.798
Laos,LAO,2005,3.722
Late-demographic dividend,,2014,3.488
Late-demographic dividend,,2015,13.2476319911508
Latin America & Caribbean,,2014,85.11
Latin America & Caribbean,,2015,14.57
Latin America & Caribbean (IDA & IBRD),,2014,85.11
Latin America & Caribbean (IDA & IBRD),,2015,14.57
Latin America & Caribbean (excluding high income),,2014,85.11
Latin America & Caribbean (excluding high income),,2015,14.57
Latvia,LVA,2007,57.29
