Entity,Code,Year,Genuine saving ($),GSTFP ($),Net investment ($),Green investment ($)
Argentina,ARG,1900,69.36,611.86,68.78,67.61
Argentina,ARG,1901,123.28,684.19,124.01,121.35
Argentina,ARG,1902,83.99,556.85,84.41,82.08
Argentina,ARG,1903,105.54,671.4,105.5,103.17
Argentina,ARG,1904,156.84,781.99,156.33,153.95
Argentina,ARG,1905,226.31,936.56,225.66,223.35
Argentina,ARG,1906,305.78,982.12,304.45,302.4
Argentina,ARG,1907,303.5,910.42,301.91,300.09
Argentina,ARG,1908,275.29,915.15,273.23,271.22
Argentina,ARG,1909,358.35,970.26,356.02,354.11
Argentina,ARG,1910,333.44,944.39,330.32,328.72
Argentina,ARG,1911,318.09,872.03,315.59,313.31
Argentina,ARG,1912,275.02,854.24,271.77,269.67
Argentina,ARG,1913,351.41,886.56,348.13,345.98
Argentina,ARG,1914,112.5,506.48,109.22,107.47
Argentina,ARG,1915,29.06,404.67,26.46,24.25
Argentina,ARG,1916,-3.63,339.31,-6.2,-8.54
Argentina,ARG,1917,-25.13,255.25,-27.86,-29.64
Argentina,ARG,1918,-39.38,345.32,-42.1,-44.83
Argentina,ARG,1919,-18.39,381.69,-22.83,-24.61
Argentina,ARG,1920,29.84,472.16,26.15,23.4
Argentina,ARG,1921,53.08,489.08,48.75,46.3
Argentina,ARG,1922,62.99,536.58,58.63,55.71
Argentina,ARG,1923,13.63,554.31,8.62,5.76
Argentina,ARG,1924,27.75,607.01,23.01,19.47
Argentina,ARG,1925,65.01,595.43,61.49,56.97
Argentina,ARG,1926,75.06,630.47,72.2,66.48
Argentina,ARG,1927,115.07,693.38,111.08,105.78
Argentina,ARG,1928,127.82,733.61,122.93,117.79
Argentina,ARG,1929,142.04,752.91,138.23,131.76
Argentina,ARG,1930,163.42,703.63,157.1,152.99
Argentina,ARG,1931,87.79,511.95,82.21,78.53
Argentina,ARG,1932,22.83,403.79,17.61,13.47
Argentina,ARG,1933,45.63,447.66,40.87,35.32
Argentina,ARG,1934,185.28,634.39,186.41,173.95
Argentina,ARG,1935,243.33,712.06,242.93,231.46
Argentina,ARG,1936,287.93,740.5,290.22,275.69
Argentina,ARG,1937,437.08,932.24,441.92,424.56
Argentina,ARG,1938,396.83,866.37,397.04,384.04
Argentina,ARG,1939,226.77,706.22,229.14,213.24
Argentina,ARG,1940,186.67,660.75,192.9,173.3
Argentina,ARG,1941,112.16,614.98,119.43,98.42
Argentina,ARG,1942,60.94,554.3,67.3,47.17
Argentina,ARG,1943,30.84,491.41,36.55,17.23
Argentina,ARG,1944,58.06,602.3,59.57,42.97
Argentina,ARG,1945,76.13,556.64,76.52,61.61
Argentina,ARG,1946,197.63,732.97,194.42,181.84
Argentina,ARG,1947,442.13,1052.71,435.31,424.66
Argentina,ARG,1948,462.8,1085.45,454.05,444.36
Argentina,ARG,1949,358.67,914.71,347.89,339.46
Argentina,ARG,1950,340.53,858.75,330.22,321.57
Argentina,ARG,1951,341.07,856.2,331.74,321.02
Argentina,ARG,1952,302.74,733.1,293.65,283.26
Argentina,ARG,1953,274.75,721.62,264.37,253.86
Argentina,ARG,1954,263.04,719.15,252.58,241
Argentina,ARG,1955,297.99,789.12,285.84,274.04
Argentina,ARG,1956,317.31,803.11,303.89,292.52
Argentina,ARG,1957,361.93,865.53,349.46,335.57
Argentina,ARG,1958,385.76,917.87,371.93,358.55
Argentina,ARG,1959,302.87,740.95,291.37,274.41
Argentina,ARG,1960,431.04,924.43,431.69,402.32
Argentina,ARG,1961,433.91,962.31,440.36,402.96
