Entity,Code,Year,Coal consumption per capita (BP & UN (2017 revision)) (megawatt-hours)
Africa,,1965,1.040686258
Africa,,1966,1.001970157
Africa,,1967,1.005196639
Africa,,1968,1.02113886
Africa,,1969,1.001082551
Africa,,1970,1.004125663
Africa,,1971,1.0336766130000001
Africa,,1972,1.016788571
Africa,,1973,1.04722408
Africa,,1974,1.062219828
Africa,,1975,1.0985441710000001
Africa,,1976,1.122316064
Africa,,1977,1.116715352
Africa,,1978,1.053098505
Africa,,1979,1.0810882979999998
Africa,,1980,1.133066358
Africa,,1981,1.288503268
Africa,,1982,1.3832512449999999
Africa,,1983,1.358982878
Africa,,1984,1.4189590060000001
Africa,,1985,1.424015244
Africa,,1986,1.4166797999999998
Africa,,1987,1.417025637
Africa,,1988,1.481292459
Africa,,1989,1.353029718
Africa,,1990,1.383818164
Africa,,1991,1.309550666
Africa,,1992,1.283041609
Africa,,1993,1.269378578
Africa,,1994,1.269119665
Africa,,1995,1.275598232
Africa,,1996,1.261297603
Africa,,1997,1.2618301440000002
Africa,,1998,1.203051786
Africa,,1999,1.210651701
Africa,,2000,1.179051616
Africa,,2001,1.165833105
Africa,,2002,1.0895892169999999
Africa,,2003,1.157126065
Africa,,2004,1.240446838
Africa,,2005,1.123159928
Africa,,2006,1.111037346
Africa,,2007,1.101462472
Africa,,2008,1.1836341270000001
Africa,,2009,1.148560422
Africa,,2010,1.109291434
Africa,,2011,1.063184619
Africa,,2012,1.010677996
Africa,,2013,0.9991326051999999
Africa,,2014,1.021944556
Africa,,2015,0.9281220812000001
Algeria,DZA,1965,0.06447319987
Algeria,DZA,1966,0.060926327630000006
Algeria,DZA,1967,0.04528613738
Algeria,DZA,1968,0.04653899807
Algeria,DZA,1969,0.057556192760000006
Algeria,DZA,1970,0.06634280029999999
Algeria,DZA,1971,0.01788021732
Algeria,DZA,1972,0.01512639613
Algeria,DZA,1973,0.01692500355
Algeria,DZA,1974,0.01360057014
Algeria,DZA,1975,0.01670467091
Algeria,DZA,1976,0.03179769636
Algeria,DZA,1977,0.04010303115
Algeria,DZA,1978,0.019795933810000003
Algeria,DZA,1979,0.044633583889999995
Algeria,DZA,1980,0.03849058692
Algeria,DZA,1981,0.026241416820000002
Algeria,DZA,1982,0.47196690890000004
Algeria,DZA,1983,0.40815112319999997
Algeria,DZA,1984,0.4387706449
Algeria,DZA,1985,0.4442569443
Algeria,DZA,1986,0.44285657
Algeria,DZA,1987,0.5144490755000001
Algeria,DZA,1988,0.4705631525
Algeria,DZA,1989,0.3872419438
Algeria,DZA,1990,0.295772671
Algeria,DZA,1991,0.2978196135
Algeria,DZA,1992,0.3457197124
Algeria,DZA,1993,0.2754073515
Algeria,DZA,1994,0.25423227130000003
Algeria,DZA,1995,0.2494646298
Algeria,DZA,1996,0.1154640129
Algeria,DZA,1997,0.19923686140000002
Algeria,DZA,1998,0.2100901999
Algeria,DZA,1999,0.2218974151
Algeria,DZA,2000,0.1808815899
Algeria,DZA,2001,0.20615245820000003
Algeria,DZA,2002,0.2671679234
Algeria,DZA,2003,0.2175004847
Algeria,DZA,2004,0.25611359429999997
Algeria,DZA,2005,0.2075261148
Algeria,DZA,2006,0.30367949
Algeria,DZA,2007,0.2566731922
Algeria,DZA,2008,0.2525453078
Algeria,DZA,2009,0.1593700516
Algeria,DZA,2010,0.09982103757
Algeria,DZA,2011,0.08686280264
Algeria,DZA,2012,0.09040019782
Algeria,DZA,2013,0.04792928853
Algeria,DZA,2014,0.05322407744
