Entity,Code,Year, (% of children under 5 who received ORS packet)
Afghanistan,AFG,1986,26
Afghanistan,AFG,1987,11
Afghanistan,AFG,1989,11
Afghanistan,AFG,1997,33
Afghanistan,AFG,2003,29.5
Afghanistan,AFG,2011,53.3
Afghanistan,AFG,2015,46.2
Albania,ALB,2000,23.5
Albania,ALB,2005,51.8
Albania,ALB,2009,54
Algeria,DZA,1986,6
Algeria,DZA,1987,16
Algeria,DZA,1989,26
Algeria,DZA,2000,17.7000007629395
Algeria,DZA,2002,29.5
Algeria,DZA,2006,18.5
Algeria,DZA,2012,33.5
Algeria,DZA,2013,25.3
Angola,AGO,1986,5
Angola,AGO,1987,12
Angola,AGO,1989,12
Angola,AGO,1996,34.9000015258789
Angola,AGO,2016,42.6
Arab World,,1986,26.2570330888014
Arab World,,1987,42.7773906083806
Arab World,,1989,48.0386615544357
Argentina,ARG,1986,3
Argentina,ARG,1987,3
Argentina,ARG,1989,70
Argentina,ARG,2012,17.5
Armenia,ARM,1997,33
Armenia,ARM,2000,33
Armenia,ARM,2005,24.9
Armenia,ARM,2010,33
Armenia,ARM,2016,36.9
Azerbaijan,AZE,2000,10.1
Azerbaijan,AZE,2006,21.1
Azerbaijan,AZE,2011,11.1
Bahrain,BHR,1986,37
Bahrain,BHR,1987,53
Bahrain,BHR,1989,6
Bahrain,BHR,1995,35.5
Bangladesh,BGD,1986,51
Bangladesh,BGD,1987,26
Bangladesh,BGD,1989,26
Bangladesh,BGD,1994,50.3
Bangladesh,BGD,1997,48.1
Bangladesh,BGD,2000,61.4
Bangladesh,BGD,2004,67.2
Bangladesh,BGD,2006,64.369832
Bangladesh,BGD,2007,76.6
Bangladesh,BGD,2011,77.6
Bangladesh,BGD,2013,73
Bangladesh,BGD,2014,77
Barbados,BRB,1986,1
Barbados,BRB,1987,1
Barbados,BRB,1989,10
Belarus,BLR,2005,36.44599
Belarus,BLR,2012,45.3
Belize,BLZ,1986,65
Belize,BLZ,1987,65
Belize,BLZ,1989,65
Belize,BLZ,1991,33
Belize,BLZ,2006,27
Belize,BLZ,2011,22.8
Belize,BLZ,2016,55.2
Benin,BEN,1986,12
Benin,BEN,1987,26
Benin,BEN,1989,45
Benin,BEN,1996,25.8
Benin,BEN,2001,23.3
Benin,BEN,2006,23.3
Benin,BEN,2012,50.1
Benin,BEN,2014,25.4
Bhutan,BTN,1986,11
Bhutan,BTN,1987,40
Bhutan,BTN,1989,40
Bhutan,BTN,2010,60.9
Bolivia,BOL,1986,21
Bolivia,BOL,1987,53
Bolivia,BOL,1989,60
Bolivia,BOL,1994,33.4
Bolivia,BOL,1998,30
Bolivia,BOL,2000,24.6
Bolivia,BOL,2003,28.8
Bolivia,BOL,2008,34.9
Bolivia,BOL,2012,22.3
Bosnia and Herzegovina,BIH,2000,13.2
Bosnia and Herzegovina,BIH,2006,34.653353
Bosnia and Herzegovina,BIH,2012,36.3
Botswana,BWA,1986,46
Botswana,BWA,1987,46
Botswana,BWA,1989,66
Botswana,BWA,2000,48.9
Botswana,BWA,2007,42.9
Brazil,BRA,1986,40
Brazil,BRA,1987,40
Brazil,BRA,1989,45
Brazil,BRA,1991,27
Brazil,BRA,1996,43.6
Brunei,BRN,1986,7
Burkina Faso,BFA,1986,9
Burkina Faso,BFA,1987,15
Burkina Faso,BFA,1989,15
Burkina Faso,BFA,1993,12
Burkina Faso,BFA,1999,14.6
Burkina Faso,BFA,2003,18.9
Burkina Faso,BFA,2006,16.504402
Burkina Faso,BFA,2010,21.2
Burkina Faso,BFA,2015,39.5
Burundi,BDI,1986,9
Burundi,BDI,1987,30
Burundi,BDI,1989,30
Burundi,BDI,2000,11
Burundi,BDI,2005,34.792088
Burundi,BDI,2010,37.8
Burundi,BDI,2012,47.2
Burundi,BDI,2017,35.6
Cambodia,KHM,1986,16
Cambodia,KHM,1987,6
Cambodia,KHM,1989,6
Cambodia,KHM,2000,17.8
Cambodia,KHM,2005,21.1
Cambodia,KHM,2010,34.1
Cambodia,KHM,2014,35.2
Cameroon,CMR,1986,1
Cameroon,CMR,1987,22
Cameroon,CMR,1989,84
Cameroon,CMR,1991,18
Cameroon,CMR,1998,21.9
Cameroon,CMR,2000,14.1
Cameroon,CMR,2004,16.8
Cameroon,CMR,2006,12.757292
Cameroon,CMR,2011,17.2
Cameroon,CMR,2014,15.8
Cape Verde,CPV,1986,9
Cape Verde,CPV,1987,9
Cape Verde,CPV,1989,5
Caribbean small states,,1986,22.8354830320858
Caribbean small states,,1987,23.4421872355167
Caribbean small states,,1989,32.5764346084753
Central African Republic,CAF,1986,6
Central African Republic,CAF,1987,15
Central African Republic,CAF,1989,20
Central African Republic,CAF,1995,27.7
Central African Republic,CAF,1996,24
Central African Republic,CAF,2000,17.2
Central African Republic,CAF,2006,13.442692
Central African Republic,CAF,2010,15.6
Chad,TCD,1985,7
Chad,TCD,1986,2
Chad,TCD,1987,2
Chad,TCD,1989,10
Chad,TCD,1997,23.4
Chad,TCD,2000,15.6
Chad,TCD,2004,15.1
Chad,TCD,2010,13.3
Chad,TCD,2015,20.4
Chile,CHL,1989,1
China,CHN,1986,5
China,CHN,1987,5
China,CHN,1989,40
China,CHN,1994,11.3000001907349
Colombia,COL,1986,6
Colombia,COL,1987,12
Colombia,COL,1989,40
Colombia,COL,1990,31.1
Colombia,COL,1995,44.5
Colombia,COL,2000,36.3
Colombia,COL,2005,46.6
Colombia,COL,2010,54.1
Comoros,COM,1986,1
Comoros,COM,1987,18
Comoros,COM,1989,79
Comoros,COM,1996,29.1
Comoros,COM,2000,18.5
Comoros,COM,2012,37.5
Congo,COG,1986,2
Congo,COG,1987,2
Congo,COG,1989,13
Congo,COG,2005,18.2
Congo,COG,2012,28
Congo,COG,2015,26.9
Costa Rica,CRI,1986,52
Costa Rica,CRI,1987,78
Costa Rica,CRI,1989,78
Costa Rica,CRI,1994,31
Costa Rica,CRI,2011,40
Cote d'Ivoire,CIV,1986,4
