Entity,Code,Year,Gas (%)
Africa,,1965,1.342395298596721
Africa,,1966,1.4373049091233316
Africa,,1967,1.4052750554137472
Africa,,1968,1.3511529967807032
Africa,,1969,1.5461117075542672
Africa,,1970,1.7720146534986436
Africa,,1971,1.9346391430174088
Africa,,1972,2.4388744574408148
Africa,,1973,3.636573022728752
Africa,,1974,3.8967657825359665
Africa,,1975,4.435265283103415
Africa,,1976,4.633554264468722
Africa,,1977,4.929601084871047
Africa,,1978,6.772659398058391
Africa,,1979,9.493636272846615
Africa,,1980,11.070080781133584
Africa,,1981,12.138387747653026
Africa,,1982,12.272737805382377
Africa,,1983,13.13125964435937
Africa,,1984,12.162373821363209
Africa,,1985,12.572934693621226
Africa,,1986,13.804623689145748
Africa,,1987,13.818874935000377
Africa,,1988,14.286613843677081
Africa,,1989,14.762529428683926
Africa,,1990,15.347552426421949
Africa,,1991,15.47888538250031
Africa,,1992,15.965299770192019
Africa,,1993,15.576607792266453
Africa,,1994,15.834199095374736
Africa,,1995,16.25390073433769
Africa,,1996,16.615450993568935
Africa,,1997,15.977940224031695
Africa,,1998,16.56155782864182
Africa,,1999,16.22590220543586
Africa,,2000,17.511311079669284
Africa,,2001,19.436038748133782
Africa,,2002,20.372695583286728
Africa,,2003,20.6487833589921
Africa,,2004,20.9677297595823
Africa,,2005,21.588758834888747
Africa,,2006,22.1273874588502
Africa,,2007,22.735424847993034
Africa,,2008,22.30137495868422
Africa,,2009,22.093020536713574
Africa,,2010,22.158557595365743
Africa,,2011,23.92310417248612
Africa,,2012,24.79091809501865
Africa,,2013,24.468899941703835
Africa,,2014,24.38676463814111
Africa,,2015,25.601356398806672
Africa,,2016,26.416261760388892
Africa,,2017,26.981540684073828
Africa,,2018,27.94486915424323
Algeria,DZA,1965,30.10137128743626
Algeria,DZA,1966,25.958877528446134
Algeria,DZA,1967,26.643834578183707
Algeria,DZA,1968,26.117426290861605
Algeria,DZA,1969,30.96954553256466
Algeria,DZA,1970,26.602349558299686
Algeria,DZA,1971,27.890339630566164
Algeria,DZA,1972,28.832824144364622
Algeria,DZA,1973,33.6865679777982
Algeria,DZA,1974,35.18854145451202
Algeria,DZA,1975,40.549152801706114
Algeria,DZA,1976,41.10053538175134
Algeria,DZA,1977,39.83424268146722
Algeria,DZA,1978,50.887375420963735
Algeria,DZA,1979,54.91763476369069
Algeria,DZA,1980,61.80829690814369
Algeria,DZA,1981,66.1485626938428
Algeria,DZA,1982,65.0978445882856
Algeria,DZA,1983,65.23540904802006
Algeria,DZA,1984,59.69881054503732
Algeria,DZA,1985,58.68580806661727
Algeria,DZA,1986,60.718065851016824
Algeria,DZA,1987,60.45054075390557
Algeria,DZA,1988,63.57571457494249
Algeria,DZA,1989,61.51035112163032
Algeria,DZA,1990,61.94991726693454
Algeria,DZA,1991,61.76046838283725
Algeria,DZA,1992,62.14000081399287
Algeria,DZA,1993,59.938123293487855
Algeria,DZA,1994,62.33496711103903
Algeria,DZA,1995,64.59050096674342
Algeria,DZA,1996,67.028192156358
Algeria,DZA,1997,65.1500909520699
Algeria,DZA,1998,65.09727617444642
Algeria,DZA,1999,65.87339525656355
Algeria,DZA,2000,63.6862484974886
Algeria,DZA,2001,63.4901245643357
Algeria,DZA,2002,60.52134332214795
Algeria,DZA,2003,61.1343637584045
Algeria,DZA,2004,60.59195827249457
Algeria,DZA,2005,61.05811111699838
Algeria,DZA,2006,60.26198893908449
Algeria,DZA,2007,58.51087892126506
Algeria,DZA,2008,57.624126687185665
Algeria,DZA,2009,58.40355435857564
Algeria,DZA,2010,57.903291825542716
Algeria,DZA,2011,57.697616545586484
