Entity,Code,Year,Percentage of teachers in tertiary education who are female (%) (%)
Afghanistan,AFG,1970,5.54855012893677
Afghanistan,AFG,1973,5.45885992050171
Afghanistan,AFG,1974,6.51731014251709
Afghanistan,AFG,1979,6.97514009475708
Afghanistan,AFG,1990,24.0685501098633
Afghanistan,AFG,2003,11.9668197631836
Afghanistan,AFG,2004,11.9595699310303
Afghanistan,AFG,2009,15.5296201705933
Afghanistan,AFG,2011,20.4775905609131
Afghanistan,AFG,2014,10.7253198623657
Albania,ALB,1971,14.5788297653198
Albania,ALB,1978,19.7044296264648
Albania,ALB,1981,19.9456005096436
Albania,ALB,1983,22.5806503295898
Albania,ALB,1984,22.6470603942871
Albania,ALB,1985,22.1704406738281
Albania,ALB,1986,23.6375999450684
Albania,ALB,1987,24.7846298217773
Albania,ALB,1988,25.230770111084
Albania,ALB,1989,25.9795093536377
Albania,ALB,1991,28.4053192138672
Albania,ALB,1992,27.0914096832275
Albania,ALB,1993,29.5833301544189
Albania,ALB,1994,27.0575008392334
Albania,ALB,1995,26.9946804046631
Albania,ALB,1996,27.8188495635986
Albania,ALB,1998,31.4310092926025
Albania,ALB,1999,36.5652694702148
Albania,ALB,2000,38.1923217773438
Albania,ALB,2011,50.5317001342773
Albania,ALB,2013,51.0551490783691
Albania,ALB,2014,52.3550987243652
Algeria,DZA,2001,31.6187305450439
Algeria,DZA,2002,31.6142406463623
Algeria,DZA,2003,31.6175498962402
Algeria,DZA,2004,31.6166591644287
Algeria,DZA,2005,33.1394691467285
Algeria,DZA,2006,34.245979309082
Algeria,DZA,2007,35.1513404846191
Algeria,DZA,2009,37.7744293212891
Algeria,DZA,2010,38.4595985412598
Algeria,DZA,2011,39.1979217529297
Algeria,DZA,2012,40.7069396972656
Algeria,DZA,2013,41.8492813110352
Algeria,DZA,2014,41.7506713867188
Andorra,AND,2002,44.4444389343262
Andorra,AND,2003,50
Andorra,AND,2004,47.6190490722656
Andorra,AND,2006,39.5061683654785
Andorra,AND,2008,42.5287399291992
Andorra,AND,2009,61.0619506835938
Andorra,AND,2012,33.7579612731934
Andorra,AND,2013,44.8598098754883
Andorra,AND,2014,45.0980415344238
Angola,AGO,1999,20.3517608642578
Angola,AGO,2000,20.4131202697754
Angola,AGO,2002,20.4669303894043
Angola,AGO,2011,38.0261993408203
Antigua and Barbuda,ATG,2009,47.6190490722656
Antigua and Barbuda,ATG,2010,61.8497085571289
Antigua and Barbuda,ATG,2011,63.0057792663574
Antigua and Barbuda,ATG,2012,54.3378982543945
Arab World,,1988,29.8291091918945
Arab World,,1989,28.9450397491455
Arab World,,1990,28.5800895690918
Arab World,,1991,27.8172206878662
Arab World,,1992,28.5834903717041
Arab World,,1993,29.0409908294678
Arab World,,1994,29.6888008117676
Arab World,,1995,30.2500095367432
Arab World,,1996,30.8369598388672
Arab World,,1997,31.042049407959
Arab World,,1998,31.5871505737305
Arab World,,1999,31.8918209075928
Arab World,,2000,31.526029586792
Arab World,,2001,31.920280456543
Arab World,,2002,32.1213798522949
Arab World,,2003,32.020580291748
Arab World,,2004,33.0446281433105
Arab World,,2005,33.3170585632324
Arab World,,2006,33.476390838623
Arab World,,2007,33.688648223877
Arab World,,2008,33.8553581237793
Arab World,,2009,34.2112998962402
Arab World,,2010,34.9486503601074
Arab World,,2011,35.1323509216309
Arab World,,2012,35.288200378418
Arab World,,2013,36.4402503967285
Arab World,,2014,37.5075302124023
Argentina,ARG,1970,30.6491107940674
Argentina,ARG,1971,34.5371017456055
Argentina,ARG,1972,35.3006286621094
Argentina,ARG,1973,34.9219818115234
Argentina,ARG,1974,37.4452018737793
Argentina,ARG,1975,39.0783996582031
Argentina,ARG,1976,40.0056381225586
Argentina,ARG,1977,38.2847099304199
Argentina,ARG,1978,40.0641899108887
Argentina,ARG,1979,40.2504386901855
Argentina,ARG,1980,43.3116493225098
Argentina,ARG,1981,43.9805183410645
Argentina,ARG,1982,43.6256294250488
Argentina,ARG,1983,45.8699607849121
Argentina,ARG,1984,46.2634315490723
Argentina,ARG,1985,46.2439384460449
Argentina,ARG,1986,47.2972793579102
Argentina,ARG,1987,50.4744606018066
Argentina,ARG,1998,52.7679710388184
Argentina,ARG,1999,53.9785385131836
Argentina,ARG,2000,54.404239654541
Argentina,ARG,2001,49.1025695800781
Argentina,ARG,2002,50.1263008117676
Argentina,ARG,2003,50.2504615783691
Argentina,ARG,2004,50.3625793457031
Argentina,ARG,2005,50.3624496459961
Argentina,ARG,2006,53.1532897949219
Argentina,ARG,2009,48.5644798278809
Armenia,ARM,2001,51.104061126709
Armenia,ARM,2002,54.7879981994629
Armenia,ARM,2003,53.5440711975098
Armenia,ARM,2004,54.1275100708008
Armenia,ARM,2005,54.0495681762695
Armenia,ARM,2006,53.7778015136719
Armenia,ARM,2007,54.3517990112305
Armenia,ARM,2008,54.7179183959961
Armenia,ARM,2009,55.1721992492676
Armenia,ARM,2010,55.9111289978027
Armenia,ARM,2011,55.319019317627
Armenia,ARM,2012,55.2938995361328
Armenia,ARM,2013,56.4722595214844
Armenia,ARM,2014,57.4128684997559
Aruba,ABW,1999,43.1372489929199
Aruba,ABW,2000,44.5121994018555
Aruba,ABW,2001,41.7647094726563
Aruba,ABW,2002,46.5408782958984
Aruba,ABW,2003,45.5621299743652
Aruba,ABW,2004,46.5517196655273
Aruba,ABW,2005,44.7368392944336
Aruba,ABW,2006,45.7265014648438
Aruba,ABW,2007,50
Aruba,ABW,2008,53.990608215332
Aruba,ABW,2009,52.3809509277344
Aruba,ABW,2010,53.5714302062988
Aruba,ABW,2011,53.9473686218262
Aruba,ABW,2012,53.2075500488281
Aruba,ABW,2013,53.5087699890137
Aruba,ABW,2014,54.3103408813477
Australia,AUS,1985,22.5694007873535
Australia,AUS,1988,28.3121204376221
Australia,AUS,1989,29.3384494781494
Australia,AUS,1990,33.0757598876953
Australia,AUS,1991,33.2810211181641
Australia,AUS,1992,31.4335708618164
Australia,AUS,2013,44.0120582580566
Austria,AUT,1971,11.9197702407837
Austria,AUT,1972,11.4779901504517
Austria,AUT,1973,12.2178897857666
Austria,AUT,1974,11.6162204742432
Austria,AUT,1975,13.4356803894043
Austria,AUT,1981,14.6741399765015
Austria,AUT,1985,18.3426609039307
Austria,AUT,1994,24.7007904052734
Austria,AUT,1995,25.157600402832
Austria,AUT,1996,26.1114101409912
Austria,AUT,1997,26.9767799377441
Austria,AUT,2002,29.0294609069824
Austria,AUT,2003,29.3679008483887
Austria,AUT,2006,34.5816993713379
Austria,AUT,2007,32.0563888549805
Austria,AUT,2008,32.4511985778809
Austria,AUT,2009,33.0603408813477
Austria,AUT,2010,37.6647911071777
Austria,AUT,2011,38.9290199279785
Austria,AUT,2012,39.8028984069824
Austria,AUT,2013,42.1012802124023
Austria,AUT,2014,42.5549583435059
Azerbaijan,AZE,2006,49.6045303344727
Azerbaijan,AZE,2007,50.0909004211426
Azerbaijan,AZE,2008,53.8627281188965
Azerbaijan,AZE,2009,51.9275398254395
Azerbaijan,AZE,2010,52.3792915344238
Azerbaijan,AZE,2011,52.8042907714844
Azerbaijan,AZE,2012,53.746940612793
Azerbaijan,AZE,2013,54.0297889709473
Azerbaijan,AZE,2014,55.8870391845703
Bahamas,BHS,1988,47.7911605834961
Bahamas,BHS,1995,56.25
Bahrain,BHR,1971,37.5
Bahrain,BHR,1972,36.363639831543
Bahrain,BHR,1973,37.8378410339355
Bahrain,BHR,1974,34.8837203979492
Bahrain,BHR,1975,16.4179096221924
Bahrain,BHR,1976,13.9240503311157
Bahrain,BHR,1977,17.8217792510986
Bahrain,BHR,1980,13.6000003814697
Bahrain,BHR,1981,13.2075500488281
Bahrain,BHR,1982,20.4347801208496
Bahrain,BHR,1985,28.9699592590332
Bahrain,BHR,1986,36.6359405517578
Bahrain,BHR,1987,32.7416191101074
Bahrain,BHR,1988,27.9383392333984
Bahrain,BHR,1991,29.2639102935791
Bahrain,BHR,1992,27.9338798522949
Bahrain,BHR,1993,28.3505191802979
Bahrain,BHR,1994,28.854959487915
Bahrain,BHR,2003,36.1726989746094
Bahrain,BHR,2004,36.1778793334961
Bahrain,BHR,2012,35.4064407348633
Bahrain,BHR,2013,37.466739654541
Bahrain,BHR,2014,36.3911590576172
Bangladesh,BGD,1970,8.06832027435303
Bangladesh,BGD,1976,10.1458902359009
Bangladesh,BGD,1977,9.98474025726318
Bangladesh,BGD,1978,10.048150062561
Bangladesh,BGD,1979,10.5442495346069
Bangladesh,BGD,1980,10.5004796981812
Bangladesh,BGD,1981,12.2818002700806
Bangladesh,BGD,1982,10.8100900650024
Bangladesh,BGD,1983,11.9305400848389
Bangladesh,BGD,1984,12.5419301986694
Bangladesh,BGD,1985,18.1688995361328
Bangladesh,BGD,1986,18.3457794189453
Bangladesh,BGD,1990,12.7455797195435
Bangladesh,BGD,1999,14.9367504119873
Bangladesh,BGD,2000,15.4107503890991
Bangladesh,BGD,2001,15.7304496765137
Bangladesh,BGD,2002,15.8097095489502
Bangladesh,BGD,2003,15.5846099853516
Bangladesh,BGD,2004,15.3969602584839
Bangladesh,BGD,2005,15.2379703521729
Bangladesh,BGD,2006,16.100959777832
Bangladesh,BGD,2007,18.0842208862305
Bangladesh,BGD,2008,19.8931293487549
Bangladesh,BGD,2009,20.3624496459961
Bangladesh,BGD,2011,17.0550498962402
Bangladesh,BGD,2012,17.0406608581543
Bangladesh,BGD,2014,17.5934295654297
Barbados,BRB,1981,28.391170501709
Barbados,BRB,1984,27.3542594909668
Barbados,BRB,1999,41.4673004150391
Barbados,BRB,2000,46.455509185791
Barbados,BRB,2001,50.8445892333984
Barbados,BRB,2007,48.7277412414551
Belarus,BLR,1999,50.8638114929199
Belarus,BLR,2000,52.5117988586426
Belarus,BLR,2001,53.5408897399902
Belarus,BLR,2002,54.2050590515137
Belarus,BLR,2003,54.0856513977051
Belarus,BLR,2004,54.935619354248
Belarus,BLR,2005,55.6754188537598
Belarus,BLR,2006,55.9883308410645
Belarus,BLR,2007,55.9079818725586
Belarus,BLR,2008,59.2517700195313
Belarus,BLR,2009,58.4493408203125
Belarus,BLR,2010,58.7227210998535
Belarus,BLR,2011,58.9231910705566
Belarus,BLR,2012,60.5353584289551
Belarus,BLR,2013,58.1297912597656
Belarus,BLR,2014,60.9424018859863
Belgium,BEL,1987,30.5881099700928
Belgium,BEL,1989,31.3642292022705
Belgium,BEL,1990,31.7399101257324
Belgium,BEL,1991,32.5005302429199
Belgium,BEL,1993,34.983570098877
Belgium,BEL,1994,35.824878692627
Belgium,BEL,2000,37.3835487365723
Belgium,BEL,2001,37.9888000488281
Belgium,BEL,2002,38.7933616638184
Belgium,BEL,2003,39.260368347168
Belgium,BEL,2004,39.895320892334
Belgium,BEL,2005,40.6572494506836
Belgium,BEL,2006,41.3741493225098
Belgium,BEL,2007,42.1362800598145
Belgium,BEL,2008,42.477180480957
Belgium,BEL,2009,42.9425888061523
Belgium,BEL,2010,45.1531600952148
Belgium,BEL,2011,45.5753593444824
Belgium,BEL,2012,45.9648590087891
Belgium,BEL,2013,46.8773994445801
Belgium,BEL,2014,48.1679611206055
Belize,BLZ,1971,53.3333282470703
Belize,BLZ,1972,55
Belize,BLZ,1974,54.5454483032227
Belize,BLZ,1975,65.2173919677734
Belize,BLZ,2011,45.5801086425781
Belize,BLZ,2012,50.2380981445313
Belize,BLZ,2013,49.282299041748
Belize,BLZ,2014,50.5882415771484
Benin,BEN,1971,12.1212100982666
Benin,BEN,1972,13.461540222168
Benin,BEN,1973,10
Benin,BEN,1974,9.24370002746582
Benin,BEN,1992,14.4307498931885
Benin,BEN,1993,9.86546993255615
Benin,BEN,1994,12.3302001953125
Benin,BEN,1999,8.92308044433594
Benin,BEN,2000,8.91219043731689
Benin,BEN,2001,8.90052032470703
Benin,BEN,2008,9.86900043487549
Benin,BEN,2009,7.58270978927612
Benin,BEN,2010,7.82608985900879
Benin,BEN,2011,8.33203029632568
Bermuda,BMU,1981,32.8358192443848
Bermuda,BMU,2001,53.2710304260254
Bermuda,BMU,2002,54.5454483032227
Bermuda,BMU,2005,57.9710083007813
Bermuda,BMU,2007,54.5454483032227
Bermuda,BMU,2009,50.602409362793
Bermuda,BMU,2010,57.8313293457031
Bermuda,BMU,2011,54.9295806884766
Bermuda,BMU,2012,54.0983581542969
Bermuda,BMU,2014,55.1724090576172
Bhutan,BTN,1979,41.6666717529297
Bhutan,BTN,1980,27.0270309448242
Bhutan,BTN,2008,26.3556098937988
Bhutan,BTN,2010,22.699390411377
Bhutan,BTN,2011,24.4725704193115
Bhutan,BTN,2012,27.434549331665
Bolivia,BOL,2007,28.6069507598877
Bosnia and Herzegovina,BIH,2008,38.2611999511719
Bosnia and Herzegovina,BIH,2009,40.2574882507324
Bosnia and Herzegovina,BIH,2010,38.3197402954102
Bosnia and Herzegovina,BIH,2011,39.8009986877441
Bosnia and Herzegovina,BIH,2012,41.5654792785645
Bosnia and Herzegovina,BIH,2013,41.8635215759277
Bosnia and Herzegovina,BIH,2014,43.1198501586914
Botswana,BWA,1972,14.7058801651001
Botswana,BWA,1973,20
Botswana,BWA,1974,13.3333301544189
Botswana,BWA,1975,21.4285697937012
Botswana,BWA,1976,17.7419395446777
Botswana,BWA,1996,27.7124195098877
Brazil,BRA,1970,20.7084293365479
Brazil,BRA,1971,21.9383106231689
Brazil,BRA,1972,22.6706504821777
Brazil,BRA,1973,23.3885498046875
Brazil,BRA,1974,25.0562191009521
Brazil,BRA,1979,29.2958202362061
Brazil,BRA,1980,30.2747097015381
Brazil,BRA,1983,43.1428604125977
Brazil,BRA,1988,35.8040504455566
Brazil,BRA,1989,36.3644218444824
Brazil,BRA,1990,40.6431083679199
Brazil,BRA,1991,37.5513610839844
Brazil,BRA,1992,37.3086891174316
Brazil,BRA,1993,38.4029884338379
Brazil,BRA,1994,37.8203582763672
Brazil,BRA,1998,42.0089416503906
Brazil,BRA,1999,40.7660102844238
Brazil,BRA,2000,40.8359413146973
Brazil,BRA,2001,42.1506690979004
Brazil,BRA,2002,52.7683296203613
Brazil,BRA,2003,46.4729690551758
Brazil,BRA,2004,43.840690612793
Brazil,BRA,2005,44.3207588195801
Brazil,BRA,2007,43.7340507507324
Brazil,BRA,2008,43.7359085083008
Brazil,BRA,2009,44.833438873291
Brazil,BRA,2010,44.8790283203125
Brazil,BRA,2011,45.0550918579102
Brazil,BRA,2012,45.1763305664063
Brazil,BRA,2013,45.1105690002441
Brazil,BRA,2014,45.411678314209
Brunei,BRN,1977,27.0833301544189
Brunei,BRN,1979,27.4509792327881
Brunei,BRN,1983,26.5625
Brunei,BRN,1984,25.2631607055664
Brunei,BRN,1986,15.8940401077271
Brunei,BRN,1987,14.3678197860718
Brunei,BRN,1992,16.8067207336426
Brunei,BRN,1993,17.4242401123047
Brunei,BRN,1994,16.3701095581055
Brunei,BRN,1998,27.8145694732666
Brunei,BRN,1999,32.1285095214844
Brunei,BRN,2000,33.7474098205566
Brunei,BRN,2001,32.9457397460938
Brunei,BRN,2002,33.8144302368164
Brunei,BRN,2003,35.3658485412598
Brunei,BRN,2004,36.363639831543
Brunei,BRN,2005,38.8135604858398
Brunei,BRN,2006,39.3442611694336
Brunei,BRN,2007,42.6810493469238
Brunei,BRN,2008,42.1582717895508
Brunei,BRN,2009,42.319751739502
Brunei,BRN,2010,45.2312088012695
Brunei,BRN,2011,44.5573310852051
Brunei,BRN,2012,46.1212997436523
Brunei,BRN,2013,46.6266899108887
Brunei,BRN,2014,47.3895606994629
Bulgaria,BGR,1971,26.1197891235352
Bulgaria,BGR,1972,27.3404102325439
Bulgaria,BGR,1973,29.1437702178955
Bulgaria,BGR,1974,29.2852001190186
Bulgaria,BGR,1975,31.2632999420166
Bulgaria,BGR,1976,32.1913299560547
Bulgaria,BGR,1977,31.0456104278564
Bulgaria,BGR,1978,34.4340591430664
Bulgaria,BGR,1979,35.5116195678711
Bulgaria,BGR,1980,36.1191215515137
Bulgaria,BGR,1981,38.8009986877441
Bulgaria,BGR,1982,34.4212799072266
Bulgaria,BGR,1983,37.3655700683594
Bulgaria,BGR,1984,36.5464706420898
Bulgaria,BGR,1985,35.9967803955078
Bulgaria,BGR,1986,36.6640396118164
Bulgaria,BGR,1987,35.3531913757324
Bulgaria,BGR,1988,37.4141998291016
Bulgaria,BGR,1989,37.833740234375
Bulgaria,BGR,1990,37.8565902709961
Bulgaria,BGR,1991,39.5258407592773
Bulgaria,BGR,1992,39.2084808349609
Bulgaria,BGR,1993,38.4919891357422
Bulgaria,BGR,1994,38.0603408813477
Bulgaria,BGR,1995,40.8379287719727
Bulgaria,BGR,1996,41.2289390563965
Bulgaria,BGR,1997,40.9268913269043
Bulgaria,BGR,2000,40.5199012756348
Bulgaria,BGR,2001,42.0913009643555
Bulgaria,BGR,2002,44.8368682861328
Bulgaria,BGR,2003,44.1321182250977
Bulgaria,BGR,2004,45.1680717468262
Bulgaria,BGR,2005,44.9815216064453
Bulgaria,BGR,2006,45.8441696166992
Bulgaria,BGR,2007,45.4422492980957
Bulgaria,BGR,2008,47.0907402038574
Bulgaria,BGR,2009,47.3378715515137
Bulgaria,BGR,2010,48.6166381835938
Bulgaria,BGR,2011,47.5106506347656
Bulgaria,BGR,2012,47.4493598937988
Bulgaria,BGR,2013,47.8257217407227
Bulgaria,BGR,2014,48.1879005432129
Burkina Faso,BFA,1972,33.3333282470703
Burkina Faso,BFA,1974,20
Burkina Faso,BFA,1975,18.6274509429932
Burkina Faso,BFA,1978,21.5053806304932
Burkina Faso,BFA,1979,18.1034507751465
Burkina Faso,BFA,1983,13.8408298492432
Burkina Faso,BFA,1993,2.19377994537354
Burkina Faso,BFA,2005,5.94757986068726
Burkina Faso,BFA,2007,8.53658962249756
Burkina Faso,BFA,2008,8.15145015716553
Burkina Faso,BFA,2009,7.79324007034302
Burkina Faso,BFA,2010,8.51506042480469
Burkina Faso,BFA,2011,8.41121006011963
Burkina Faso,BFA,2012,8.7442102432251
Burkina Faso,BFA,2013,8.3465404510498
Burundi,BDI,1971,6.86275005340576
Burundi,BDI,1979,8.46774005889893
Burundi,BDI,1980,11.255410194397
Burundi,BDI,1986,6.63812017440796
Burundi,BDI,1991,8.25687980651855
Burundi,BDI,1992,11.1317300796509
Burundi,BDI,1993,10.9712200164795
Burundi,BDI,2001,9.4674596786499
Burundi,BDI,2003,14.3790798187256
Burundi,BDI,2004,14.4992504119873
Burundi,BDI,2005,14.462420463562
Burundi,BDI,2010,12.0515699386597
Burundi,BDI,2011,12.2594804763794
Burundi,BDI,2012,12.2594804763794
Burundi,BDI,2013,12.291600227356
Cambodia,KHM,1973,8.5910701751709
Cambodia,KHM,1994,24.8724498748779
Cambodia,KHM,1995,27.423469543457
Cambodia,KHM,1997,16.7840404510498
Cambodia,KHM,1999,18.5741100311279
