Entity,Code,Year,Cost of closing the poverty gap in int-$ 2011 (PovcalNet (World Bank) (2017)) ($)
Albania,ALB,1981,0
Albania,ALB,1984,201115
Albania,ALB,1987,427196
Albania,ALB,1990,684484.5
Albania,ALB,1993,1568003.5
Albania,ALB,1996,4176950.5
Albania,ALB,1999,10999603.5
Albania,ALB,2002,8249182.5
Albania,ALB,2005,3757383
Albania,ALB,2008,1432077.5
Albania,ALB,2010,3027127.5
Albania,ALB,2011,3620070
Albania,ALB,2012,4424530
Albania,ALB,2013,4022300.0000000005
Angola,AGO,1981,1137686750
Angola,AGO,1984,1235350968
Angola,AGO,1987,1315899606
Angola,AGO,1990,1390129766
Angola,AGO,1993,1494336463
Angola,AGO,1996,1597972409
Angola,AGO,1999,1696966760
Angola,AGO,2002,1826668598
Angola,AGO,2005,1981083308
Angola,AGO,2008,1312612416
Angola,AGO,2010,1433345218
Angola,AGO,2011,1466763596
Angola,AGO,2012,1463402895
Angola,AGO,2013,1392076420
Argentina,ARG,1981,36281146
Argentina,ARG,1984,15803478
Argentina,ARG,1987,0
Argentina,ARG,1990,102668514
Argentina,ARG,1993,259455687.5
Argentina,ARG,1996,625148640
Argentina,ARG,1999,576506550
Argentina,ARG,2002,1314964768
Argentina,ARG,2005,555078787
Argentina,ARG,2008,362864859.5
Argentina,ARG,2010,252260625
Argentina,ARG,2011,218499658
Argentina,ARG,2012,205214278.5
Argentina,ARG,2013,256282924.99999997
Armenia,ARM,1981,19442272.5
Armenia,ARM,1984,29432833.5
Armenia,ARM,1987,44390935
Armenia,ARM,1990,63338742
Armenia,ARM,1993,202859846
Armenia,ARM,1996,105962639
Armenia,ARM,1999,87216640.5
Armenia,ARM,2002,68320152.5
Armenia,ARM,2005,18995658.5
Armenia,ARM,2008,6613216
Armenia,ARM,2010,8416316
Armenia,ARM,2011,8650719
Armenia,ARM,2012,6819879
Armenia,ARM,2013,11611964
Azerbaijan,AZE,1981,9550882
Azerbaijan,AZE,1984,10935108
Azerbaijan,AZE,1987,12423359
Azerbaijan,AZE,1990,13903288
Azerbaijan,AZE,1993,49932000
Azerbaijan,AZE,1996,101711484
Azerbaijan,AZE,1999,52574235
Azerbaijan,AZE,2002,0
Azerbaijan,AZE,2005,0
Azerbaijan,AZE,2008,9720096
Azerbaijan,AZE,2010,13179967.5
Azerbaijan,AZE,2011,8903153
Azerbaijan,AZE,2012,8384415.000000001
Azerbaijan,AZE,2013,8492601
Bangladesh,BGD,1981,5020773560
Bangladesh,BGD,1984,5394808624
Bangladesh,BGD,1987,6357460135
Bangladesh,BGD,1990,7599603242
Bangladesh,BGD,1993,7182629432
Bangladesh,BGD,1996,6964244895
Bangladesh,BGD,1999,7375199125
Bangladesh,BGD,2002,6698313305
Bangladesh,BGD,2005,4658731885
Bangladesh,BGD,2008,3752615188
Bangladesh,BGD,2010,3480414357
Bangladesh,BGD,2011,2766135710
Bangladesh,BGD,2012,2433405506
Bangladesh,BGD,2013,2016323510
Belarus,BLR,1981,4040331
Belarus,BLR,1984,4810809.5
Belarus,BLR,1987,5609028
Belarus,BLR,1990,4240059
Belarus,BLR,1993,1420288
Belarus,BLR,1996,23956264
Belarus,BLR,1999,179638692
Belarus,BLR,2002,31486287
Belarus,BLR,2005,4689447
Belarus,BLR,2008,0
Belarus,BLR,2010,0
Belarus,BLR,2011,0
Belarus,BLR,2012,0
Belarus,BLR,2013,0
Belize,BLZ,1981,6761625
Belize,BLZ,1984,9575848
Belize,BLZ,1987,9950338
Belize,BLZ,1990,8156253.5
Belize,BLZ,1993,6962740
Belize,BLZ,1996,7820599.5
Belize,BLZ,1999,10352568
Belize,BLZ,2002,9574461
Belize,BLZ,2005,11165350
Belize,BLZ,2008,13866532.5
Belize,BLZ,2010,13492736
Belize,BLZ,2011,13525330.5
Belize,BLZ,2012,13699399
Belize,BLZ,2013,13157082
Benin,BEN,1981,531688418.99999994
Benin,BEN,1984,612477008
Benin,BEN,1987,680309630
Benin,BEN,1990,753834500
Benin,BEN,1993,816513030
Benin,BEN,1996,872594988
Benin,BEN,1999,853039675
Benin,BEN,2002,836088454.5
Benin,BEN,2005,987072420
Benin,BEN,2008,1066227122.9999999
Benin,BEN,2010,1226044892
Benin,BEN,2011,1292052915
Benin,BEN,2012,1294268648
Benin,BEN,2013,1233853008
Bhutan,BTN,1981,222035121
Bhutan,BTN,1984,222541376
Bhutan,BTN,1987,214603575
Bhutan,BTN,1990,197580924
Bhutan,BTN,1993,154309298
Bhutan,BTN,1996,115195204.5
Bhutan,BTN,1999,86659760
Bhutan,BTN,2002,58628490
Bhutan,BTN,2005,20194720
Bhutan,BTN,2008,4258783.5
Bhutan,BTN,2010,5542452
Bhutan,BTN,2011,3948789
