Entity,Code,Year,Crops - Sunflower seed - 267 - Production - 5510 - tonnes (tonnes)
Argentina,ARG,2011,3671748
Argentina,ARG,2012,3340520
Argentina,ARG,2013,3104420
Argentina,ARG,2014,2063410
Argentina,ARG,2015,3158290
Argentina,ARG,2016,3000367
Argentina,ARG,2017,3546707
Argentina,ARG,2018,3537545
Asia,,1961,175690
Asia,,1962,141710
Asia,,1963,170027
Asia,,1964,248824
Asia,,1965,245813
Asia,,1966,286301
Asia,,1967,320904
Asia,,1968,330693
Asia,,1969,440392
Asia,,1970,601048
Asia,,1971,675190
Asia,,1972,764759
Asia,,1973,872461
Asia,,1974,793299
Asia,,1975,846531
Asia,,1976,856108
Asia,,1977,825916
Asia,,1978,922026
Asia,,1979,1036417
Asia,,1980,1812723
Asia,,1981,2170832
Asia,,1982,2253585
Asia,,1983,2492944
Asia,,1984,3040606
Asia,,1985,3046629
Asia,,1986,3213846
Asia,,1987,3335355
Asia,,1988,3036899
Asia,,1989,3191541
Asia,,1990,3347013
Asia,,1991,3683157
Asia,,1992,4146563
Asia,,1993,3994079
Asia,,1994,3803420
Asia,,1995,3964864
Asia,,1996,4021442
Asia,,1997,3453489
Asia,,1998,3816696
Asia,,1999,4130828
Asia,,2000,4055189
Asia,,2001,3588705
Asia,,2002,4517371
Asia,,2003,4477233
Asia,,2004,4812512
Asia,,2005,5614954
Asia,,2006,5574777
Asia,,2007,4845652
Asia,,2008,5653578
Asia,,2009,5650158
Asia,,2010,5924108
Asia,,2011,5669681
Asia,,2012,5506860
Asia,,2013,5947528
Asia,,2014,5894971
Asia,,2015,6006038
Asia,,2016,5960391
Asia,,2017,6216771
Asia,,2018,6224789
"Asia, Central",,1992,106009
"Asia, Central",,1993,92821
"Asia, Central",,1994,105633
"Asia, Central",,1995,111178
"Asia, Central",,1996,83551
"Asia, Central",,1997,75005
"Asia, Central",,1998,111856
"Asia, Central",,1999,147343
"Asia, Central",,2000,149926
"Asia, Central",,2001,201568
"Asia, Central",,2002,261363
"Asia, Central",,2003,367187
"Asia, Central",,2004,346136
"Asia, Central",,2005,349181
"Asia, Central",,2006,344230
"Asia, Central",,2007,279038
"Asia, Central",,2008,254160
"Asia, Central",,2009,454950
"Asia, Central",,2010,411757
"Asia, Central",,2011,485395
"Asia, Central",,2012,489529
"Asia, Central",,2013,663808
"Asia, Central",,2014,604477
"Asia, Central",,2015,631757
"Asia, Central",,2016,849883
"Asia, Central",,2017,966625
"Asia, Central",,2018,905199
Australia,AUS,1961,2016
Australia,AUS,1962,1207
Australia,AUS,1963,2667
Australia,AUS,1964,2195
Australia,AUS,1965,1994
Australia,AUS,1966,3409
Australia,AUS,1967,1932
Australia,AUS,1968,3193
Australia,AUS,1969,6248
Australia,AUS,1970,13249
Australia,AUS,1971,58949
Australia,AUS,1972,147531
Australia,AUS,1973,102069
Australia,AUS,1974,84324
Australia,AUS,1975,113375
Australia,AUS,1976,80442
Australia,AUS,1977,74881
Australia,AUS,1978,158254
Australia,AUS,1979,186203
Australia,AUS,1980,141668
Australia,AUS,1981,139000
Australia,AUS,1982,115123
Australia,AUS,1983,104021
Australia,AUS,1984,170361
Australia,AUS,1985,293000
Australia,AUS,1986,215000
Australia,AUS,1987,137487
Australia,AUS,1988,215694
Australia,AUS,1989,171589
Australia,AUS,1990,73185
Australia,AUS,1991,151501
Australia,AUS,1992,84000
Australia,AUS,1993,49848
Australia,AUS,1994,104721
Australia,AUS,1995,111760
Australia,AUS,1996,68450
Australia,AUS,1997,143000
Australia,AUS,1998,98000
Australia,AUS,1999,209000
Australia,AUS,2000,170000
Australia,AUS,2001,77485
Australia,AUS,2002,69602
Australia,AUS,2003,25685
Australia,AUS,2004,56689
Australia,AUS,2005,60862
Australia,AUS,2006,81996
Australia,AUS,2007,15619
Australia,AUS,2008,73000
Australia,AUS,2009,55310
Australia,AUS,2010,41000
Australia,AUS,2011,42538
Australia,AUS,2012,47000
Australia,AUS,2013,44300
Australia,AUS,2014,38000
Australia,AUS,2015,30000
Australia,AUS,2016,25000
Australia,AUS,2017,17000
Australia,AUS,2018,31000
Australia & New Zealand,,1961,2016
Australia & New Zealand,,1962,1207
Australia & New Zealand,,1963,2667
Australia & New Zealand,,1964,2195
Australia & New Zealand,,1965,1994
Australia & New Zealand,,1966,3409
Australia & New Zealand,,1967,1932
Australia & New Zealand,,1968,3193
Australia & New Zealand,,1969,6248
Australia & New Zealand,,1970,13249
Australia & New Zealand,,1971,58949
Australia & New Zealand,,1972,147531
Australia & New Zealand,,1973,102069
Australia & New Zealand,,1974,84324
Australia & New Zealand,,1975,113375
Australia & New Zealand,,1976,80442
Australia & New Zealand,,1977,74881
Australia & New Zealand,,1978,158254
Australia & New Zealand,,1979,186203
Australia & New Zealand,,1980,141668
Australia & New Zealand,,1981,139000
Australia & New Zealand,,1982,115123
Australia & New Zealand,,1983,104021
Australia & New Zealand,,1984,170361
Australia & New Zealand,,1985,293000
Australia & New Zealand,,1986,215000
Australia & New Zealand,,1987,137487
Australia & New Zealand,,1988,215694
Australia & New Zealand,,1989,171589
Australia & New Zealand,,1990,73185
Australia & New Zealand,,1991,151501
Australia & New Zealand,,1992,84000
Australia & New Zealand,,1993,49848
Australia & New Zealand,,1994,104721
Australia & New Zealand,,1995,111760
Australia & New Zealand,,1996,68450
Australia & New Zealand,,1997,143000
Australia & New Zealand,,1998,98000
Australia & New Zealand,,1999,209000
Australia & New Zealand,,2000,170000
Australia & New Zealand,,2001,77485
Australia & New Zealand,,2002,69602
Australia & New Zealand,,2003,25685
Australia & New Zealand,,2004,56689
Australia & New Zealand,,2005,60862
Australia & New Zealand,,2006,81996
Australia & New Zealand,,2007,15619
Australia & New Zealand,,2008,73000
Australia & New Zealand,,2009,55310
Australia & New Zealand,,2010,41000
Australia & New Zealand,,2011,42538
Australia & New Zealand,,2012,47000
Australia & New Zealand,,2013,44300
Australia & New Zealand,,2014,38000
Australia & New Zealand,,2015,30000
Australia & New Zealand,,2016,25000
Australia & New Zealand,,2017,17000
Australia & New Zealand,,2018,31000
Austria,AUT,1961,983
Austria,AUT,1962,855
Austria,AUT,1963,2690
Austria,AUT,1964,2762
Austria,AUT,1965,2874
Austria,AUT,1966,4146
Austria,AUT,1967,4063
Austria,AUT,1968,4634
Austria,AUT,1969,1151
Austria,AUT,1970,1290
Austria,AUT,1971,1246
Austria,AUT,1972,1244
Austria,AUT,1973,180
Austria,AUT,1974,198
Austria,AUT,1975,415
Austria,AUT,1976,522
Austria,AUT,1977,765
Austria,AUT,1978,1147
Austria,AUT,1979,4019
Austria,AUT,1980,1103
Austria,AUT,1981,600
Austria,AUT,1982,663
Austria,AUT,1983,96
Austria,AUT,1984,105
Austria,AUT,1985,462
Austria,AUT,1986,1435
Austria,AUT,1987,32330
Austria,AUT,1988,56000
Austria,AUT,1989,67194
Austria,AUT,1990,54861
Austria,AUT,1991,74061
Austria,AUT,1992,73545
Austria,AUT,1993,98031
Austria,AUT,1994,91948
Austria,AUT,1995,61141
Austria,AUT,1996,43661
Austria,AUT,1997,43899
Austria,AUT,1998,56853
Austria,AUT,1999,64066
Austria,AUT,2000,54960
Austria,AUT,2001,50566
Austria,AUT,2002,58476
Austria,AUT,2003,71010
Austria,AUT,2004,77925
Austria,AUT,2005,80782
Austria,AUT,2006,84620
Austria,AUT,2007,59527
Austria,AUT,2008,79658
Austria,AUT,2009,71012
Austria,AUT,2010,66498
Austria,AUT,2011,73708
Austria,AUT,2012,53052
Austria,AUT,2013,51287
Austria,AUT,2014,57747
Austria,AUT,2015,38060
Austria,AUT,2016,59917
Austria,AUT,2017,51381
Austria,AUT,2018,60304
Azerbaijan,AZE,1992,1163
Azerbaijan,AZE,1993,487
Azerbaijan,AZE,1994,692
Azerbaijan,AZE,1995,649
Azerbaijan,AZE,1996,629
Azerbaijan,AZE,1997,1110
Azerbaijan,AZE,1998,1008
Azerbaijan,AZE,1999,2310
Azerbaijan,AZE,2000,3748
Azerbaijan,AZE,2001,5139
Azerbaijan,AZE,2002,10824
Azerbaijan,AZE,2003,18319
Azerbaijan,AZE,2004,14281
Azerbaijan,AZE,2005,16135
Azerbaijan,AZE,2006,15899
Azerbaijan,AZE,2007,13426
Azerbaijan,AZE,2008,16537
Azerbaijan,AZE,2009,14442
Azerbaijan,AZE,2010,15492
Azerbaijan,AZE,2011,19608
Azerbaijan,AZE,2012,19714
Azerbaijan,AZE,2013,17670
Azerbaijan,AZE,2014,19840
Azerbaijan,AZE,2015,18411
Azerbaijan,AZE,2016,16670
Azerbaijan,AZE,2017,29794
Azerbaijan,AZE,2018,23586
Belarus,BLR,1992,4000
Belarus,BLR,1993,4417
Belarus,BLR,1994,3000
Belarus,BLR,1995,6000
Belarus,BLR,1996,13000
Belarus,BLR,1997,17000
Belarus,BLR,1998,15000
Belarus,BLR,1999,18000
Belarus,BLR,2000,20000
Belarus,BLR,2001,18000
Belarus,BLR,2002,18000
Belarus,BLR,2003,19000
Belarus,BLR,2004,20000
Belarus,BLR,2005,15000
Belarus,BLR,2006,20000
Belarus,BLR,2007,20000
Belarus,BLR,2008,22000
Belarus,BLR,2009,23000
Belarus,BLR,2010,2724
Belarus,BLR,2011,832
Belarus,BLR,2012,13429
Belarus,BLR,2013,9066
Belarus,BLR,2014,5084
Belarus,BLR,2015,285
Belarus,BLR,2016,1204
Belarus,BLR,2017,1079
Belarus,BLR,2018,1068
Bhutan,BTN,2016,7
Bhutan,BTN,2017,20
Bhutan,BTN,2018,14
Bolivia,BOL,1987,500
Bolivia,BOL,1988,1498
Bolivia,BOL,1989,4460
Bolivia,BOL,1990,13973
Bolivia,BOL,1991,20000
Bolivia,BOL,1992,29500
Bolivia,BOL,1993,25722
Bolivia,BOL,1994,28200
Bolivia,BOL,1995,37648
Bolivia,BOL,1996,33000
Bolivia,BOL,1997,80700
Bolivia,BOL,1998,114680
Bolivia,BOL,1999,95410
Bolivia,BOL,2000,110500
Bolivia,BOL,2001,149350
Bolivia,BOL,2002,173486
Bolivia,BOL,2003,92000
Bolivia,BOL,2004,76540
Bolivia,BOL,2005,80896
Bolivia,BOL,2006,100983
Bolivia,BOL,2007,191317
Bolivia,BOL,2008,273191
Bolivia,BOL,2009,394207
Bolivia,BOL,2010,246683
Bolivia,BOL,2011,194042
Bolivia,BOL,2012,287122
Bolivia,BOL,2013,159121
Bolivia,BOL,2014,198566
Bolivia,BOL,2015,105540
Bolivia,BOL,2016,130715
Bolivia,BOL,2017,68417
Bolivia,BOL,2018,121177
Bosnia and Herzegovina,BIH,1992,1400
Bosnia and Herzegovina,BIH,1993,1000
Bosnia and Herzegovina,BIH,1994,876
Bosnia and Herzegovina,BIH,1995,800
Bosnia and Herzegovina,BIH,1996,500
Bosnia and Herzegovina,BIH,1997,102
Bosnia and Herzegovina,BIH,1998,178
Bosnia and Herzegovina,BIH,1999,70
Bosnia and Herzegovina,BIH,2000,114
Bosnia and Herzegovina,BIH,2001,56
Bosnia and Herzegovina,BIH,2002,137
Bosnia and Herzegovina,BIH,2003,82
Bosnia and Herzegovina,BIH,2004,154
Bosnia and Herzegovina,BIH,2005,99
Bosnia and Herzegovina,BIH,2006,374
Bosnia and Herzegovina,BIH,2007,165
Bosnia and Herzegovina,BIH,2008,292
Bosnia and Herzegovina,BIH,2009,182
Bosnia and Herzegovina,BIH,2010,366
Bosnia and Herzegovina,BIH,2011,443
Bosnia and Herzegovina,BIH,2012,165
Bosnia and Herzegovina,BIH,2013,218
Bosnia and Herzegovina,BIH,2014,600
Bosnia and Herzegovina,BIH,2015,469
Bosnia and Herzegovina,BIH,2016,577
Bosnia and Herzegovina,BIH,2017,472
Bosnia and Herzegovina,BIH,2018,451
Botswana,BWA,1965,50
Botswana,BWA,1966,100
Botswana,BWA,1967,200
Botswana,BWA,1968,200
Botswana,BWA,1969,250
Botswana,BWA,1970,250
Botswana,BWA,1971,250
Botswana,BWA,1972,300
Botswana,BWA,1973,300
Botswana,BWA,1974,300
Botswana,BWA,1975,400
Botswana,BWA,1976,500
Botswana,BWA,1977,1100
Botswana,BWA,1978,1200
Botswana,BWA,1979,900
Botswana,BWA,1980,1400
Botswana,BWA,1981,1190
Botswana,BWA,1982,654
Botswana,BWA,1983,167
Botswana,BWA,1984,390
Botswana,BWA,1985,500
Botswana,BWA,1986,200
Botswana,BWA,1987,100
Botswana,BWA,1988,200
Botswana,BWA,1989,200
Botswana,BWA,1990,240
Botswana,BWA,1991,400
Botswana,BWA,1992,500
Botswana,BWA,1993,700
Botswana,BWA,1994,900
Botswana,BWA,1995,962
Botswana,BWA,1996,3895
Botswana,BWA,1997,4500
Botswana,BWA,1998,6000
Botswana,BWA,1999,6500
Botswana,BWA,2000,4500
Botswana,BWA,2001,6400
Botswana,BWA,2002,6600
Botswana,BWA,2003,7000
Botswana,BWA,2004,6600
Botswana,BWA,2005,7000
Botswana,BWA,2006,4823
Botswana,BWA,2007,2558
Botswana,BWA,2008,8140
Botswana,BWA,2009,1764
Botswana,BWA,2010,4958
Botswana,BWA,2011,15837
Botswana,BWA,2012,6000
Botswana,BWA,2013,2021
Botswana,BWA,2014,361
Botswana,BWA,2015,1388
Botswana,BWA,2016,1257
Botswana,BWA,2017,78
Botswana,BWA,2018,908
Brazil,BRA,1968,1000
Brazil,BRA,1969,5000
Brazil,BRA,1970,10000
Brazil,BRA,1971,15000
Brazil,BRA,1972,20000
Brazil,BRA,1973,16000
Brazil,BRA,1974,10000
Brazil,BRA,1975,6000
Brazil,BRA,1976,3000
Brazil,BRA,1977,3000
Brazil,BRA,1978,5000
Brazil,BRA,1979,20000
Brazil,BRA,1980,23000
Brazil,BRA,1981,35100
Brazil,BRA,1982,31000
Brazil,BRA,1983,22000
Brazil,BRA,1984,22000
Brazil,BRA,1985,22000
Brazil,BRA,1986,26000
Brazil,BRA,1987,26000
Brazil,BRA,1988,27000
Brazil,BRA,1989,30000
Brazil,BRA,1990,35000
Brazil,BRA,1991,35000
Brazil,BRA,1992,30000
Brazil,BRA,1993,30000
Brazil,BRA,1994,6000
Brazil,BRA,1995,3000
Brazil,BRA,1996,22000
Brazil,BRA,1997,26000
Brazil,BRA,1998,28000
Brazil,BRA,1999,79000
Brazil,BRA,2000,97000
Brazil,BRA,2001,71000
Brazil,BRA,2002,56000
Brazil,BRA,2003,77000
Brazil,BRA,2004,56000
Brazil,BRA,2005,94000
Brazil,BRA,2006,87362
Brazil,BRA,2007,104923
Brazil,BRA,2008,148297
Brazil,BRA,2009,100905
Brazil,BRA,2010,86608
Brazil,BRA,2011,77932
Brazil,BRA,2012,123646
Brazil,BRA,2013,108838
Brazil,BRA,2014,158563
Brazil,BRA,2015,155018
Brazil,BRA,2016,80695
Brazil,BRA,2017,104144
Brazil,BRA,2018,135872
Bulgaria,BGR,1961,301000
Bulgaria,BGR,1962,357000
Bulgaria,BGR,1963,336000
Bulgaria,BGR,1964,337000
Bulgaria,BGR,1965,357000
Bulgaria,BGR,1966,423000
Bulgaria,BGR,1967,478000
Bulgaria,BGR,1968,459000
Bulgaria,BGR,1969,543000
Bulgaria,BGR,1970,406887
Bulgaria,BGR,1971,461710
Bulgaria,BGR,1972,494079
Bulgaria,BGR,1973,447756
Bulgaria,BGR,1974,368052
Bulgaria,BGR,1975,426262
Bulgaria,BGR,1976,361655
Bulgaria,BGR,1977,422710
Bulgaria,BGR,1978,368929
Bulgaria,BGR,1979,426257
Bulgaria,BGR,1980,379950
Bulgaria,BGR,1981,457197
Bulgaria,BGR,1982,510868
Bulgaria,BGR,1983,454158
Bulgaria,BGR,1984,461592
Bulgaria,BGR,1985,364691
Bulgaria,BGR,1986,488692
Bulgaria,BGR,1987,410288
Bulgaria,BGR,1988,374328
Bulgaria,BGR,1989,458386
Bulgaria,BGR,1990,388560
Bulgaria,BGR,1991,434429
Bulgaria,BGR,1992,594725
Bulgaria,BGR,1993,432119
Bulgaria,BGR,1994,601571
Bulgaria,BGR,1995,766879
Bulgaria,BGR,1996,526492
Bulgaria,BGR,1997,438346
Bulgaria,BGR,1998,524238
Bulgaria,BGR,1999,605832
Bulgaria,BGR,2000,425369
Bulgaria,BGR,2001,405087
Bulgaria,BGR,2002,645369
Bulgaria,BGR,2003,788763
Bulgaria,BGR,2004,1078832
Bulgaria,BGR,2005,934855
Bulgaria,BGR,2006,1196570
Bulgaria,BGR,2007,564447
Bulgaria,BGR,2008,1300711
Bulgaria,BGR,2009,1317979
Bulgaria,BGR,2010,1536321
Bulgaria,BGR,2011,1439702
Bulgaria,BGR,2012,1387780
Bulgaria,BGR,2013,1974425
Bulgaria,BGR,2014,2010668
Bulgaria,BGR,2015,1699228
Bulgaria,BGR,2016,1873677
