Entity,Code,Year,"Index of Democracy (How Was Life, OECD (2014))"
East Asia,,1820,0
East Asia,,1821,0
East Asia,,1822,0
East Asia,,1823,0
East Asia,,1824,0
East Asia,,1825,0
East Asia,,1826,0
East Asia,,1827,0
East Asia,,1828,0
East Asia,,1829,0
East Asia,,1830,0
East Asia,,1831,0
East Asia,,1832,0
East Asia,,1833,0
East Asia,,1834,0
East Asia,,1835,0
East Asia,,1836,0
East Asia,,1837,0
East Asia,,1838,0
East Asia,,1839,0
East Asia,,1840,0
East Asia,,1841,0
East Asia,,1842,0
East Asia,,1843,0
East Asia,,1844,0
East Asia,,1845,0
East Asia,,1846,0
East Asia,,1847,0
East Asia,,1848,0
East Asia,,1849,0
East Asia,,1850,0
East Asia,,1851,0
East Asia,,1852,0
East Asia,,1853,0
East Asia,,1854,0
East Asia,,1855,0
East Asia,,1856,0
East Asia,,1857,0
East Asia,,1858,0
East Asia,,1859,0
East Asia,,1860,0
East Asia,,1861,0
East Asia,,1862,0
East Asia,,1863,0
East Asia,,1864,0
East Asia,,1865,0
East Asia,,1866,0
East Asia,,1867,0
East Asia,,1868,0
East Asia,,1869,0
East Asia,,1870,0
East Asia,,1871,0
East Asia,,1872,0
East Asia,,1873,0
East Asia,,1874,0
East Asia,,1875,0
East Asia,,1876,0
East Asia,,1877,0
East Asia,,1878,0
East Asia,,1879,0
East Asia,,1880,0
East Asia,,1881,0
East Asia,,1882,0
East Asia,,1883,0
East Asia,,1884,0
East Asia,,1885,0
East Asia,,1886,0
East Asia,,1887,0
East Asia,,1888,0
East Asia,,1889,0
East Asia,,1890,0.01402495
East Asia,,1891,0.014086663
East Asia,,1892,0.010375643
East Asia,,1893,0.010421234
East Asia,,1894,0.010466993
East Asia,,1895,0.01051292
East Asia,,1896,0.010559015
East Asia,,1897,0.01060528
East Asia,,1898,0.0077467011
East Asia,,1899,0.0077805952
East Asia,,1900,0.0078146122
East Asia,,1901,0.0078584757
East Asia,,1902,0.022719843
East Asia,,1903,0.020860473
East Asia,,1904,0.01698163
East Asia,,1905,0.017076666
East Asia,,1906,0.017172163
East Asia,,1907,0.017268123
East Asia,,1908,0.032686204
East Asia,,1909,0.032868583
East Asia,,1910,0.033051834
East Asia,,1911,0.033036359
East Asia,,1912,0.028893249
East Asia,,1913,0.028879665
East Asia,,1914,0.02886606
East Asia,,1915,0.039156877
East Asia,,1916,0.039138362
East Asia,,1917,0.031913534
East Asia,,1918,0.031898387
East Asia,,1919,0.031883214
East Asia,,1920,0.048316032
East Asia,,1921,0.048757896
East Asia,,1922,0.049203049
East Asia,,1923,0.049651504
East Asia,,1924,0.092744343
East Asia,,1925,0.093586728
East Asia,,1926,0.094435275
East Asia,,1927,0.09528999
East Asia,,1928,0.23871946
East Asia,,1929,0.24087229
East Asia,,1930,0.19015674
East Asia,,1931,0.19117336
East Asia,,1932,0.21607618
East Asia,,1933,0.21722831
East Asia,,1934,0.21838503
East Asia,,1935,0.21954633
East Asia,,1936,0.27763271
East Asia,,1937,0.29778987
East Asia,,1938,0.29936683
East Asia,,1939,0.30094993
East Asia,,1940,0.30253914
East Asia,,1941,0.30484462
East Asia,,1942,0.087932266
East Asia,,1943,0.088598289
East Asia,,1944,0.089267261
East Asia,,1945,2.9544396
East Asia,,1946,2.9766054
East Asia,,1947,2.6136889
East Asia,,1948,2.8536775
East Asia,,1949,2.8766987
East Asia,,1950,2.984256
East Asia,,1951,3.3372769
East Asia,,1952,3.649333
East Asia,,1953,3.8883133
East Asia,,1954,3.6112223
East Asia,,1955,3.5982511
East Asia,,1956,2.8452935
East Asia,,1957,2.8399098
East Asia,,1958,2.7915602
East Asia,,1959,2.7865503
East Asia,,1960,2.5129642
East Asia,,1961,2.3766792
East Asia,,1962,2.3518381
East Asia,,1963,3.1014779
East Asia,,1964,3.0776291
East Asia,,1965,3.4988604
East Asia,,1966,3.4707553
East Asia,,1967,3.381124
East Asia,,1968,3.3528595
East Asia,,1969,3.3248503
East Asia,,1970,3.5064077
East Asia,,1971,3.4369714
East Asia,,1972,2.8096027
East Asia,,1973,2.7915547
East Asia,,1974,3.1196415
East Asia,,1975,3.0995696
East Asia,,1976,3.0796108
East Asia,,1977,2.7046604
East Asia,,1978,2.7402954
East Asia,,1979,2.7226086
East Asia,,1980,2.7620261
East Asia,,1981,2.7082677
East Asia,,1982,2.6850858
East Asia,,1983,2.6620831
East Asia,,1984,2.5777793
East Asia,,1985,2.5691559
East Asia,,1986,2.5472183
East Asia,,1987,3.5328889
East Asia,,1988,3.8355653
East Asia,,1989,3.8106768
East Asia,,1990,3.879266
East Asia,,1991,4.163373
East Asia,,1992,4.0805016
East Asia,,1993,4.0585198
East Asia,,1994,3.5947437
East Asia,,1995,3.5758312
East Asia,,1996,3.8238866
East Asia,,1997,3.8339181
East Asia,,1998,3.5856316
East Asia,,1999,1.4124925
East Asia,,2000,1.4162771
Eastern Europe,,1820,0
Eastern Europe,,1821,0
Eastern Europe,,1822,0
Eastern Europe,,1823,0
Eastern Europe,,1824,0
Eastern Europe,,1825,0
Eastern Europe,,1826,0
Eastern Europe,,1827,0
Eastern Europe,,1828,0
Eastern Europe,,1829,0
Eastern Europe,,1830,0
Eastern Europe,,1831,0
Eastern Europe,,1832,0
Eastern Europe,,1833,0
Eastern Europe,,1834,0
Eastern Europe,,1835,0
Eastern Europe,,1836,0
Eastern Europe,,1837,0
Eastern Europe,,1838,0
Eastern Europe,,1839,0
Eastern Europe,,1840,0
Eastern Europe,,1841,0
Eastern Europe,,1842,0
Eastern Europe,,1843,0
Eastern Europe,,1844,0
Eastern Europe,,1845,0
Eastern Europe,,1846,0
Eastern Europe,,1847,0
Eastern Europe,,1848,0
Eastern Europe,,1849,0
Eastern Europe,,1850,0
Eastern Europe,,1851,0
Eastern Europe,,1852,0
Eastern Europe,,1853,0
Eastern Europe,,1854,0
Eastern Europe,,1855,0
Eastern Europe,,1856,0
Eastern Europe,,1857,0
Eastern Europe,,1858,0
Eastern Europe,,1859,0
Eastern Europe,,1860,0
Eastern Europe,,1861,0
Eastern Europe,,1862,0
Eastern Europe,,1863,0
Eastern Europe,,1864,0
Eastern Europe,,1865,0
Eastern Europe,,1866,0
Eastern Europe,,1867,0
Eastern Europe,,1868,0
Eastern Europe,,1869,0.69889158
Eastern Europe,,1870,0.69665694
Eastern Europe,,1871,0.8278203
Eastern Europe,,1872,0.4319618
Eastern Europe,,1873,0.17204885
Eastern Europe,,1874,0.046480875
Eastern Europe,,1875,0.034677107
Eastern Europe,,1876,0.061474215
Eastern Europe,,1877,0.061096329
Eastern Europe,,1878,0.065466113
Eastern Europe,,1879,0.06866125
Eastern Europe,,1880,0.068231843
Eastern Europe,,1881,0.064289182
Eastern Europe,,1882,0.063921392
Eastern Europe,,1883,0.063554958
Eastern Europe,,1884,0.056252874
Eastern Europe,,1885,0.055940937
Eastern Europe,,1886,0.065880686
Eastern Europe,,1887,0.065494113
Eastern Europe,,1888,0.065109059
Eastern Europe,,1889,0.064725518
Eastern Europe,,1890,0.064343505
Eastern Europe,,1891,0.17144257
Eastern Europe,,1892,0.17024525
Eastern Europe,,1893,0.14858997
Eastern Europe,,1894,0.14757961
Eastern Europe,,1895,0.14657374
Eastern Europe,,1896,0.17533626
Eastern Europe,,1897,0.17422323
Eastern Europe,,1898,0.17620842
Eastern Europe,,1899,0.22679062
Eastern Europe,,1900,0.22521348
Eastern Europe,,1901,0.21435513
Eastern Europe,,1902,0.2126165
Eastern Europe,,1903,0.20693113
Eastern Europe,,1904,0.20523424
Eastern Europe,,1905,0.23831202
Eastern Europe,,1906,0.20563957
Eastern Europe,,1907,0.2001051
Eastern Europe,,1908,0.21703905
Eastern Europe,,1909,0.21535982
Eastern Europe,,1910,0.25488821
Eastern Europe,,1911,0.26517335
Eastern Europe,,1912,0.26742026
Eastern Europe,,1913,0.27706
Eastern Europe,,1914,0.25307986
Eastern Europe,,1915,0.25526044
Eastern Europe,,1916,0.22322573
Eastern Europe,,1917,0.22512355
Eastern Europe,,1918,0.3105064
Eastern Europe,,1919,1.864936
Eastern Europe,,1920,2.3569789
Eastern Europe,,1921,2.3667877
Eastern Europe,,1922,3.506928
Eastern Europe,,1923,3.3734372
Eastern Europe,,1924,3.3918905
Eastern Europe,,1925,3.4002724
Eastern Europe,,1926,0.61337841
Eastern Europe,,1927,0.616808
Eastern Europe,,1928,1.9063622
Eastern Europe,,1929,1.9104111
Eastern Europe,,1930,1.6139491
Eastern Europe,,1931,2.3654912
Eastern Europe,,1932,2.3462474
Eastern Europe,,1933,3.5264637
Eastern Europe,,1934,3.0965724
Eastern Europe,,1935,2.1375763
Eastern Europe,,1936,2.210927
Eastern Europe,,1937,2.2434027
Eastern Europe,,1938,2.0596082
Eastern Europe,,1939,0.062782921
Eastern Europe,,1940,0.051409174
Eastern Europe,,1941,1.0381486
Eastern Europe,,1942,0.052192211
Eastern Europe,,1943,0.052572429
Eastern Europe,,1944,0
Eastern Europe,,1945,0.83014637
Eastern Europe,,1946,1.4873662
Eastern Europe,,1947,1.3687929
Eastern Europe,,1948,0.2236293
Eastern Europe,,1949,0.36378381
Eastern Europe,,1950,0.35504308
Eastern Europe,,1951,0.43227777
Eastern Europe,,1952,0.29442358
Eastern Europe,,1953,0.23941764
Eastern Europe,,1954,0.19728602
Eastern Europe,,1955,0.20167813
Eastern Europe,,1956,0.20127685
Eastern Europe,,1957,0.17979357
Eastern Europe,,1958,0.16158926
Eastern Europe,,1959,0.12852223
Eastern Europe,,1960,0.12828623
Eastern Europe,,1961,0.093112677
Eastern Europe,,1962,0.092857346
Eastern Europe,,1963,0.10151453
Eastern Europe,,1964,0.10116665
Eastern Europe,,1965,0.10141318
Eastern Europe,,1966,0.044013008
Eastern Europe,,1967,0.037854467
Eastern Europe,,1968,0.037623063
Eastern Europe,,1969,0.040951487
Eastern Europe,,1970,0.079875849
Eastern Europe,,1971,0.074108839
Eastern Europe,,1972,0.074007601
Eastern Europe,,1973,0.073904544
Eastern Europe,,1974,0.06806723
Eastern Europe,,1975,0.093611464
Eastern Europe,,1976,0.091894045
Eastern Europe,,1977,3.431437
Eastern Europe,,1978,3.4376295
Eastern Europe,,1979,3.2842135
Eastern Europe,,1980,3.2946894
Eastern Europe,,1981,3.2826679
Eastern Europe,,1982,2.8986862
Eastern Europe,,1983,4.0479002
Eastern Europe,,1984,4.5792427
Eastern Europe,,1985,4.6788845
Eastern Europe,,1986,4.7497578
Eastern Europe,,1987,4.7727127
Eastern Europe,,1988,4.7602777
Eastern Europe,,1989,8.5680361
Eastern Europe,,1990,10.885156
Eastern Europe,,1991,18.210018
Eastern Europe,,1992,19.269423
Eastern Europe,,1993,15.434812
Eastern Europe,,1994,16.252117
Eastern Europe,,1995,14.023511
Eastern Europe,,1996,14.477077
Eastern Europe,,1997,13.889951
Eastern Europe,,1998,13.797871
Eastern Europe,,1999,13.672824
Eastern Europe,,2000,12.521517
Latin America and Caribbean,,1820,0
Latin America and Caribbean,,1821,0
Latin America and Caribbean,,1822,0
Latin America and Caribbean,,1823,0
Latin America and Caribbean,,1824,0
Latin America and Caribbean,,1825,0
Latin America and Caribbean,,1826,0
Latin America and Caribbean,,1827,0
Latin America and Caribbean,,1828,0
Latin America and Caribbean,,1829,0
Latin America and Caribbean,,1830,0
Latin America and Caribbean,,1831,0
Latin America and Caribbean,,1832,0
Latin America and Caribbean,,1833,0
Latin America and Caribbean,,1834,0
Latin America and Caribbean,,1835,0
Latin America and Caribbean,,1836,0
Latin America and Caribbean,,1837,0
Latin America and Caribbean,,1838,0
Latin America and Caribbean,,1839,0
Latin America and Caribbean,,1840,0
Latin America and Caribbean,,1841,0
Latin America and Caribbean,,1842,0
