Entity,Code,Year,Existence of nationally representative learning assessment at the end of primary education (GEM Report (2017/18))
Afghanistan,AFG,2015,Yes
Albania,ALB,2015,Yes
Angola,AGO,2015,No
Anguilla,AIA,2015,Yes
Argentina,ARG,2015,Yes
Armenia,ARM,2015,Yes
Australia,AUS,2015,Yes
Austria,AUT,2015,Yes
Azerbaijan,AZE,2015,Yes
Bahamas,BHS,2015,Yes
Bahrain,BHR,2015,Yes
Bangladesh,BGD,2015,Yes
Barbados,BRB,2015,No
Belgium,BEL,2015,No
Belize,BLZ,2015,Yes
Benin,BEN,2015,Yes
Bhutan,BTN,2015,Yes
Bosnia and Herzegovina,BIH,2015,No
Botswana,BWA,2015,No
Brazil,BRA,2015,Yes
Brunei,BRN,2015,No
Bulgaria,BGR,2015,Yes
Burkina Faso,BFA,2015,Yes
Burundi,BDI,2015,Yes
Cambodia,KHM,2015,No
Cameroon,CMR,2015,Yes
Canada,CAN,2015,No
Cape Verde,CPV,2015,Yes
Chad,TCD,2015,Yes
Chile,CHL,2015,Yes
China,CHN,2015,No
Colombia,COL,2015,Yes
Comoros,COM,2015,Yes
Congo,COG,2015,Yes
Cook Islands,COK,2015,Yes
Costa Rica,CRI,2015,Yes
Cote d'Ivoire,CIV,2015,Yes
Croatia,HRV,2015,Yes
Cuba,CUB,2015,Yes
Cyprus,CYP,2015,Yes
Czech Republic,CZE,2015,Yes
Democratic Republic of Congo,COD,2015,No
Denmark,DNK,2015,Yes
Dominican Republic,DOM,2015,Yes
Ecuador,ECU,2015,Yes
Egypt,EGY,2015,No
El Salvador,SLV,2015,Yes
Eritrea,ERI,2015,No
Estonia,EST,2015,Yes
Ethiopia,ETH,2015,No
Fiji,FJI,2015,Yes
Finland,FIN,2015,Yes
France,FRA,2015,Yes
Gabon,GAB,2015,No
Gambia,GMB,2015,Yes
Georgia,GEO,2015,No
Germany,DEU,2015,Yes
Ghana,GHA,2015,Yes
Guatemala,GTM,2015,Yes
Guinea,GIN,2015,Yes
Guinea-Bissau,GNB,2015,No
Guyana,GUY,2015,Yes
Honduras,HND,2015,Yes
Hungary,HUN,2015,Yes
Iceland,ISL,2015,Yes
India,IND,2015,Yes
Indonesia,IDN,2015,No
Iran,IRN,2015,No
Ireland,IRL,2015,Yes
Israel,ISR,2015,Yes
Italy,ITA,2015,Yes
Jamaica,JAM,2015,Yes
Japan,JPN,2015,Yes
Jordan,JOR,2015,Yes
Kazakhstan,KAZ,2015,Yes
Kenya,KEN,2015,No
Kiribati,KIR,2015,Yes
Kuwait,KWT,2015,Yes
Kyrgyzstan,KGZ,2015,No
Laos,LAO,2015,No
Latvia,LVA,2015,Yes
Lebanon,LBN,2015,Yes
Lesotho,LSO,2015,Yes
Liberia,LBR,2015,No
Lithuania,LTU,2015,Yes
Luxembourg,LUX,2015,No
Macedonia,MKD,2015,No
Madagascar,MDG,2015,Yes
Malawi,MWI,2015,No
Malaysia,MYS,2015,No
Maldives,MDV,2015,Yes
Mali,MLI,2015,Yes
Malta,MLT,2015,No
Marshall Islands,MHL,2015,Yes
Mauritania,MRT,2015,No
Mauritius,MUS,2015,No
Mexico,MEX,2015,Yes
Micronesia (country),FSM,2015,Yes
Mongolia,MNG,2015,Yes
Montenegro,MNE,2015,No
Morocco,MAR,2015,Yes
Mozambique,MOZ,2015,No
Myanmar,MMR,2015,Yes
Namibia,NAM,2015,Yes
Nauru,NRU,2015,Yes
Nepal,NPL,2015,Yes
Netherlands,NLD,2015,Yes
New Zealand,NZL,2015,No
Nicaragua,NIC,2015,Yes
Niger,NER,2015,Yes
Nigeria,NGA,2015,Yes
Niue,NIU,2015,Yes
Norway,NOR,2015,Yes
Oman,OMN,2015,No
Pakistan,PAK,2015,Yes
Palau,PLW,2015,Yes
Palestine,PSE,2015,Yes
Panama,PAN,2015,Yes
Papua New Guinea,PNG,2015,Yes
Paraguay,PRY,2015,Yes
Peru,PER,2015,Yes
Philippines,PHL,2015,Yes
Poland,POL,2015,Yes
Portugal,PRT,2015,Yes
Qatar,QAT,2015,Yes
Romania,ROU,2015,Yes
Russia,RUS,2015,Yes
