Entity,Code,Year,Solar (%)
Africa,,2001,34.239134220303754
Africa,,2002,24.700438039475415
Africa,,2003,10.064610086806812
Africa,,2004,15.338772118666366
Africa,,2005,13.043144099354587
Africa,,2006,17.42041712184448
Africa,,2007,22.5897027087415
Africa,,2008,33.464535945688546
Africa,,2009,27.02953398306347
Africa,,2010,107.53212619622343
Africa,,2011,105.7180938272443
Africa,,2012,20.171707872293343
Africa,,2013,48.94158641305055
Africa,,2014,121.55686513466928
Africa,,2015,95.38758539426946
Africa,,2016,37.63844414752464
Africa,,2017,34.59863479187231
Africa,,2018,36.58560471151766
Algeria,DZA,2011,99.1071354856945
Algeria,DZA,2012,47.488195216327725
Algeria,DZA,2013,7.023853467117558
Algeria,DZA,2014,109.79020676455589
Algeria,DZA,2015,-3.3333397169109213
Algeria,DZA,2016,322.4138108388532
Algeria,DZA,2017,105.71428416813995
Algeria,DZA,2018,19.642857236806964
Argentina,ARG,1999,52.72727272727271
Argentina,ARG,2000,38.60544217687074
Argentina,ARG,2001,19.386503067484682
Argentina,ARG,2002,8.941418293936287
Argentina,ARG,2003,38.67924528301885
Argentina,ARG,2004,7.48299319727892
Argentina,ARG,2005,15.822784810126578
Argentina,ARG,2006,11.475409836065564
Argentina,ARG,2007,20.588235294117663
Argentina,ARG,2008,32.11382113821139
Argentina,ARG,2009,-47.076923076923094
Argentina,ARG,2010,12.790697674418606
Argentina,ARG,2011,1782.5154639175264
Argentina,ARG,2012,406.379652143436
Argentina,ARG,2013,84.43822360313604
Argentina,ARG,2014,5.770989841941465
Argentina,ARG,2015,-7.908934426911118
Argentina,ARG,2016,-2.7923514257928717
Argentina,ARG,2017,15.02137710148299
Argentina,ARG,2018,558.637494017107
Australia,AUS,1992,122.01834416018826
Australia,AUS,1993,20.66117151364095
Australia,AUS,1994,19.17807638660185
Australia,AUS,1995,21.55173771317891
Australia,AUS,1996,21.040186655377546
Australia,AUS,1997,19.72656000491657
Australia,AUS,1998,16.150072721835485
Australia,AUS,1999,14.044940333133393
Australia,AUS,2000,15.147788117408423
