Entity,Code,Year,Producer Support (IDB Agrimonitor) (%)
Argentina,ARG,2007,-22.9
Argentina,ARG,2008,-39.9
Argentina,ARG,2009,-26.2
Argentina,ARG,2010,-19.1
Argentina,ARG,2011,-32.1
Argentina,ARG,2012,-18
Bolivia,BOL,2006,16.5
Bolivia,BOL,2007,14.1
Bolivia,BOL,2008,10.2
Bolivia,BOL,2009,16.5
Brazil,BRA,2004,4.3
Brazil,BRA,2005,6.8
Brazil,BRA,2006,6.2
Brazil,BRA,2007,5.3
Brazil,BRA,2008,4
Brazil,BRA,2009,8.1
Brazil,BRA,2010,5.8
Brazil,BRA,2011,5.6
Brazil,BRA,2012,3.6
Brazil,BRA,2013,3
Brazil,BRA,2014,4.4
Chile,CHL,2004,4.7
Chile,CHL,2005,4.7
Chile,CHL,2006,4.5
Chile,CHL,2007,3.7
Chile,CHL,2008,2.7
Chile,CHL,2009,4.1
Chile,CHL,2010,2.6
Chile,CHL,2011,2.7
Chile,CHL,2012,3
Chile,CHL,2013,3.4
Chile,CHL,2014,3.1
Colombia,COL,2004,14.2
Colombia,COL,2005,17.9
Colombia,COL,2006,15.2
Colombia,COL,2007,17.1
Colombia,COL,2008,16.2
Colombia,COL,2009,22.6
Colombia,COL,2010,17.3
Colombia,COL,2011,17
Colombia,COL,2012,21.1
Colombia,COL,2013,18.9
Colombia,COL,2014,16.6
Costa Rica,CRI,2004,6.8
Costa Rica,CRI,2005,5.7
Costa Rica,CRI,2006,6.3
Costa Rica,CRI,2007,2.9
Costa Rica,CRI,2008,12
Costa Rica,CRI,2009,14.9
Costa Rica,CRI,2010,14
Costa Rica,CRI,2011,12
Costa Rica,CRI,2012,16.1
Dominican Republic,DOM,2006,54.8
Dominican Republic,DOM,2007,40.5
Dominican Republic,DOM,2008,36
Dominican Republic,DOM,2009,41
Dominican Republic,DOM,2010,26.2
Dominican Republic,DOM,2011,11.8
Dominican Republic,DOM,2012,5.3
Dominican Republic,DOM,2013,13.5
Ecuador,ECU,2006,5.8
Ecuador,ECU,2007,8.8
Ecuador,ECU,2008,4.1
Ecuador,ECU,2009,14.4
Ecuador,ECU,2010,3.9
Ecuador,ECU,2011,4.1
Ecuador,ECU,2012,7
El Salvador,SLV,2011,31.9
El Salvador,SLV,2012,24.1
Guatemala,GTM,2006,15.1
Guatemala,GTM,2007,15.9
Guatemala,GTM,2008,10.6
Guatemala,GTM,2009,2.7
Guatemala,GTM,2010,7.5
Guatemala,GTM,2011,-4
Honduras,HND,2011,26.9
Honduras,HND,2012,19
Jamaica,JAM,2006,28
Jamaica,JAM,2007,31.9
Jamaica,JAM,2008,26.7
Jamaica,JAM,2009,20.7
Jamaica,JAM,2010,31.4
Jamaica,JAM,2011,38.8
Jamaica,JAM,2012,33.3
Mexico,MEX,2004,11.6
Mexico,MEX,2005,12.9
Mexico,MEX,2006,13
Mexico,MEX,2007,12.9
Mexico,MEX,2008,12.3
Mexico,MEX,2009,13.2
Mexico,MEX,2010,12.6
Mexico,MEX,2011,12.3
Mexico,MEX,2012,11.7
Mexico,MEX,2013,10.9
Mexico,MEX,2014,13.3
Nicaragua,NIC,2009,25.9
Nicaragua,NIC,2010,15
Paraguay,PRY,2007,1.6
Paraguay,PRY,2008,1.1
Paraguay,PRY,2009,2.6
Paraguay,PRY,2010,1.8
Paraguay,PRY,2011,2.3
Paraguay,PRY,2012,2.6
Paraguay,PRY,2013,1.8
Peru,PER,2010,4.6
Peru,PER,2011,5.8
Peru,PER,2012,5.3
Peru,PER,2013,3.7
Suriname,SUR,2006,19
Suriname,SUR,2007,18.4
Suriname,SUR,2008,3.8
Suriname,SUR,2009,19.2
Suriname,SUR,2010,22
Suriname,SUR,2011,-3.1
Uruguay,URY,2009,1.9
Uruguay,URY,2010,1.6
Uruguay,URY,2011,1.5
Uruguay,URY,2012,1
Uruguay,URY,2013,1
