Entity,Code,Year,Critical care beds (total number)
Andorra,AND,2011,6
Austria,AUT,2011,1833
Bangladesh,BGD,2017,1174
Belgium,BEL,2011,1755
Brunei,BRN,2017,58
Bulgaria,BGR,2011,913
China,CHN,2015,49453
Croatia,HRV,2011,650
Cyprus,CYP,2011,92
Czech Republic,CZE,2011,1227
Denmark,DNK,2011,372
Estonia,EST,2011,196
Finland,FIN,2011,329
France,FRA,2011,7540
Germany,DEU,2011,23890
Greece,GRC,2011,680
Hong Kong,HKG,2017,511
Hungary,HUN,2011,1374
Iceland,ISL,2011,29
India,IND,2017,29997
Indonesia,IDN,2017,7094
Iran,IRN,2014,3790
Ireland,IRL,2011,289
Italy,ITA,2011,7550
Japan,JPN,2017,9241
Kazakhstan,KAZ,2016,3948
Laos,LAO,2017,152
Latvia,LVA,2011,217
Lithuania,LTU,2011,502
Luxembourg,LUX,2011,127
Malaysia,MYS,2016,1060
Mongolia,MNG,2017,271
Myanmar,MMR,2018,586
Nepal,NPL,2017,815
Netherlands,NLD,2011,1065
Norway,NOR,2011,395
Oman,OMN,2017,499
Pakistan,PAK,2016,3142
Philippines,PHL,2016,2335
Poland,POL,2011,2635
Portugal,PRT,2011,451
Romania,ROU,2011,4574
Saudi Arabia,SAU,2016,6515
Singapore,SGP,2017,671
Slovakia,SVK,2011,500
Slovenia,SVN,2011,131
South Korea,KOR,2016,5402
Spain,ESP,2011,4479
Sri Lanka,LKA,2015,519
Sweden,SWE,2011,550
Switzerland,CHE,2011,866
Taiwan,TWN,2017,6701
Thailand,THA,2017,7100
United Kingdom,GBR,2011,4114
