Entity,Code,Year,Weather disaster losses as % of global GDP (Munich Re) (% of global GDP)
World,OWID_WRL,1990,0.22
World,OWID_WRL,1991,0.25
World,OWID_WRL,1992,0.29
World,OWID_WRL,1993,0.35
World,OWID_WRL,1994,0.2
World,OWID_WRL,1995,0.23
World,OWID_WRL,1996,0.26
World,OWID_WRL,1997,0.15
World,OWID_WRL,1998,0.38
World,OWID_WRL,1999,0.28
World,OWID_WRL,2000,0.14
World,OWID_WRL,2001,0.1
World,OWID_WRL,2002,0.26
World,OWID_WRL,2003,0.18
World,OWID_WRL,2004,0.27
World,OWID_WRL,2005,0.48
World,OWID_WRL,2006,0.12
World,OWID_WRL,2007,0.15
World,OWID_WRL,2008,0.21
World,OWID_WRL,2009,0.11
World,OWID_WRL,2010,0.18
World,OWID_WRL,2011,0.22
World,OWID_WRL,2012,0.2
World,OWID_WRL,2013,0.16
World,OWID_WRL,2014,0.12
World,OWID_WRL,2015,0.11
World,OWID_WRL,2016,0.18
World,OWID_WRL,2017,0.4
