Entity,Code,Year,Gas - Prices  (US dollars per million Btu)
Average German import,,2009,29.0066274
Average German import,,2010,27.3054884
Average German import,,2011,35.670352
Average German import,,2012,37.146802
Average German import,,2013,36.469446326416914
Average German import,,2014,30.990304941386672
Average German import,,2015,22.844890291764923
Average German import,,2016,16.766465088513566
Average German import,,2017,19.102020118854654
Average German import,,2018,22.517213496547853
Canada,CAN,2009,11.500499999999999
Canada,CAN,2010,12.532077078364967
Canada,CAN,2011,11.813553558098658
Canada,CAN,2012,7.7127591160860485
Canada,CAN,2013,9.94845045061379
Canada,CAN,2014,13.152465451797136
Canada,CAN,2015,6.824895226937456
Canada,CAN,2016,5.27154642231229
Canada,CAN,2017,5.439909644249314
Canada,CAN,2018,3.7912563066831724
Japan,JPN,2009,30.79766982009924
Japan,JPN,2010,37.09192772952866
Japan,JPN,2011,50.07965002067808
Japan,JPN,2012,56.9437713244417
Japan,JPN,2013,54.975916304797316
Japan,JPN,2014,55.51963464123232
Japan,JPN,2015,35.038222446236716
Japan,JPN,2016,23.585368848221663
Japan,JPN,2017,27.52344073097601
Japan,JPN,2018,34.167361326509436
Japan Korea Marker,,2009,17.93631330472103
Japan Korea Marker,,2010,26.2499641434263
Japan Korea Marker,,2011,47.668
Japan Korea Marker,,2012,51.39452191235058
Japan Korea Marker,,2013,56.2930278884461
Japan Korea Marker,,2014,47.1116733067728
Japan Korea Marker,,2015,25.329657258064525
Japan Korea Marker,,2016,19.457916666666677
Japan Korea Marker,,2017,24.23826
Japan Korea Marker,,2018,33.184
Netherlands TTF,,2009,16.862873079297774
Netherlands TTF,,2010,23.015950036970242
Netherlands TTF,,2011,31.481590977690164
Netherlands TTF,,2012,32.123548208367076
Netherlands TTF,,2013,33.16397294944138
Netherlands TTF,,2014,27.688654664320282
Netherlands TTF,,2015,21.885698915937493
Netherlands TTF,,2016,15.435000044392028
Netherlands TTF,,2017,19.451606444332146
Netherlands TTF,,2018,26.868013432370613
OECD,,2009,35.40689655172422
OECD,,2010,45.798
OECD,,2011,63.093448275861945
OECD,,2012,63.98448275862075
OECD,,2013,62.05
OECD,,2014,57.13172413793114
OECD,,2015,29.826206896551728
OECD,,2016,23.952413793103457
OECD,,2017,30.512068965517233
OECD,,2018,39.733103448275784
United Kingdom,GBR,2009,16.49
United Kingdom,GBR,2010,22.290901638741488
United Kingdom,GBR,2011,30.74443227091635
United Kingdom,GBR,2012,32.17923213342392
United Kingdom,GBR,2013,36.17070177413874
United Kingdom,GBR,2014,28.06111751362823
United Kingdom,GBR,2015,22.188733879624976
United Kingdom,GBR,2016,15.946605113036295
United Kingdom,GBR,2017,19.736303261856612
United Kingdom,GBR,2018,27.407814255430193
United States,USA,2009,13.237333333333321
United States,USA,2010,14.922088052255907
United States,USA,2011,13.630710727030749
United States,USA,2012,9.36826334580793
United States,USA,2013,12.604786016475856
United States,USA,2014,14.782321271204212
United States,USA,2015,8.852467151740122
United States,USA,2016,8.370252269619382
United States,USA,2017,10.052797626044583
United States,USA,2018,10.629091035818226
