Entity,Code,Year,Hepatitis B3 (%),"Diphtheria, pertussis and tetanus (%)",Measles (%),Polio (%),Tuberculosis (%)
World,OWID_WRL,1990,1,76,73,75,81
World,OWID_WRL,1991,1,72,69,72,78
World,OWID_WRL,1992,3,70,69,70,78
World,OWID_WRL,1993,4,70,70,71,79
World,OWID_WRL,1994,8,73,72,73,80
World,OWID_WRL,1995,11,73,73,74,81
World,OWID_WRL,1996,14,72,73,74,80
World,OWID_WRL,1997,15,71,71,73,78
World,OWID_WRL,1998,16,72,71,73,79
World,OWID_WRL,1999,19,72,71,73,80
World,OWID_WRL,2000,29,72,72,73,80
World,OWID_WRL,2001,32,73,73,74,80
World,OWID_WRL,2002,38,73,72,75,80
World,OWID_WRL,2003,44,75,74,75,81
World,OWID_WRL,2004,48,76,76,76,83
World,OWID_WRL,2005,54,78,78,79,85
World,OWID_WRL,2006,58,79,79,80,86
World,OWID_WRL,2007,64,80,80,81,87
World,OWID_WRL,2008,69,82,81,83,88
World,OWID_WRL,2009,74,84,84,84,90
World,OWID_WRL,2010,74,85,85,85,90
World,OWID_WRL,2011,75,85,85,85,90
World,OWID_WRL,2012,80,85,84,85,90
World,OWID_WRL,2013,80,85,84,85,89
World,OWID_WRL,2014,82,85,84,85,89
World,OWID_WRL,2015,84,86,85,86,88
World,OWID_WRL,1980,,21,17,22,15
World,OWID_WRL,1981,,24,20,24,21
World,OWID_WRL,1982,,26,21,41,23
World,OWID_WRL,1983,,39,37,44,37
World,OWID_WRL,1984,,45,42,48,44
World,OWID_WRL,1985,,49,48,52,49
World,OWID_WRL,1986,,52,47,51,53
World,OWID_WRL,1987,,56,54,57,61
World,OWID_WRL,1988,,64,63,65,67
World,OWID_WRL,1989,,68,68,71,71
