Entity,Code,Year,Percentage of children under 5 with symptoms of pneumonia taken for care to a health provider (%)
Afghanistan,AFG,2011,60.5
Afghanistan,AFG,2015,61.5
Albania,ALB,2000,83
Albania,ALB,2005,45
Albania,ALB,2009,69.6
Algeria,DZA,2002,52
Algeria,DZA,2006,53
Algeria,DZA,2013,66.4
Angola,AGO,2016,49
Argentina,ARG,2012,94.3
Armenia,ARM,2000,26
Armenia,ARM,2005,36
Armenia,ARM,2010,57
Azerbaijan,AZE,2000,36
Bangladesh,BGD,1994,28
Bangladesh,BGD,1997,33
Bangladesh,BGD,2000,27
Bangladesh,BGD,2004,20
Bangladesh,BGD,2006,30
Bangladesh,BGD,2007,37
Bangladesh,BGD,2011,35.2
Bangladesh,BGD,2013,35.8
Bangladesh,BGD,2014,42
Belarus,BLR,2005,90
Belarus,BLR,2012,93.4
Belize,BLZ,1999,66
Belize,BLZ,2006,71
Belize,BLZ,2011,82.2
Belize,BLZ,2016,67.4
Benin,BEN,1996,32
Benin,BEN,2001,35
Benin,BEN,2006,36
Benin,BEN,2012,31
Benin,BEN,2014,23.3
Bhutan,BTN,2010,74.2
Bolivia,BOL,1994,40
Bolivia,BOL,1998,43
Bolivia,BOL,2000,54
Bolivia,BOL,2003,52
Bolivia,BOL,2008,50.9
Bolivia,BOL,2009,66.3
Bolivia,BOL,2011,61.6
Bosnia and Herzegovina,BIH,2000,80
Bosnia and Herzegovina,BIH,2006,91
Bosnia and Herzegovina,BIH,2012,87
Botswana,BWA,2000,14
Brazil,BRA,1996,46
Brazil,BRA,2006,49.7
Burkina Faso,BFA,1993,19
Burkina Faso,BFA,1999,22
Burkina Faso,BFA,2003,36
Burkina Faso,BFA,2006,39
Burkina Faso,BFA,2010,56
Burkina Faso,BFA,2015,51.8
Burundi,BDI,2000,40
Burundi,BDI,2005,38
Burundi,BDI,2010,54.7
Burundi,BDI,2012,54.1
Burundi,BDI,2017,62.5
Cambodia,KHM,2000,37
Cambodia,KHM,2005,48
Cambodia,KHM,2010,64.2
Cambodia,KHM,2014,68.8
Cameroon,CMR,1991,44
Cameroon,CMR,1998,34
Cameroon,CMR,2000,25
Cameroon,CMR,2004,40
Cameroon,CMR,2006,35
Cameroon,CMR,2011,29.9
Cameroon,CMR,2014,28.1
Central African Republic,CAF,1995,41
Central African Republic,CAF,2000,32
Central African Republic,CAF,2006,31.8
Central African Republic,CAF,2010,29.8
Chad,TCD,1997,19
Chad,TCD,2000,22
Chad,TCD,2004,12
Chad,TCD,2010,26.1
Chad,TCD,2015,25.8
Colombia,COL,1990,45
Colombia,COL,1995,49
Colombia,COL,2000,51
Colombia,COL,2005,62
Colombia,COL,2010,64.2
Comoros,COM,1996,53
Comoros,COM,2000,56
Comoros,COM,2012,38.1
Congo,COG,2005,48
Congo,COG,2012,52.1
Congo,COG,2015,28.3
Costa Rica,CRI,2011,77.2
Cote d'Ivoire,CIV,1994,39
Cote d'Ivoire,CIV,1999,35
