Entity,Code,Year,Female share of low pay earners (%) (%)
Armenia,ARM,2007,65.2
Armenia,ARM,2008,62.9
Armenia,ARM,2009,61.9
Armenia,ARM,2010,60.3
Armenia,ARM,2011,63.9
Austria,AUT,2010,68
Bulgaria,BGR,2010,52
Cameroon,CMR,2014,35.6
Canada,CAN,2015,48.9
Colombia,COL,2014,44.2
Colombia,COL,2015,45.4
Costa Rica,CRI,2015,45.52
Czech Republic,CZE,2012,57.4
Czech Republic,CZE,2013,57.6
Czech Republic,CZE,2014,57.1
Czech Republic,CZE,2015,56.6
Dominican Republic,DOM,2015,52
Finland,FIN,1995,73.2
Finland,FIN,1996,72.2
Finland,FIN,1997,71.4
Finland,FIN,1998,71.4
Finland,FIN,1999,70.4
Finland,FIN,2000,71
Finland,FIN,2001,67.7
Finland,FIN,2002,66.6
Finland,FIN,2003,67.5
Finland,FIN,2004,65.6
Finland,FIN,2005,65.5
Finland,FIN,2006,68.4
Finland,FIN,2007,68.8
Finland,FIN,2008,69.2
Finland,FIN,2009,70.9
Finland,FIN,2010,70.8
Finland,FIN,2013,68.7
Finland,FIN,2014,66.9
France,FRA,2011,60.7
France,FRA,2012,59.4
France,FRA,2013,57.8
Germany,DEU,2014,62.06
Hungary,HUN,2010,49.22
Hungary,HUN,2011,50.02
Hungary,HUN,2012,49.32
Hungary,HUN,2013,46.98
Hungary,HUN,2014,47.55
Hungary,HUN,2015,49.98
Iceland,ISL,2014,73.4
Israel,ISR,1995,66.3
Israel,ISR,1996,68.8
Israel,ISR,1997,64.2
Israel,ISR,1998,67.3
Israel,ISR,1999,67.6
Israel,ISR,2000,69.9
Israel,ISR,2001,67.8
Israel,ISR,2002,66.2
Israel,ISR,2003,66.1
Israel,ISR,2004,68.1
Israel,ISR,2005,69.1
Israel,ISR,2006,70.2
Israel,ISR,2007,69.6
Israel,ISR,2008,69.3
Israel,ISR,2013,52.8
Israel,ISR,2014,53.5
Latvia,LVA,2008,52.8
Latvia,LVA,2009,53.8
Latvia,LVA,2010,52.7
Latvia,LVA,2011,52.2
Luxembourg,LUX,2008,61.1
Luxembourg,LUX,2009,63.4
Luxembourg,LUX,2010,64.4
Luxembourg,LUX,2011,65.5
Moldova,MDA,2006,61
Moldova,MDA,2007,63.5
Moldova,MDA,2008,62.6
Moldova,MDA,2009,59.9
Moldova,MDA,2010,61.1
Moldova,MDA,2011,59.6
New Zealand,NZL,1998,58.5
New Zealand,NZL,1999,54.2
New Zealand,NZL,2000,56.6
New Zealand,NZL,2001,58.4
New Zealand,NZL,2002,56.4
New Zealand,NZL,2003,57.6
New Zealand,NZL,2004,58.4
New Zealand,NZL,2005,60.7
New Zealand,NZL,2006,58.1
New Zealand,NZL,2007,58.7
New Zealand,NZL,2008,58.2
New Zealand,NZL,2009,52.5
New Zealand,NZL,2010,53.6
New Zealand,NZL,2011,56.3
Paraguay,PRY,2014,34.986510674
Paraguay,PRY,2015,37.1
Philippines,PHL,2001,45.8
Philippines,PHL,2002,45.4
Philippines,PHL,2003,45
Philippines,PHL,2004,45.1
Philippines,PHL,2005,49.6
Philippines,PHL,2006,51
Philippines,PHL,2007,50.2
Philippines,PHL,2008,47.7
Philippines,PHL,2009,48.73
Philippines,PHL,2010,49.1
Philippines,PHL,2011,49.24
Philippines,PHL,2012,49.27
Philippines,PHL,2013,49.13
Philippines,PHL,2014,51.91
Poland,POL,1998,59.2
Poland,POL,1999,58.2
Poland,POL,2001,57.8
Poland,POL,2002,53.7
Poland,POL,2004,54.1
Poland,POL,2006,54.4
Poland,POL,2008,56.7
Poland,POL,2010,54.2
Poland,POL,2014,45.8
Portugal,PRT,1995,59
Portugal,PRT,1996,58.7
Portugal,PRT,1997,58.4
Portugal,PRT,1998,60.8
Portugal,PRT,1999,60.8
Portugal,PRT,2000,60.7
Portugal,PRT,2002,59.1
Portugal,PRT,2003,59.3
Portugal,PRT,2004,60.7
Portugal,PRT,2005,61.2
Portugal,PRT,2006,62.4
Portugal,PRT,2007,62.2
Portugal,PRT,2008,61.7
Portugal,PRT,2009,60.4
Slovakia,SVK,2014,24.38
Slovakia,SVK,2015,23.82
Spain,ESP,2012,64.89
Spain,ESP,2013,64.4
Spain,ESP,2014,63.22815534
Spain,ESP,2015,65.550239234
Sweden,SWE,2014,16.5
Switzerland,CHE,1998,70.8
Switzerland,CHE,2000,71
Switzerland,CHE,2002,71.2
Switzerland,CHE,2004,70.1
Switzerland,CHE,2006,68.6
Switzerland,CHE,2008,69
Switzerland,CHE,2010,68.4
Switzerland,CHE,2014,66.3
United Kingdom,GBR,2015,62.1
Vietnam,VNM,2014,49
Vietnam,VNM,2015,49.5
