Entity,Code,Year,Drinking water - Proportion of population using improved water supplies - Safely managed - National - Population
Albania,ALB,2000,1349789.9139629547
Albania,ALB,2001,1409241.9659792187
Albania,ALB,2002,1466830.3836088588
Albania,ALB,2003,1521782.0084824844
Albania,ALB,2004,1572721.8300142277
Albania,ALB,2005,1618669.8814773737
Albania,ALB,2006,1658319.378498831
Albania,ALB,2007,1691897.170652151
Albania,ALB,2008,1722140.789927947
Albania,ALB,2009,1753439.3845356596
Albania,ALB,2010,1789412.159598263
Albania,ALB,2011,1831869.232329373
Albania,ALB,2012,1880418.9055945126
Albania,ALB,2013,1933885.5921994967
Albania,ALB,2014,1989816.5669336943
Albania,ALB,2015,1994942.2313255596
Argentina,ARG,2000,36203183.8208928
Argentina,ARG,2001,36626012.217925094
Argentina,ARG,2002,37052536.25064928
Argentina,ARG,2003,37481028.01815983
Argentina,ARG,2004,37908622.143154055
Argentina,ARG,2005,38361301.33602784
Argentina,ARG,2006,38810935.356357224
Argentina,ARG,2007,39258829.10766485
Argentina,ARG,2008,39683045.961386986
Argentina,ARG,2009,40107897.26405388
Argentina,ARG,2010,40539844.02453849
Argentina,ARG,2011,40979909.47717278
Argentina,ARG,2012,41426484.68947039
Argentina,ARG,2013,41861679.117234655
Argentina,ARG,2014,42349107.28524457
Argentina,ARG,2015,42777406.28962698
Armenia,ARM,2000,821359.6295497958
Armenia,ARM,2001,818491.0134060186
Armenia,ARM,2002,946258.4059200863
Armenia,ARM,2003,1074151.3920481391
Armenia,ARM,2004,1201761.0411529916
Armenia,ARM,2005,1323234.480093972
Armenia,ARM,2006,1402482.5487478962
Armenia,ARM,2007,1480058.8761769384
Armenia,ARM,2008,1556834.8126539637
Armenia,ARM,2009,1634159.7479791539
Armenia,ARM,2010,1713651.9390915006
Armenia,ARM,2011,1795628.8342162594
Armenia,ARM,2012,1799645.9562377047
Armenia,ARM,2013,1805956.5004409614
Armenia,ARM,2014,1822257.5438907798
Armenia,ARM,2015,1828173.5715827432
Austria,AUT,2000,7876192.158500991
Austria,AUT,2001,7908208.355805093
Austria,AUT,2002,7947923.760842741
Austria,AUT,2003,7992528.393373401
Austria,AUT,2004,8037562.191971143
Austria,AUT,2005,8079774.238475833
Austria,AUT,2006,8118378.0395054985
Austria,AUT,2007,8154471.3190942295
Austria,AUT,2008,8188888.015909828
Austria,AUT,2009,8223065.901870602
Austria,AUT,2010,8257993.452389
Austria,AUT,2011,8293890.500188864
Austria,AUT,2012,8330163.62860541
Austria,AUT,2013,8366046.515199008
Austria,AUT,2014,8400455.429502252
Austria,AUT,2015,8432644.603871865
Azerbaijan,AZE,2000,4174321.090602827
Azerbaijan,AZE,2001,4245178.435916548
Azerbaijan,AZE,2002,4320096.899213177
Azerbaijan,AZE,2003,4398621.360901688
Azerbaijan,AZE,2004,4628064.132319073
Azerbaijan,AZE,2005,4864724.403766902
Azerbaijan,AZE,2006,5108408.720468894
Azerbaijan,AZE,2007,5359795.55812097
Azerbaijan,AZE,2008,5620110.988154735
Azerbaijan,AZE,2009,5891191.864843954
Azerbaijan,AZE,2010,6174490.457662109
Azerbaijan,AZE,2011,6439484.509287023
Azerbaijan,AZE,2012,6573130.226120337
Azerbaijan,AZE,2013,6709640.154906564
Azerbaijan,AZE,2014,6844921.652951436
Azerbaijan,AZE,2015,6975761.29212309
Bahrain,BHR,2000,657780.6386954563
Bahrain,BHR,2001,685506.3607816836
Bahrain,BHR,2002,715639.0355579129
Bahrain,BHR,2003,751459.1526053251
Bahrain,BHR,2004,797316.2344265555
Bahrain,BHR,2005,855647.9790735522
Bahrain,BHR,2006,928568.3482659613
Bahrain,BHR,2007,1013314.9446471172
Bahrain,BHR,2008,1101483.452061999
Bahrain,BHR,2009,1181562.1216103756
Bahrain,BHR,2010,1245412.4132553965
Bahrain,BHR,2011,1289558.2236000001
Bahrain,BHR,2012,1316773.9298
Bahrain,BHR,2013,1332424.2198
Bahrain,BHR,2014,1344769.682
Bahrain,BHR,2015,1359883.8138000001
Bangladesh,BGD,2000,73323324.42439044
Bangladesh,BGD,2001,74760195.4516169
Bangladesh,BGD,2002,76141195.50562178
Bangladesh,BGD,2003,77472285.36470322
Bangladesh,BGD,2004,78726818.69081913
Bangladesh,BGD,2005,79888538.54750136
Bangladesh,BGD,2006,80945604.8034664
Bangladesh,BGD,2007,81909788.94130793
