Entity,Code,Year,Married women are required by law to obey their husbands (1=yes; 0=no) (1=yes; 0=no)
Afghanistan,AFG,2015,1
Albania,ALB,2009,0
Albania,ALB,2011,0
Albania,ALB,2013,0
Albania,ALB,2015,0
Algeria,DZA,2009,0
Algeria,DZA,2011,0
Algeria,DZA,2013,0
Algeria,DZA,2015,0
Angola,AGO,2009,0
Angola,AGO,2011,0
Angola,AGO,2013,0
Angola,AGO,2015,0
Antigua and Barbuda,ATG,2015,0
Argentina,ARG,2009,0
Argentina,ARG,2011,0
Argentina,ARG,2013,0
Argentina,ARG,2015,0
Armenia,ARM,2009,0
Armenia,ARM,2011,0
Armenia,ARM,2013,0
Armenia,ARM,2015,0
Australia,AUS,2009,0
Australia,AUS,2011,0
Australia,AUS,2013,0
Australia,AUS,2015,0
Austria,AUT,2009,0
Austria,AUT,2011,0
Austria,AUT,2013,0
Austria,AUT,2015,0
Azerbaijan,AZE,2009,0
Azerbaijan,AZE,2011,0
Azerbaijan,AZE,2013,0
Azerbaijan,AZE,2015,0
Bahamas,BHS,2015,0
Bahrain,BHR,2015,1
Bangladesh,BGD,2009,0
Bangladesh,BGD,2011,0
Bangladesh,BGD,2013,0
Bangladesh,BGD,2015,0
Barbados,BRB,2015,0
Belarus,BLR,2009,0
Belarus,BLR,2011,0
Belarus,BLR,2013,0
Belarus,BLR,2015,0
Belgium,BEL,2009,0
Belgium,BEL,2011,0
Belgium,BEL,2013,0
Belgium,BEL,2015,0
Belize,BLZ,2015,0
Benin,BEN,2009,0
Benin,BEN,2011,0
Benin,BEN,2013,0
Benin,BEN,2015,0
Bhutan,BTN,2015,0
Bolivia,BOL,2009,0
Bolivia,BOL,2011,0
Bolivia,BOL,2013,0
Bolivia,BOL,2015,0
Bosnia and Herzegovina,BIH,2009,0
Bosnia and Herzegovina,BIH,2011,0
Bosnia and Herzegovina,BIH,2013,0
Bosnia and Herzegovina,BIH,2015,0
Botswana,BWA,2009,0
Botswana,BWA,2011,0
Botswana,BWA,2013,0
Botswana,BWA,2015,0
Brazil,BRA,2009,0
Brazil,BRA,2011,0
Brazil,BRA,2013,0
Brazil,BRA,2015,0
Brunei,BRN,2015,1
Bulgaria,BGR,2009,0
Bulgaria,BGR,2011,0
Bulgaria,BGR,2013,0
Bulgaria,BGR,2015,0
Burkina Faso,BFA,2009,0
Burkina Faso,BFA,2011,0
Burkina Faso,BFA,2013,0
Burkina Faso,BFA,2015,0
Burundi,BDI,2009,0
Burundi,BDI,2011,0
Burundi,BDI,2013,0
Burundi,BDI,2015,0
Cambodia,KHM,2009,0
Cambodia,KHM,2011,0
Cambodia,KHM,2013,0
Cambodia,KHM,2015,0
Cameroon,CMR,2009,0
Cameroon,CMR,2011,0
Cameroon,CMR,2013,0
Cameroon,CMR,2015,0
Canada,CAN,2009,0
Canada,CAN,2011,0
Canada,CAN,2013,0
Canada,CAN,2015,0
Cape Verde,CPV,2015,0
Central African Republic,CAF,2015,0
Chad,TCD,2009,0
Chad,TCD,2011,0
Chad,TCD,2013,0
Chad,TCD,2015,0
Chile,CHL,2009,0
