Entity,Code,Year, (hectare per person)
Africa,,"10,000 BCE",0
Africa,,"9,000 BCE",0
Africa,,"8,000 BCE",0
Africa,,"7,000 BCE",0.011509142
Africa,,"6,000 BCE",0.168429385
Africa,,"5,000 BCE",4.627359848
Africa,,"4,000 BCE",6.931103577
Africa,,"3,000 BCE",6.468854613
Africa,,"2,000 BCE",6.567579266
Africa,,"1,000 BCE",7.451283521
Africa,,0,6.900237227
Africa,,100,6.730862792
Africa,,200,6.508070254
Africa,,300,6.501476516
Africa,,400,6.455922035
Africa,,500,6.428388036
Africa,,600,6.348038488
Africa,,700,6.014890487
Africa,,800,5.683554384
Africa,,900,5.43715296
Africa,,1000,5.21674832
Africa,,1100,5.171999956
Africa,,1200,5.070463467
Africa,,1300,4.898590559
Africa,,1400,4.869860221
Africa,,1500,4.733512471
Africa,,1600,4.448928108
Africa,,1700,4.788193332
Africa,,1710,4.740602214
Africa,,1720,4.781547568
Africa,,1730,4.822439698
Africa,,1740,4.862256067
Africa,,1750,4.902578866
Africa,,1760,4.944404717
Africa,,1770,4.989391269
Africa,,1780,5.040961653
Africa,,1790,5.105225818
Africa,,1800,5.195709879
Africa,,1810,5.315974594
Africa,,1820,5.321873159
Africa,,1830,5.281299622
Africa,,1840,5.160169498
Africa,,1850,5.050371751
Africa,,1860,4.987423431
Africa,,1870,4.863820427
Africa,,1880,4.770472713
Africa,,1890,4.588703736
Africa,,1900,4.456994518
Africa,,1910,4.342087184
Africa,,1920,4.2266933
Africa,,1930,4.114965246
Africa,,1940,4.008214573
Africa,,1950,3.896694038
Africa,,1960,3.655112421
Africa,,1970,2.867759534
Africa,,1980,2.215968779
Africa,,1990,1.721197734
Africa,,2000,1.36499524
Africa,,2001,1.335456598
Africa,,2002,1.306759957
Africa,,2003,1.283038516
Africa,,2004,1.256894241
Africa,,2005,1.236873814
Africa,,2006,1.21286032
Africa,,2007,1.187785999
Africa,,2008,1.163557461
Africa,,2009,1.140465631
Africa,,2010,1.121631743
Africa,,2011,1.100913774
Africa,,2012,1.083948341
Africa,,2013,1.062792624
Africa,,2014,1.045741522
Africa,,2015,1.028812151
Africa,,2016,1.012342858
Brazil,BRA,"10,000 BCE",0
Brazil,BRA,"9,000 BCE",0
Brazil,BRA,"8,000 BCE",0
Brazil,BRA,"7,000 BCE",0
Brazil,BRA,"6,000 BCE",0
Brazil,BRA,"5,000 BCE",0
Brazil,BRA,"4,000 BCE",0.003912113
Brazil,BRA,"3,000 BCE",0.006176834
Brazil,BRA,"2,000 BCE",0.009220776
Brazil,BRA,"1,000 BCE",0.014134237
Brazil,BRA,0,0.021474316
Brazil,BRA,100,0.021450838
Brazil,BRA,200,0.021362893
Brazil,BRA,300,0.021320594
Brazil,BRA,400,0.021285034
Brazil,BRA,500,0.021238573
Brazil,BRA,600,0.02118751
Brazil,BRA,700,0.021117686
Brazil,BRA,800,0.021063411
Brazil,BRA,900,0.021044205
Brazil,BRA,1000,0.021029374
Brazil,BRA,1100,0.021006878
Brazil,BRA,1200,0.021003002
Brazil,BRA,1300,0.020999753
Brazil,BRA,1400,0.020990801
Brazil,BRA,1500,0.021021697
Brazil,BRA,1600,0.66702123
Brazil,BRA,1700,2.017330735
Brazil,BRA,1710,1.909345677
Brazil,BRA,1720,1.797940053
Brazil,BRA,1730,1.686327196
Brazil,BRA,1740,1.574505913
Brazil,BRA,1750,1.463895244
Brazil,BRA,1760,1.355859837
Brazil,BRA,1770,1.250800726
Brazil,BRA,1780,1.150172023
Brazil,BRA,1790,1.054406208
Brazil,BRA,1800,1.025932183
Brazil,BRA,1810,0.971474946
Brazil,BRA,1820,1.085742705
Brazil,BRA,1830,1.0984265
Brazil,BRA,1840,1.124429411
Brazil,BRA,1850,1.186557268
Brazil,BRA,1860,1.281634128
Brazil,BRA,1870,1.411003972
Brazil,BRA,1880,1.589143022
Brazil,BRA,1890,1.625029973
Brazil,BRA,1900,1.712779944
Brazil,BRA,1910,1.756221352
Brazil,BRA,1920,1.769904511
