Entity,Code,Year,Renewable internal freshwater resources per capita (cubic meters) (cubic meters)
Afghanistan,AFG,1962,5045.01026549915
Afghanistan,AFG,1967,4545.61668545007
Afghanistan,AFG,1972,4022.37172345192
Afghanistan,AFG,1977,3608.17776079932
Afghanistan,AFG,1982,3698.14218356668
Afghanistan,AFG,1987,4099.0158797527
Afghanistan,AFG,1992,3372.37829773358
Afghanistan,AFG,1997,2565.06436733898
Afghanistan,AFG,2002,2145.13945294531
Afghanistan,AFG,2007,1771.43812071718
Afghanistan,AFG,2012,1535.98281627776
Afghanistan,AFG,2014,1439.34218246402
Albania,ALB,1962,15718.869480208
Albania,ALB,1967,13685.4026102998
Albania,ALB,1972,11992.1930377518
Albania,ALB,1977,10702.0122170034
Albania,ALB,1982,9661.39157081297
Albania,ALB,1987,8723.55570833489
Albania,ALB,1992,8284.47086715004
Albania,ALB,1997,8544.34531098082
Albania,ALB,2002,8816.75248524259
Albania,ALB,2007,9057.18721475332
Albania,ALB,2012,9274.57961847344
Albania,ALB,2014,9310.84516168334
Algeria,DZA,1962,962.34839697992
Algeria,DZA,1967,842.431783805496
Algeria,DZA,1972,731.607723254324
Algeria,DZA,1977,635.94590084535
Algeria,DZA,1982,546.761444482499
Algeria,DZA,1987,470.359078810315
Algeria,DZA,1992,413.890625594393
Algeria,DZA,1997,376.419868290521
Algeria,DZA,2002,351.616934696703
Algeria,DZA,2007,327.987611456021
Algeria,DZA,2012,299.474147355176
Algeria,DZA,2014,287.625852609315
Andorra,AND,1962,20533.5068314899
Andorra,AND,1967,15203.7768571153
Andorra,AND,1972,11735.8322177599
Andorra,AND,1977,9630.46596075799
Andorra,AND,1982,8068.72219665593
Andorra,AND,1987,6513.25972551852
Andorra,AND,1992,5359.32617850836
Andorra,AND,1997,4906.1824739223
Andorra,AND,2002,4505.41763622607
Andorra,AND,2007,3816.98777257719
Andorra,AND,2012,3828.6566946901
Andorra,AND,2014,3983.69160471075
Angola,AGO,1962,25229.8774254137
Angola,AGO,1967,23070.9454956707
Angola,AGO,1972,20860.2484568349
Angola,AGO,1977,18201.9700434929
Angola,AGO,1982,15445.3757588584
Angola,AGO,1987,13192.7673683674
Angola,AGO,1992,11412.4045897915
Angola,AGO,1997,9808.48209696864
Angola,AGO,2002,8422.17926278502
Angola,AGO,2007,7048.39537802426
Angola,AGO,2012,5897.3189114665
Angola,AGO,2014,5497.67600605428
Antigua and Barbuda,ATG,1962,909.981800363993
Antigua and Barbuda,ATG,1967,820.707070707071
Antigua and Barbuda,ATG,1972,751.705793916965
Antigua and Barbuda,ATG,1977,713.550600343053
Antigua and Barbuda,ATG,1982,717.756183745583
Antigua and Barbuda,ATG,1987,766.452944211069
Antigua and Barbuda,ATG,1992,759.933944203312
Antigua and Barbuda,ATG,1997,668.904925455691
Antigua and Barbuda,ATG,2002,602.786729418311
Antigua and Barbuda,ATG,2007,569.046081789431
Antigua and Barbuda,ATG,2012,537.317751118551
Antigua and Barbuda,ATG,2014,525.916561314791
Arab World,,1962,1212.88153361465
Arab World,,1967,1055.29994268418
Arab World,,1972,919.474425040644
Arab World,,1977,793.364306165755
Arab World,,1982,675.886572551222
Arab World,,1987,582.774443556734
Arab World,,1992,513.655231913994
Arab World,,1997,454.382563173942
Arab World,,2002,409.88302057315
Arab World,,2007,366.037127189803
Arab World,,2012,303.766960020319
Arab World,,2014,290.780999871945
Argentina,ARG,1962,13716.8527789921
Argentina,ARG,1967,12733.1857301281
Argentina,ARG,1972,11782.2943508458
Argentina,ARG,1977,10863.6751999223
Argentina,ARG,1982,10071.053698134
Argentina,ARG,1987,9321.18978092427
Argentina,ARG,1992,8676.23502862905
Argentina,ARG,1997,8148.69265528471
Argentina,ARG,2002,7706.64700943827
Argentina,ARG,2007,7305.43816817239
Argentina,ARG,2012,6936.40426637322
Argentina,ARG,2014,6793.61814026332
Armenia,ARM,1992,1992.2679439179
Armenia,ARM,1997,2189.21536146789
Armenia,ARM,2002,2260.78868201524
Armenia,ARM,2007,2338.5165506557
Armenia,ARM,2012,2380.00889684037
Armenia,ARM,2014,2360.11038393515
Australia,AUS,1962,45801.5267175573
Australia,AUS,1967,41698.4490211035
Australia,AUS,1972,37337.7855354026
Australia,AUS,1977,34667.4182638106
Australia,AUS,1982,32415.3379891949
Australia,AUS,1987,30251.0467968937
Australia,AUS,1992,28122.3206630466
Australia,AUS,1997,26570.1787546579
Australia,AUS,2002,25036.384176191
Australia,AUS,2007,23622.5009122511
Australia,AUS,2012,21633.5293322297
Australia,AUS,2014,20932.4843140387
Austria,AUT,1962,7714.03213301123
Austria,AUT,1967,7455.60728090207
Austria,AUT,1972,7290.36779375311
Austria,AUT,1977,7267.02896109233
Austria,AUT,1982,7261.55048625983
Austria,AUT,1987,7261.12291813704
Austria,AUT,1992,7014.67175991355
Austria,AUT,1997,6902.57492399951
Austria,AUT,2002,6805.28243345021
Austria,AUT,2007,6630.11104712719
Austria,AUT,2012,6524.32487768967
Austria,AUT,2014,6435.49133689259
Azerbaijan,AZE,1992,1099.29558385261
Azerbaijan,AZE,1997,1035.30762606449
Azerbaijan,AZE,2002,993.031039103274
Azerbaijan,AZE,2007,945.660913847552
Azerbaijan,AZE,2012,872.976394460112
Azerbaijan,AZE,2014,851.067935567183
Bahamas,BHS,1962,5781.15837896319
Bahamas,BHS,1967,4586.88543925981
Bahamas,BHS,1972,3936.14449024117
Bahamas,BHS,1977,3551.29850693264
Bahamas,BHS,1982,3177.84587447509
Bahamas,BHS,1987,2876.00711606332
Bahamas,BHS,1992,2630.25393222963
Bahamas,BHS,1997,2439.27936718124
Bahamas,BHS,2002,2264.22173846945
Bahamas,BHS,2007,2044.82250940618
Bahamas,BHS,2012,1881.52317364577
Bahamas,BHS,2014,1831.65039550565
Bahrain,BHR,1962,23.1021577415331
Bahrain,BHR,1967,20.4016056063612
Bahrain,BHR,1972,17.4554340948266
Bahrain,BHR,1977,13.1937000082461
Bahrain,BHR,1982,10.3640367923306
Bahrain,BHR,1987,8.90922171266424
Bahrain,BHR,1992,7.6469115080283
Bahrain,BHR,1997,6.72348007328593
Bahrain,BHR,2002,5.44108125166633
Bahrain,BHR,2007,3.86141012905798
Bahrain,BHR,2012,3.07640955317459
Bahrain,BHR,2014,2.99312255265464
Bangladesh,BGD,1962,2057.60764467475
Bangladesh,BGD,1967,1761.13421337154
Bangladesh,BGD,1972,1553.3125722013
Bangladesh,BGD,1977,1401.38464276757
Bangladesh,BGD,1982,1220.82616422547
Bangladesh,BGD,1987,1067.68286756109
