Entity,Code,Year,Gap to reaching the target percent of people receiving ART - All ages (%)
Afghanistan,AFG,2015,76
Afghanistan,AFG,2016,74
Albania,ALB,2015,48
Albania,ALB,2016,51
Algeria,DZA,2015,16
Algeria,DZA,2016,5
Angola,AGO,2015,58
Angola,AGO,2016,59
Antigua and Barbuda,ATG,2015,46
Antigua and Barbuda,ATG,2016,43
Argentina,ARG,2015,18
Argentina,ARG,2016,17
Armenia,ARM,2015,55
Armenia,ARM,2016,45
Australia,AUS,2014,5
Australia,AUS,2016,0
Austria,AUT,2013,6
Azerbaijan,AZE,2015,47
Azerbaijan,AZE,2016,51
Bahamas,BHS,2015,52
Bahamas,BHS,2016,53
Bahrain,BHR,2015,39
Bahrain,BHR,2016,39
Bangladesh,BGD,2015,68
Bangladesh,BGD,2016,65
Barbados,BRB,2015,37
Barbados,BRB,2016,35
Belarus,BLR,2015,39
Belarus,BLR,2016,36
Belgium,BEL,2014,10
Belize,BLZ,2015,52
Belize,BLZ,2016,49
Benin,BEN,2015,30
Benin,BEN,2016,24
Bhutan,BTN,2015,22
Bolivia,BOL,2015,52
Bolivia,BOL,2016,46
Bosnia and Herzegovina,BIH,2016,0
Botswana,BWA,2015,4
Botswana,BWA,2016,0
Brazil,BRA,2015,24
Brazil,BRA,2016,21
Bulgaria,BGR,2015,58
Bulgaria,BGR,2016,55
Burkina Faso,BFA,2015,26
Burkina Faso,BFA,2016,21
Burundi,BDI,2015,31
Burundi,BDI,2016,20
Cambodia,KHM,2015,5
Cambodia,KHM,2016,1
Cameroon,CMR,2015,51
Cameroon,CMR,2016,44
Canada,CAN,2014,20
Cape Verde,CPV,2015,31
Cape Verde,CPV,2016,24
Central African Republic,CAF,2015,59
Central African Republic,CAF,2016,57
Chad,TCD,2015,27
Chad,TCD,2016,42
Chile,CHL,2015,32
Chile,CHL,2016,28
Colombia,COL,2015,28
Comoros,COM,2015,49
Comoros,COM,2016,46
Congo,COG,2015,52
Congo,COG,2016,58
Costa Rica,CRI,2015,36
Costa Rica,CRI,2016,32
Cote d'Ivoire,CIV,2015,47
Cote d'Ivoire,CIV,2016,40
Croatia,HRV,2015,24
Cuba,CUB,2015,12
Cuba,CUB,2016,11
Czech Republic,CZE,2015,35
Czech Republic,CZE,2016,29
Democratic Republic of Congo,COD,2015,49
Democratic Republic of Congo,COD,2016,39
Denmark,DNK,2014,0
Denmark,DNK,2016,0
Djibouti,DJI,2015,59
Djibouti,DJI,2016,55
Dominica,DMA,2015,59
Dominica,DMA,2016,60
Dominican Republic,DOM,2015,35
Dominican Republic,DOM,2016,35
Ecuador,ECU,2015,31
Ecuador,ECU,2016,29
Egypt,EGY,2015,60
Egypt,EGY,2016,54
El Salvador,SLV,2015,36
El Salvador,SLV,2016,33
