Entity,Code,Year,Risk of impoverishing expenditure for surgical care (% of people at risk) (% of people at risk)
Afghanistan,AFG,2014,83.1
Albania,ALB,2014,11.3
Algeria,DZA,2014,35.5
Andorra,AND,2014,0.1
Angola,AGO,2014,55.5
Antigua and Barbuda,ATG,2014,17.5
Arab World,,2014,33.8609723524792
Argentina,ARG,2014,15.5
Armenia,ARM,2014,23.1
Australia,AUS,2014,0.6
Austria,AUT,2014,0.1
Azerbaijan,AZE,2014,38.4
Bahamas,BHS,2014,12.6
Bahrain,BHR,2014,3.2
Bangladesh,BGD,2014,79.1
Barbados,BRB,2014,16.1
Belarus,BLR,2014,7.4
Belgium,BEL,2014,0.4
Belize,BLZ,2014,41.3
Benin,BEN,2014,74.5
Bhutan,BTN,2014,61.5
Bolivia,BOL,2014,69.8
Bosnia and Herzegovina,BIH,2014,9.2
Botswana,BWA,2014,50
Brazil,BRA,2014,38.8
Brunei,BRN,2014,8.3
Bulgaria,BGR,2014,4.3
Burkina Faso,BFA,2014,83.1
Burundi,BDI,2014,98.7
Cambodia,KHM,2014,71.8
Cameroon,CMR,2014,57
Canada,CAN,2014,0.3
Cape Verde,CPV,2014,32.1
Caribbean small states,,2014,22.0162959557451
Central African Republic,CAF,2014,82.9
Central Europe and the Baltics,,2014,2.99036461626279
Chad,TCD,2014,75.3
Chile,CHL,2014,28.7
China,CHN,2014,52.7
Colombia,COL,2014,44.6
Comoros,COM,2014,75.1
Congo,COG,2014,69.9
Costa Rica,CRI,2014,32.4
Cote d'Ivoire,CIV,2014,62.9
Croatia,HRV,2014,2.8
Cuba,CUB,2014,34.6
Cyprus,CYP,2014,0.7
Czech Republic,CZE,2014,0.3
Democratic Republic of Congo,COD,2014,90.6
Denmark,DNK,2014,0
Djibouti,DJI,2014,62.2
Dominica,DMA,2014,24.7
Dominican Republic,DOM,2014,26.6
Early-demographic dividend,,2014,57.3096790930677
East Asia & Pacific,,2014,46.5764993284602
East Asia & Pacific (IDA & IBRD),,2014,51.584214445777
East Asia & Pacific (excluding high income),,2014,51.5847218546401
Ecuador,ECU,2014,38.4
Egypt,EGY,2014,37.2
El Salvador,SLV,2014,32.3
Equatorial Guinea,GNQ,2014,55.2
Eritrea,ERI,2014,93.1
Estonia,EST,2014,17.6
Ethiopia,ETH,2014,97.6
Euro area,,2014,0.889093950120434
Europe & Central Asia,,2014,10.2347069698064
Europe & Central Asia (IDA & IBRD),,2014,19.6545959115846
Europe & Central Asia (excluding high income),,2014,21.2886342583225
European Union,,2014,1.04879847851506
Fiji,FJI,2014,24.1
Finland,FIN,2014,0
Fragile and conflict affected situations,,2014,66.758306125569
France,FRA,2014,0.2
