Entity,Code,Year,"Youth literacy rate, population 15-24 years, male (%) (%)"
Afghanistan,AFG,1979,45.7960205078125
Afghanistan,AFG,2011,61.8790702819824
Afghanistan,AFG,2015,69.4205169677734
Albania,ALB,2001,99.3684616088867
Albania,ALB,2008,98.5371170043945
Albania,ALB,2011,98.7313613891602
Albania,ALB,2012,99.3759765625
Albania,ALB,2015,98.9782180786133
Algeria,DZA,1987,86.2300872802734
Algeria,DZA,2002,94.0575408935547
Algeria,DZA,2006,94.381477355957
Algeria,DZA,2008,95.7470626831055
Algeria,DZA,2015,97.2003173828125
American Samoa,ASM,1980,97.8886184692383
Angola,AGO,2001,83.7769317626953
Angola,AGO,2014,78.9887924194336
Angola,AGO,2015,78.6145706176758
Arab World,,1985,82.0033493041992
Arab World,,1986,82.0033493041992
Arab World,,1987,82.0033493041992
Arab World,,1988,82.0033493041992
Arab World,,1989,82.0033493041992
Arab World,,1990,82.0033493041992
Arab World,,1991,82.0033493041992
Arab World,,1992,82.0033493041992
Arab World,,1993,82.0033493041992
Arab World,,1994,82.0033493041992
Arab World,,1995,87.184211730957
Arab World,,1996,87.184211730957
Arab World,,1997,87.184211730957
Arab World,,1998,87.184211730957
Arab World,,1999,87.184211730957
Arab World,,2000,87.184211730957
Arab World,,2001,87.184211730957
Arab World,,2002,87.184211730957
Arab World,,2003,87.184211730957
Arab World,,2004,87.184211730957
Arab World,,2005,91.6324920654297
Arab World,,2006,91.6324920654297
Arab World,,2007,91.6324920654297
Arab World,,2008,91.6324920654297
Arab World,,2009,91.6324920654297
Arab World,,2010,91.6324920654297
Arab World,,2011,91.6324920654297
Arab World,,2012,91.6324920654297
Arab World,,2013,91.6324920654297
Arab World,,2014,91.6324920654297
Argentina,ARG,1980,96.4592208862305
Argentina,ARG,1991,98.0654907226563
Argentina,ARG,2001,98.7079010009766
Argentina,ARG,2014,99.1072998046875
Argentina,ARG,2015,99.1313171386719
Armenia,ARM,1989,99.9093704223633
Armenia,ARM,2001,99.7523498535156
Armenia,ARM,2011,99.8184204101563
Armenia,ARM,2015,99.816291809082
Aruba,ABW,2000,98.8817596435547
Aruba,ABW,2010,98.9657287597656
Aruba,ABW,2015,99.4543533325195
Azerbaijan,AZE,1999,99.8703384399414
Azerbaijan,AZE,2007,100
Azerbaijan,AZE,2009,99.9567794799805
Azerbaijan,AZE,2010,99.9674530029297
Azerbaijan,AZE,2011,99.9560317993164
Azerbaijan,AZE,2012,99.9550018310547
Azerbaijan,AZE,2013,99.9768676757813
Azerbaijan,AZE,2014,99.9762420654297
Azerbaijan,AZE,2015,99.9757080078125
Bahrain,BHR,1981,89.6903762817383
Bahrain,BHR,1991,97.2586669921875
Bahrain,BHR,2001,96.8270797729492
Bahrain,BHR,2010,98.6199111938477
Bahrain,BHR,2015,99.7901992797852
Bangladesh,BGD,1981,44.3621597290039
Bangladesh,BGD,1991,51.7367286682129
Bangladesh,BGD,2001,67.1638107299805
Bangladesh,BGD,2014,79.7763595581055
Bangladesh,BGD,2015,80.6225509643555
Barbados,BRB,1970,99.7203903198242
Belarus,BLR,1989,99.7319793701172
Belarus,BLR,1999,99.7568664550781
Belarus,BLR,2009,99.8003311157227
Belarus,BLR,2015,99.8202896118164
Belize,BLZ,1991,78.8059463500977
Belize,BLZ,2015,87.2817687988281
Benin,BEN,1979,45.7106399536133
Benin,BEN,1992,55.1302185058594
Benin,BEN,2002,59.205078125
Benin,BEN,2006,54.8669395446777
Benin,BEN,2015,62.584659576416
Bhutan,BTN,2005,80.0419235229492
Bhutan,BTN,2012,90.3958129882813
Bhutan,BTN,2015,93.5698394775391
Bolivia,BOL,1976,91.4681396484375
Bolivia,BOL,1992,96.3184127807617
Bolivia,BOL,2001,98.5492935180664
Bolivia,BOL,2007,99.7536087036133
Bolivia,BOL,2008,99.3902282714844
Bolivia,BOL,2009,99.6936416625977
Bolivia,BOL,2011,99.2466278076172
Bolivia,BOL,2012,99.1624526977539
Bolivia,BOL,2015,99.1852035522461
Bosnia and Herzegovina,BIH,2000,99.7481994628906
Bosnia and Herzegovina,BIH,2014,99.6656875610352
Bosnia and Herzegovina,BIH,2015,99.6584167480469
Botswana,BWA,1991,85.9000701904297
Botswana,BWA,2003,92.0833129882813
Botswana,BWA,2014,95.9369964599609
Botswana,BWA,2015,96.1399765014648
Brazil,BRA,1980,82.5567626953125
Brazil,BRA,2000,92.6540069580078
Brazil,BRA,2004,95.7838897705078
Brazil,BRA,2006,96.7969970703125
Brazil,BRA,2007,97.0568771362305
Brazil,BRA,2008,97.1804580688477
Brazil,BRA,2009,97.4457168579102
Brazil,BRA,2010,96.7161712646484
Brazil,BRA,2011,97.9099884033203
Brazil,BRA,2012,98.2274322509766
Brazil,BRA,2013,98.2520370483398
Brazil,BRA,2015,98.520149230957
Brunei,BRN,1981,94.0643005371094
Brunei,BRN,1991,98.1069030761719
Brunei,BRN,2001,98.8742980957031
Brunei,BRN,2011,99.1998901367188
Brunei,BRN,2015,99.5015335083008
Bulgaria,BGR,2001,98.3096694946289
Bulgaria,BGR,2011,98.0669326782227
Bulgaria,BGR,2015,98.2051391601563
Burkina Faso,BFA,1975,22.3771305084229
Burkina Faso,BFA,1991,26.7887992858887
Burkina Faso,BFA,1996,25.4782600402832
Burkina Faso,BFA,2003,38.3810882568359
Burkina Faso,BFA,2005,40.379810333252
Burkina Faso,BFA,2006,39.8218688964844
Burkina Faso,BFA,2007,46.7337417602539
Burkina Faso,BFA,2014,56.9948196411133
Burkina Faso,BFA,2015,58.1268882751465
Burundi,BDI,1979,40.9319915771484
Burundi,BDI,1990,59.4978408813477
Burundi,BDI,2000,76.7800216674805
Burundi,BDI,2008,89.5927505493164
Burundi,BDI,2015,87.3960723876953
Cambodia,KHM,1998,81.8462905883789
Cambodia,KHM,2004,87.9201126098633
Cambodia,KHM,2008,89.3836822509766
Cambodia,KHM,2009,88.3561172485352
Cambodia,KHM,2015,91.1239013671875
Cameroon,CMR,1976,79.5916519165039
Cameroon,CMR,2000,88.4224472045898
Cameroon,CMR,2007,89.4173202514648
Cameroon,CMR,2010,85.3974761962891
Cameroon,CMR,2015,87.1193237304688
Cape Verde,CPV,1990,89.9489669799805
Cape Verde,CPV,2004,96.2262268066406
Cape Verde,CPV,2012,97.8718872070313
Cape Verde,CPV,2015,98.1236801147461
Cayman Islands,CYM,2007,99.1423110961914
Central African Republic,CAF,1988,62.561450958252
Central African Republic,CAF,2000,72.5947494506836
Central African Republic,CAF,2010,48.8571014404297
Central African Republic,CAF,2015,48.8571014404297
Chad,TCD,1993,26.2462291717529
Chad,TCD,2000,55.6861991882324
Chad,TCD,2004,53.7082290649414
Chad,TCD,2014,55.138111114502
Chad,TCD,2015,55.300910949707
Chile,CHL,1982,96.1822204589844
Chile,CHL,1992,98.1564483642578
Chile,CHL,2002,98.8036422729492
Chile,CHL,2008,99.1145172119141
Chile,CHL,2009,98.8593826293945
Chile,CHL,2011,99.2143936157227
Chile,CHL,2013,98.9776077270508
Chile,CHL,2015,99.1302490234375
China,CHN,1982,95.2085418701172
China,CHN,1990,96.9769287109375
China,CHN,2000,99.1984634399414
China,CHN,2010,99.6896209716797
China,CHN,2015,99.7437973022461
Colombia,COL,1993,94.6445693969727
Colombia,COL,1996,96.3851165771484
Colombia,COL,2004,97.5525207519531
Colombia,COL,2005,97.5170288085938
Colombia,COL,2006,97.5336608886719
Colombia,COL,2007,97.4828796386719
Colombia,COL,2008,97.5466613769531
Colombia,COL,2009,97.4411315917969
Colombia,COL,2010,97.6827163696289
Colombia,COL,2011,97.7604522705078
Colombia,COL,2014,98.1067123413086
Colombia,COL,2015,98.2256088256836
Comoros,COM,1980,69.3577270507813
Comoros,COM,2000,83.9513320922852
Comoros,COM,2014,86.6554107666016
Comoros,COM,2015,86.8340835571289
Congo,COG,2011,85.6836090087891
Congo,COG,2015,85.6836090087891
Costa Rica,CRI,1984,96.7545166015625
Costa Rica,CRI,2000,97.1974868774414
Costa Rica,CRI,2011,99.007682800293
Costa Rica,CRI,2015,99.2201614379883
Cote d'Ivoire,CIV,1988,59.9322509765625
Cote d'Ivoire,CIV,1998,54.4031295776367
Cote d'Ivoire,CIV,2000,70.8407211303711
Cote d'Ivoire,CIV,2012,58.3326301574707
Cote d'Ivoire,CIV,2015,59.6178016662598
Croatia,HRV,1991,99.6661834716797
Croatia,HRV,2001,99.6442565917969
Croatia,HRV,2011,99.712043762207
Croatia,HRV,2015,99.7309036254883
Cuba,CUB,2002,99.9574127197266
Cuba,CUB,2012,99.8552703857422
Cuba,CUB,2015,99.8733520507813
Cyprus,CYP,1992,99.5799102783203
Cyprus,CYP,2001,99.7363128662109
Cyprus,CYP,2011,99.8045425415039
Cyprus,CYP,2015,99.839958190918
Democratic Republic of Congo,COD,2001,77.9811096191406
Democratic Republic of Congo,COD,2007,78.9364166259766
Democratic Republic of Congo,COD,2012,91.0475616455078
Democratic Republic of Congo,COD,2015,91.6118774414063
Dominican Republic,DOM,1981,81.2573089599609
Dominican Republic,DOM,2002,92.9986419677734
Dominican Republic,DOM,2007,94.6272125244141
Dominican Republic,DOM,2010,95.7752990722656
Dominican Republic,DOM,2011,96.0916900634766
Dominican Republic,DOM,2012,96.3218688964844
Dominican Republic,DOM,2013,96.7627029418945
Dominican Republic,DOM,2014,97.3535614013672
Dominican Republic,DOM,2015,97.5877990722656
East Asia & Pacific,,1985,96.0098037719727
East Asia & Pacific,,1986,96.0098037719727
East Asia & Pacific,,1987,96.0098037719727
East Asia & Pacific,,1988,96.0098037719727
East Asia & Pacific,,1989,96.0098037719727
East Asia & Pacific,,1990,96.0098037719727
East Asia & Pacific,,1991,96.0098037719727
East Asia & Pacific,,1992,96.0098037719727
East Asia & Pacific,,1993,96.0098037719727
East Asia & Pacific,,1994,96.0098037719727
East Asia & Pacific,,1995,98.2124710083008
East Asia & Pacific,,1996,98.2124710083008
East Asia & Pacific,,1997,98.2124710083008
East Asia & Pacific,,1998,98.2124710083008
East Asia & Pacific,,1999,98.2124710083008
East Asia & Pacific,,2000,98.2124710083008
East Asia & Pacific,,2001,98.2124710083008
East Asia & Pacific,,2002,98.2124710083008
East Asia & Pacific,,2003,98.2124710083008
East Asia & Pacific,,2004,98.2124710083008
East Asia & Pacific,,2005,99.02587890625
East Asia & Pacific,,2006,99.02587890625
East Asia & Pacific,,2007,99.02587890625
East Asia & Pacific,,2008,99.02587890625
East Asia & Pacific,,2009,99.02587890625
East Asia & Pacific,,2010,99.02587890625
East Asia & Pacific,,2011,99.02587890625
East Asia & Pacific,,2012,99.02587890625
East Asia & Pacific,,2013,99.02587890625
East Asia & Pacific,,2014,99.02587890625
East Asia & Pacific (all income levels),,1985,96.3019790649414
East Asia & Pacific (all income levels),,1986,96.3019790649414
East Asia & Pacific (all income levels),,1987,96.3019790649414
East Asia & Pacific (all income levels),,1988,96.3019790649414
East Asia & Pacific (all income levels),,1989,96.3019790649414
East Asia & Pacific (all income levels),,1990,96.3019790649414
East Asia & Pacific (all income levels),,1991,96.3019790649414
East Asia & Pacific (all income levels),,1992,96.3019790649414
East Asia & Pacific (all income levels),,1993,96.3019790649414
East Asia & Pacific (all income levels),,1994,96.3019790649414
East Asia & Pacific (all income levels),,1995,98.3163986206055
East Asia & Pacific (all income levels),,1996,98.3163986206055
East Asia & Pacific (all income levels),,1997,98.3163986206055
East Asia & Pacific (all income levels),,1998,98.3163986206055
East Asia & Pacific (all income levels),,1999,98.3163986206055
East Asia & Pacific (all income levels),,2000,98.3163986206055
East Asia & Pacific (all income levels),,2001,98.3163986206055
East Asia & Pacific (all income levels),,2002,98.3163986206055
East Asia & Pacific (all income levels),,2003,98.3163986206055
East Asia & Pacific (all income levels),,2004,98.3163986206055
East Asia & Pacific (all income levels),,2005,99.0608673095703
East Asia & Pacific (all income levels),,2006,99.0608673095703
East Asia & Pacific (all income levels),,2007,99.0608673095703
East Asia & Pacific (all income levels),,2008,99.0608673095703
East Asia & Pacific (all income levels),,2009,99.0608673095703
East Asia & Pacific (all income levels),,2010,99.0608673095703
East Asia & Pacific (all income levels),,2011,99.0608673095703
East Asia & Pacific (all income levels),,2012,99.0608673095703
East Asia & Pacific (all income levels),,2013,99.0608673095703
East Asia & Pacific (all income levels),,2014,99.0608673095703
Ecuador,ECU,1982,94.5548095703125
Ecuador,ECU,1990,96.5757675170898
Ecuador,ECU,2001,96.3794021606445
Ecuador,ECU,2007,95.2183074951172
Ecuador,ECU,2009,96.8189468383789
Ecuador,ECU,2010,98.4688720703125
Ecuador,ECU,2011,98.5865020751953
Ecuador,ECU,2012,98.7731628417969
Ecuador,ECU,2013,98.5794067382813
Ecuador,ECU,2015,98.8307266235352
Egypt,EGY,1976,63.0406799316406
Egypt,EGY,1986,71.3806762695313
Egypt,EGY,1996,78.9908676147461
Egypt,EGY,2005,90.0791168212891
Egypt,EGY,2006,87.8567962646484
Egypt,EGY,2010,90.5576324462891
Egypt,EGY,2012,92.3557586669922
Egypt,EGY,2013,93.6492767333984
Egypt,EGY,2015,94.4535369873047
El Salvador,SLV,1992,84.9452590942383
El Salvador,SLV,2004,92.0926895141602
El Salvador,SLV,2006,94.3968734741211
El Salvador,SLV,2007,93.2192230224609
El Salvador,SLV,2008,95.4050064086914
El Salvador,SLV,2009,94.7080535888672
El Salvador,SLV,2010,95.6690368652344
El Salvador,SLV,2011,96.1505584716797
El Salvador,SLV,2013,96.9469909667969
El Salvador,SLV,2015,97.4963607788086
Equatorial Guinea,GNQ,2000,97.6079025268555
Equatorial Guinea,GNQ,2014,97.7247009277344
Equatorial Guinea,GNQ,2015,97.7283782958984
Eritrea,ERI,2002,86.2532196044922
Eritrea,ERI,2014,94.126953125
Eritrea,ERI,2015,94.5662307739258
Estonia,EST,1989,99.8340225219727
Estonia,EST,2000,99.7291030883789
Estonia,EST,2011,99.9392395019531
Estonia,EST,2015,99.9612884521484
Ethiopia,ETH,1994,39.2886695861816
Ethiopia,ETH,2004,62.2000007629395
Ethiopia,ETH,2005,55.8847389221191
Ethiopia,ETH,2007,62.9709281921387
Ethiopia,ETH,2015,71.131103515625
Europe & Central Asia,,1985,99.1286697387695
Europe & Central Asia,,1986,99.1286697387695
