Entity,Code,Year,Researchers in R&D (per million people) (per million people)
Albania,ALB,2008,157.34364
Algeria,DZA,2005,168.12009
American Samoa,ASM,2002,85.13681
American Samoa,ASM,2003,405.97459
American Samoa,ASM,2004,151.86798
American Samoa,ASM,2005,101.49365
Angola,AGO,2011,52.41019
Argentina,ARG,1997,692.19245
Argentina,ARG,1998,701.37674
Argentina,ARG,1999,709.56019
Argentina,ARG,2000,712.947
Argentina,ARG,2001,684.67972
Argentina,ARG,2002,688.39756
Argentina,ARG,2003,714.36635
Argentina,ARG,2004,760.95869
Argentina,ARG,2005,814.09121
Argentina,ARG,2006,885.77116
Argentina,ARG,2007,967.75316
Argentina,ARG,2008,1028.25873
Argentina,ARG,2009,1032.76969
Argentina,ARG,2010,1120.70749
Argentina,ARG,2011,1177.00408
Argentina,ARG,2012,1199.40405
Argentina,ARG,2013,1193.85376
Argentina,ARG,2014,1202.07
Australia,AUS,1996,3332.22115
Australia,AUS,1998,3360.08937
Australia,AUS,2000,3454.25933
Australia,AUS,2002,3749.69542
Australia,AUS,2004,4062.52541
Australia,AUS,2006,4231.77886
Australia,AUS,2008,4335.39033
Australia,AUS,2010,4530.72782
Austria,AUT,1998,2332.59539
Austria,AUT,2002,2972.88944
Austria,AUT,2004,3166.57199
Austria,AUT,2005,3457.20594
Austria,AUT,2006,3530.94528
Austria,AUT,2007,3815.7443
Austria,AUT,2008,4141.92462
Austria,AUT,2009,4145.70019
Austria,AUT,2010,4359.02777
Austria,AUT,2011,4405.9524
Austria,AUT,2012,4695.26438
Austria,AUT,2013,4763.25922
Austria,AUT,2014,4883.85702
Austria,AUT,2015,4955.03234
Bahrain,BHR,2014,361.9863
Belgium,BEL,1996,2467.31046
Belgium,BEL,1997,2574.3516
Belgium,BEL,1998,2700.63279
Belgium,BEL,1999,2904.20978
Belgium,BEL,2000,2974.14344
Belgium,BEL,2001,3126.31842
Belgium,BEL,2002,2958.92254
Belgium,BEL,2003,2965.33875
Belgium,BEL,2004,3087.91446
Belgium,BEL,2005,3138.40031
Belgium,BEL,2006,3280.55164
Belgium,BEL,2007,3392.71562
Belgium,BEL,2008,3411.62698
Belgium,BEL,2009,3521.65539
Belgium,BEL,2010,3735.82335
Belgium,BEL,2011,3878.70007
Belgium,BEL,2012,4115.45454
Belgium,BEL,2013,4156.24432
Belgium,BEL,2014,4175.88236
Belgium,BEL,2015,4875.33622
Bolivia,BOL,1998,73.50874
Bolivia,BOL,1999,73.32534
Bolivia,BOL,2000,71.94666
Bolivia,BOL,2001,123.58207
Bolivia,BOL,2002,120.18477
Bolivia,BOL,2009,145.71465
Bolivia,BOL,2010,165.95426
Bosnia and Herzegovina,BIH,2003,60.70448
Bosnia and Herzegovina,BIH,2004,62.40512
Bosnia and Herzegovina,BIH,2005,65.95047
Bosnia and Herzegovina,BIH,2006,174.83973
Bosnia and Herzegovina,BIH,2007,194.03357
Bosnia and Herzegovina,BIH,2012,150.79332
Bosnia and Herzegovina,BIH,2013,216.68441
Bosnia and Herzegovina,BIH,2014,266.68909
Bosnia and Herzegovina,BIH,2015,328.70427
Botswana,BWA,2012,164.8989
Botswana,BWA,2013,175.51034
Brazil,BRA,2000,420.25426
Brazil,BRA,2001,436.76305
Brazil,BRA,2002,454.21156
Brazil,BRA,2003,490.22112
Brazil,BRA,2004,538.57704
Brazil,BRA,2005,580.48833
Brazil,BRA,2006,588.98288
Brazil,BRA,2007,603.10859
Brazil,BRA,2008,618.8283
Brazil,BRA,2009,656.33527
Brazil,BRA,2010,698.10212
Brunei,BRN,2002,288.30781
Brunei,BRN,2003,280.35485
Brunei,BRN,2004,286.47737
Bulgaria,BGR,1996,1782.671
Bulgaria,BGR,1997,1460.98933
Bulgaria,BGR,1998,1472.25509
Bulgaria,BGR,1999,1311.64304
Bulgaria,BGR,2000,1184.79947
Bulgaria,BGR,2001,1161.65214
Bulgaria,BGR,2002,1172.04914
Bulgaria,BGR,2003,1228.56497
Bulgaria,BGR,2004,1269.18894
Bulgaria,BGR,2005,1308.53899
Bulgaria,BGR,2006,1355.61014
Bulgaria,BGR,2007,1480.23791
Bulgaria,BGR,2008,1515.10997
Bulgaria,BGR,2009,1604.27729
Bulgaria,BGR,2010,1482.18709
Bulgaria,BGR,2011,1618.16808
Bulgaria,BGR,2012,1547.15234
Bulgaria,BGR,2013,1692.51072
Bulgaria,BGR,2014,1833.1392
Bulgaria,BGR,2015,1989.42989
Burkina Faso,BFA,2010,47.495
Cambodia,KHM,2002,17.58006
Cambodia,KHM,2015,30.25697
Canada,CAN,1996,3058.02936
Canada,CAN,1997,3119.40387
Canada,CAN,1998,3158.51825
Canada,CAN,1999,3242.84351
Canada,CAN,2000,3514.44013
Canada,CAN,2001,3694.90268
Canada,CAN,2002,3706.14549
Canada,CAN,2003,3900.10404
Canada,CAN,2004,4084.76793
Canada,CAN,2005,4237.92748
Canada,CAN,2006,4313.21086
Canada,CAN,2007,4588.22201
Canada,CAN,2008,4711.77034
Canada,CAN,2009,4451.41681
Canada,CAN,2010,4649.21748
Canada,CAN,2011,4785.52042
Canada,CAN,2012,4634.31514
Canada,CAN,2013,4518.51362
Cape Verde,CPV,2001,100.5908
