Entity,Code,Year,"Percentage of teachers in upper secondary education who are qualified, both sexes (%) (%)"
Albania,ALB,2013,97.66551
Albania,ALB,2014,98.33837
Bahrain,BHR,2013,97.3635
Bahrain,BHR,2014,97.67394
Bangladesh,BGD,2013,98.16114
Belarus,BLR,2014,98.48049
Belize,BLZ,2013,36.25632
Belize,BLZ,2014,60.89194
Benin,BEN,2013,20.86415
Benin,BEN,2014,32.92719
Bermuda,BMU,2014,100
Brunei,BRN,2014,87.6436
Burundi,BDI,2014,75.02949
Cameroon,CMR,2013,70.65109
Cape Verde,CPV,2014,67.32109
Colombia,COL,2013,96.86557
Colombia,COL,2014,98.14061
Cuba,CUB,2013,75.51619
Cuba,CUB,2014,75.42877
Djibouti,DJI,2014,100
Djibouti,DJI,2015,100
Dominica,DMA,2014,46.48438
Dominican Republic,DOM,2013,73.18539
Dominican Republic,DOM,2014,72.03256
Egypt,EGY,2014,86.35352
Eritrea,ERI,2013,80.0065
Gambia,GMB,2014,93.55657
Ghana,GHA,2014,79.52425
Ghana,GHA,2015,81.44358
Grenada,GRD,2014,20.65574
Iran,IRN,2013,92.21588
Iran,IRN,2014,92.33709
Laos,LAO,2013,55.10854
Laos,LAO,2014,60.69346
Macao,MAC,2013,100
Macao,MAC,2014,100
Madagascar,MDG,2014,82.78541
Montenegro,MNE,2015,99.1206
Mozambique,MOZ,2013,87.16033
Nepal,NPL,2014,77.54255
Niger,NER,2013,100
Niger,NER,2014,100
Palestine,PSE,2013,17.62696
Palestine,PSE,2014,20.29036
Panama,PAN,2013,100
Puerto Rico,PRI,2013,100
Qatar,QAT,2013,100
Qatar,QAT,2014,100
Samoa,WSM,2014,56.50407
Saudi Arabia,SAU,2013,100
Saudi Arabia,SAU,2014,100
Serbia,SRB,2013,100
Serbia,SRB,2014,100
Sierra Leone,SLE,2013,57.93943
Yemen,YEM,2013,97.8969
