Entity,Code,Year,Urban population living in slum households (urban population living in slums),Urban population not living in slum households (urban population not living in slums)
Afghanistan,AFG,2014,5398133,3211330
Algeria,DZA,1990,1592582,11903874
Angola,AGO,2000,4610435,719548
Angola,AGO,2005,6117245,954714
Angola,AGO,2007,6035609,1885138
Angola,AGO,2009,5831029,3030717
Angola,AGO,2014,6465507,5184055
Antigua and Barbuda,ATG,1990,1630,21998
Antigua and Barbuda,ATG,2005,1252,24827
Arab World,,2005,46999121,125054232
Arab World,,2014,72698901,151609927
Argentina,ARG,1990,8683239,19786397
Argentina,ARG,1995,9780346,21072482
Argentina,ARG,2000,10868105,22165649
Argentina,ARG,2005,9239121,26024700
Argentina,ARG,2007,8495501,27655568
Argentina,ARG,2009,7705115,29338707
Argentina,ARG,2014,6575255,32797532
Armenia,ARM,2014,262866,1562589
Bangladesh,BGD,1990,18365329,2671703
Bangladesh,BGD,1995,21811166,3939916
Bangladesh,BGD,2000,24149132,6890883
Bangladesh,BGD,2005,27224330,11228114
Bangladesh,BGD,2007,27504573,14043120
Bangladesh,BGD,2009,27534331,17164258
Bangladesh,BGD,2014,29437876,23988397
Belize,BLZ,2007,25541,111043
Belize,BLZ,2014,16760,138421
Benin,BEN,1990,1361449,355385
Benin,BEN,1995,1667148,503617
Benin,BEN,2000,1955520,676405
Benin,BEN,2005,2291463,899990
Benin,BEN,2007,2436479,1004875
Benin,BEN,2009,2588578,1119987
Benin,BEN,2014,2752838,1723322
Bhutan,BTN,1990,61634,26415
Bolivia,BOL,1990,2370128,1440367
Bolivia,BOL,1995,2615873,1878755
Bolivia,BOL,2000,2800063,2356591
Bolivia,BOL,2005,2952414,2905551
Bolivia,BOL,2007,2999618,3147140
Bolivia,BOL,2009,3046070,3393825
Bolivia,BOL,2014,3129203,4064367
Botswana,BWA,1990,342058,235742
Brazil,BRA,1990,40518302,69885791
Brazil,BRA,1995,42951815,83006586
Brazil,BRA,2000,44830642,97488856
Brazil,BRA,2005,44901027,109930100
Brazil,BRA,2007,44634214,114773694
Brazil,BRA,2009,44061767,119736624
Brazil,BRA,2014,38905786,135559620
Burkina Faso,BFA,1990,959188,258056
Burkina Faso,BFA,1995,1105330,421369
Burkina Faso,BFA,2000,1365001,706320
Burkina Faso,BFA,2005,1719955,1170726
Burkina Faso,BFA,2007,1964212,1336984
Burkina Faso,BFA,2014,3358533,1745621
Burundi,BDI,2005,447485,248448
Burundi,BDI,2007,503571,279588
Burundi,BDI,2014,673593,489780
Cambodia,KHM,2005,2007554,536874
Cambodia,KHM,2014,1726090,1406560
Cameroon,CMR,1990,2360119,2285785
Cameroon,CMR,1995,2842452,2888297
Cameroon,CMR,2000,3366797,3589395
Cameroon,CMR,2005,4008252,4447976
Cameroon,CMR,2007,4263923,4886127
Cameroon,CMR,2009,4562334,5334270
Cameroon,CMR,2014,4524393,7444901
Cape Verde,CPV,1990,106040,44799
Caribbean small states,,2005,1274073,1555986
Central African Republic,CAF,1990,947252,135322
Central African Republic,CAF,1995,1119697,128572
Central African Republic,CAF,2000,1298859,114480
Central African Republic,CAF,2005,1478622,92708
Central African Republic,CAF,2007,1556481,81920
Central African Republic,CAF,2009,1632020,69774
Central African Republic,CAF,2014,1674992,120283
Chad,TCD,1990,1226045,13637
Chad,TCD,1995,1449147,54118
Chad,TCD,2000,1694969,110110
Chad,TCD,2005,2003769,190940
Chad,TCD,2007,2127858,228574
Chad,TCD,2009,2253058,269963
Chad,TCD,2014,2673825,357723
Chile,CHL,2005,1270753,12848724
China,CHN,1990,130872209,169293409
China,CHN,1995,151079239,221955918
China,CHN,2000,168968682,284030465
China,CHN,2005,182387012,371980806
China,CHN,2007,184657961,411012880
China,CHN,2009,185485521,451921767
China,CHN,2014,187059425,555239882
Colombia,COL,1990,7300567,16098687
Colombia,COL,1995,7075893,19326692
Colombia,COL,2000,6494017,22627136
Colombia,COL,2005,5701150,26148852
Colombia,COL,2007,5298860,27613316
Colombia,COL,2009,4854584,29093557
Colombia,COL,2014,4768242,31630555
Comoros,COM,1990,75018,39689
Comoros,COM,1995,87990,46551
Comoros,COM,2000,99600,52694
Comoros,COM,2005,117460,53019
Comoros,COM,2007,123123,55575
Comoros,COM,2014,149009,65084
Congo,COG,2005,1210942,1056740
Congo,COG,2007,1272346,1188672
Congo,COG,2009,1332697,1338039
Congo,COG,2014,1483973,1680148
Costa Rica,CRI,2005,304057,2485458
Costa Rica,CRI,2014,198644,3413069
Cote d'Ivoire,CIV,1990,2577483,2249265
Cote d'Ivoire,CIV,1995,3253804,2738468
Cote d'Ivoire,CIV,2000,4017819,3247677
Cote d'Ivoire,CIV,2005,4826451,3761540
Cote d'Ivoire,CIV,2007,5214003,3998017
