Entity,Code,Year,Urban population living in slums (urban population living in slums)
Afghanistan,AFG,2014,5398133
Algeria,DZA,1990,1592582
Angola,AGO,2000,4610435
Angola,AGO,2005,6117245
Angola,AGO,2007,6035609
Angola,AGO,2009,5831029
Angola,AGO,2014,6465507
Antigua and Barbuda,ATG,1990,1630
Antigua and Barbuda,ATG,2005,1252
Arab World,,2005,46999121
Arab World,,2014,72698901
Argentina,ARG,1990,8683239
Argentina,ARG,1995,9780346
Argentina,ARG,2000,10868105
Argentina,ARG,2005,9239121
Argentina,ARG,2007,8495501
Argentina,ARG,2009,7705115
Argentina,ARG,2014,6575255
Armenia,ARM,2014,262866
Bangladesh,BGD,1990,18365329
Bangladesh,BGD,1995,21811166
Bangladesh,BGD,2000,24149132
Bangladesh,BGD,2005,27224330
Bangladesh,BGD,2007,27504573
Bangladesh,BGD,2009,27534331
Bangladesh,BGD,2014,29437876
Belize,BLZ,2007,25541
Belize,BLZ,2014,16760
Benin,BEN,1990,1361449
Benin,BEN,1995,1667148
Benin,BEN,2000,1955520
Benin,BEN,2005,2291463
Benin,BEN,2007,2436479
Benin,BEN,2009,2588578
Benin,BEN,2014,2752838
Bhutan,BTN,1990,61634
Bolivia,BOL,1990,2370128
Bolivia,BOL,1995,2615873
Bolivia,BOL,2000,2800063
Bolivia,BOL,2005,2952414
Bolivia,BOL,2007,2999618
Bolivia,BOL,2009,3046070
Bolivia,BOL,2014,3129203
Botswana,BWA,1990,342058
Brazil,BRA,1990,40518302
Brazil,BRA,1995,42951815
Brazil,BRA,2000,44830642
Brazil,BRA,2005,44901027
Brazil,BRA,2007,44634214
Brazil,BRA,2009,44061767
Brazil,BRA,2014,38905786
Burkina Faso,BFA,1990,959188
Burkina Faso,BFA,1995,1105330
Burkina Faso,BFA,2000,1365001
Burkina Faso,BFA,2005,1719955
Burkina Faso,BFA,2007,1964212
Burkina Faso,BFA,2014,3358533
Burundi,BDI,2005,447485
Burundi,BDI,2007,503571
Burundi,BDI,2014,673593
Cambodia,KHM,2005,2007554
Cambodia,KHM,2014,1726090
Cameroon,CMR,1990,2360119
Cameroon,CMR,1995,2842452
Cameroon,CMR,2000,3366797
Cameroon,CMR,2005,4008252
Cameroon,CMR,2007,4263923
Cameroon,CMR,2009,4562334
Cameroon,CMR,2014,4524393
Cape Verde,CPV,1990,106040
Caribbean small states,,2005,1274073
Central African Republic,CAF,1990,947252
Central African Republic,CAF,1995,1119697
Central African Republic,CAF,2000,1298859
Central African Republic,CAF,2005,1478622
Central African Republic,CAF,2007,1556481
Central African Republic,CAF,2009,1632020
Central African Republic,CAF,2014,1674992
Chad,TCD,1990,1226045
Chad,TCD,1995,1449147
Chad,TCD,2000,1694969
Chad,TCD,2005,2003769
Chad,TCD,2007,2127858
Chad,TCD,2009,2253058
Chad,TCD,2014,2673825
Chile,CHL,2005,1270753
China,CHN,1990,130872209
China,CHN,1995,151079239
China,CHN,2000,168968682
China,CHN,2005,182387012
China,CHN,2007,184657961
China,CHN,2009,185485521
China,CHN,2014,187059425
Colombia,COL,1990,7300567
Colombia,COL,1995,7075893
Colombia,COL,2000,6494017
Colombia,COL,2005,5701150
Colombia,COL,2007,5298860
Colombia,COL,2009,4854584
Colombia,COL,2014,4768242
Comoros,COM,1990,75018
Comoros,COM,1995,87990
Comoros,COM,2000,99600
Comoros,COM,2005,117460
Comoros,COM,2007,123123
Comoros,COM,2014,149009
Congo,COG,2005,1210942
Congo,COG,2007,1272346
Congo,COG,2009,1332697
Congo,COG,2014,1483973
Costa Rica,CRI,2005,304057
Costa Rica,CRI,2014,198644
Cote d'Ivoire,CIV,1990,2577483
Cote d'Ivoire,CIV,1995,3253804
Cote d'Ivoire,CIV,2000,4017819
Cote d'Ivoire,CIV,2005,4826451
Cote d'Ivoire,CIV,2007,5214003
Cote d'Ivoire,CIV,2009,5659137
Cote d'Ivoire,CIV,2014,6747743
Democratic Republic of Congo,COD,2005,15677095
Democratic Republic of Congo,COD,2007,15520125
Democratic Republic of Congo,COD,2009,15185856
Democratic Republic of Congo,COD,2014,23147539
Djibouti,DJI,2014,462320
Dominica,DMA,1990,7427
Dominican Republic,DOM,1990,1106860
Dominican Republic,DOM,1995,1109156
Dominican Republic,DOM,2000,1110286
Dominican Republic,DOM,2005,1095212
Dominican Republic,DOM,2007,1078040
Dominican Republic,DOM,2009,1048673
Dominican Republic,DOM,2014,982872
Early-demographic dividend,,1990,345729329
Early-demographic dividend,,1995,368017911
Early-demographic dividend,,2000,373301333
Early-demographic dividend,,2005,357746783
Early-demographic dividend,,2007,358093896
Early-demographic dividend,,2009,372474581
Early-demographic dividend,,2014,365633057
