Entity,Code,Year,Percentage of graduates from Science and Technology programmes in tertiary education who are female (%) (%)
Afghanistan,AFG,2014,10.6327695846558
Albania,ALB,2000,29.9684505462646
Albania,ALB,2003,44.2006301879883
Albania,ALB,2011,48.064208984375
Albania,ALB,2013,52.1985511779785
Albania,ALB,2014,52.4479789733887
Algeria,DZA,2007,46.5290184020996
Algeria,DZA,2009,47.8508110046387
Algeria,DZA,2010,48.8011817932129
Algeria,DZA,2011,48.776741027832
Algeria,DZA,2013,46.8601303100586
Algeria,DZA,2014,54.3679008483887
Andorra,AND,2002,30
Andorra,AND,2003,23.5294094085693
Andorra,AND,2004,11.7647104263306
Andorra,AND,2005,13.636360168457
Andorra,AND,2008,10
Andorra,AND,2012,33.3333282470703
Andorra,AND,2013,33.3333282470703
Andorra,AND,2014,25
Angola,AGO,1999,37.5
Angola,AGO,2002,40.625
Angola,AGO,2013,30.4974803924561
Antigua and Barbuda,ATG,2009,34.2105293273926
Antigua and Barbuda,ATG,2010,70.5882415771484
Antigua and Barbuda,ATG,2011,75
Antigua and Barbuda,ATG,2012,33.3333282470703
Argentina,ARG,2006,44.8258895874023
Argentina,ARG,2007,47.2813987731934
Argentina,ARG,2008,43.2719917297363
Argentina,ARG,2009,44.1858901977539
Argentina,ARG,2010,43.4807281494141
Argentina,ARG,2011,75.4494400024414
Argentina,ARG,2012,41.9838981628418
Argentina,ARG,2013,43.4781188964844
Armenia,ARM,2010,38.3234596252441
Armenia,ARM,2014,41.7753601074219
Aruba,ABW,1999,16.4179096221924
Aruba,ABW,2000,14.7540998458862
Aruba,ABW,2001,10.8108100891113
Aruba,ABW,2002,22.5806503295898
Aruba,ABW,2003,12.2448997497559
Aruba,ABW,2004,18.1818199157715
Aruba,ABW,2005,11.2903203964233
Aruba,ABW,2007,13.2352895736694
Aruba,ABW,2008,13.2352895736694
Aruba,ABW,2009,17.8571395874023
Aruba,ABW,2010,7.54717016220093
Aruba,ABW,2011,14.8936195373535
Aruba,ABW,2012,19.6969699859619
Australia,AUS,1999,32.8813896179199
Australia,AUS,2000,32.908519744873
Australia,AUS,2001,30.5860805511475
Australia,AUS,2002,30.8087596893311
Australia,AUS,2003,30.4523906707764
Australia,AUS,2005,31.3373107910156
Australia,AUS,2006,30.0981006622314
Australia,AUS,2007,30.9576797485352
Australia,AUS,2008,30.3208599090576
Australia,AUS,2009,29.9789009094238
Australia,AUS,2010,29.3224201202393
Australia,AUS,2011,29.1041698455811
Australia,AUS,2014,29.76535987854
Austria,AUT,2000,19.9307193756104
Austria,AUT,2001,21.002290725708
Austria,AUT,2003,21.0780792236328
Austria,AUT,2004,22.5580902099609
Austria,AUT,2005,23.3310203552246
Austria,AUT,2007,23.8341503143311
Austria,AUT,2008,24.2273807525635
Austria,AUT,2009,24.1056003570557
Austria,AUT,2010,23.4890098571777
Austria,AUT,2011,25.1453609466553
Austria,AUT,2012,25.5401992797852
Austria,AUT,2013,25.1464900970459
Austria,AUT,2014,25.4824104309082
Azerbaijan,AZE,2008,40.6077995300293
Azerbaijan,AZE,2009,40.0952301025391
Azerbaijan,AZE,2010,42.7307090759277
Azerbaijan,AZE,2011,43.4782600402832
Azerbaijan,AZE,2012,42.0569305419922
Azerbaijan,AZE,2013,35.7572288513184
Azerbaijan,AZE,2014,30.6994094848633
Bahrain,BHR,2003,50
Bahrain,BHR,2005,53.7854881286621
Bahrain,BHR,2006,45.9302291870117
Bahrain,BHR,2014,42.565601348877
Bangladesh,BGD,2002,28.5592098236084
Bangladesh,BGD,2003,23.7457103729248
Bangladesh,BGD,2012,36.4034194946289
Bangladesh,BGD,2014,36.4973411560059
Barbados,BRB,2007,53.554500579834
Barbados,BRB,2010,53.0303001403809
Barbados,BRB,2011,40.5027885437012
Belarus,BLR,2010,18.6202793121338
Belarus,BLR,2011,33.3725318908691
Belarus,BLR,2012,32.5225601196289
Belarus,BLR,2013,31.7692699432373
Belarus,BLR,2014,30.7782001495361
Belgium,BEL,2000,24.9709701538086
Belgium,BEL,2001,23.8990898132324
Belgium,BEL,2002,24.6234397888184
Belgium,BEL,2006,26.4903507232666
Belgium,BEL,2008,25.871940612793
