Entity,Code,Year,Primary energy consumption per unit GDP (kilowatt-hours per $)
Albania,ALB,1971,2.970787413282155
Albania,ALB,1972,3.1546665482314595
Albania,ALB,1973,2.689954867403919
Albania,ALB,1974,2.7123041684130587
Albania,ALB,1975,2.8728855927495514
Albania,ALB,1976,3.1103121784239187
Albania,ALB,1977,3.1910605490039012
Albania,ALB,1978,3.477223185004812
Albania,ALB,1979,3.000009139870121
Albania,ALB,1980,3.8358092149932435
Albania,ALB,1981,3.355385078429915
Albania,ALB,1982,3.3381559704220014
Albania,ALB,1983,3.3479387150336506
Albania,ALB,1984,3.309675234028403
Albania,ALB,1985,2.9797940892188066
Albania,ALB,1986,3.1588895848576937
Albania,ALB,1987,2.9369141402748564
Albania,ALB,1988,2.9644038327952855
Albania,ALB,1989,2.8825112858970825
Albania,ALB,1990,2.3322736910899438
Albania,ALB,1991,1.8046435208265608
Albania,ALB,1992,1.4574408370849583
Albania,ALB,1993,1.2303878583769927
Albania,ALB,1994,1.138457567948218
Albania,ALB,1995,1.018556456237148
Albania,ALB,1996,0.9188788318554465
Albania,ALB,1997,0.9740102722692964
Albania,ALB,1998,1.1012241702976016
Albania,ALB,1999,1.3066406585360186
Albania,ALB,2000,1.2881484207053502
Albania,ALB,2001,1.2825530249592685
Albania,ALB,2002,1.4084105207100326
Albania,ALB,2003,1.3169556349612586
Albania,ALB,2004,1.3894866389826566
Albania,ALB,2005,1.3119246518675662
Albania,ALB,2006,1.176029753808142
Albania,ALB,2007,1.043191358796439
Albania,ALB,2008,0.963437907952158
Albania,ALB,2009,0.9040955395874662
Albania,ALB,2010,0.8961131128698002
Albania,ALB,2011,0.9158617226152639
Albania,ALB,2012,0.7492484730935415
Albania,ALB,2013,0.8848305843546187
Albania,ALB,2014,0.8407369098318825
Algeria,DZA,1970,0.4145151120193012
Algeria,DZA,1971,0.4618484835936387
Algeria,DZA,1972,0.45572000240512045
Algeria,DZA,1973,0.5001486085072641
Algeria,DZA,1974,0.4166914952590781
Algeria,DZA,1975,0.45623641236558443
Algeria,DZA,1976,0.5357101470586929
Algeria,DZA,1977,0.5270561614810527
Algeria,DZA,1978,0.587029869037513
Algeria,DZA,1979,0.7068919391338095
Algeria,DZA,1980,0.8084819176730595
Algeria,DZA,1981,0.9036032891466387
Algeria,DZA,1982,1.0120479910983675
Algeria,DZA,1983,1.0664888232039371
Algeria,DZA,1984,0.9925859784312977
Algeria,DZA,1985,0.9293842663184398
Algeria,DZA,1986,1.1369229461286885
Algeria,DZA,1987,1.2610872645902658
Algeria,DZA,1988,1.5192153110810946
Algeria,DZA,1989,1.4487547703341463
Algeria,DZA,1990,1.5068411436478468
Algeria,DZA,1991,1.5757562565631316
Algeria,DZA,1992,1.5392410083759616
Algeria,DZA,1993,1.5354645051726805
Algeria,DZA,1994,1.5640781757772022
Algeria,DZA,1995,1.5654101376495
Algeria,DZA,1996,1.4970087097816427
Algeria,DZA,1997,1.4817678995398011
Algeria,DZA,1998,1.4610380453274883
Algeria,DZA,1999,1.4089055041040723
Algeria,DZA,2000,1.1901907637039684
Algeria,DZA,2001,1.233300943697619
Algeria,DZA,2002,1.2102787770518797
Algeria,DZA,2003,1.1655742353076126
Algeria,DZA,2004,1.1354384224727274
Algeria,DZA,2005,1.0343016827762714
Algeria,DZA,2006,0.9823147987598447
