Entity,Code,Year,"Literacy rate, adult total (% of people ages 15 and above) (% of people ages 15 and above)"
Afghanistan,AFG,1979,18.1576805114746
Afghanistan,AFG,2011,31.7411193847656
Albania,ALB,2001,98.7129821777344
Albania,ALB,2008,95.9386367797852
Albania,ALB,2011,96.8452987670898
Albania,ALB,2012,97.2469711303711
Algeria,DZA,1987,49.6308784484863
Algeria,DZA,2002,69.8734970092773
Algeria,DZA,2006,72.648681640625
Algeria,DZA,2008,75.1360473632813
Andorra,AND,2015,100
Andorra,AND,2016,100
Angola,AGO,2001,67.4054183959961
Angola,AGO,2014,66.0301132202148
Antigua and Barbuda,ATG,2001,98.9499969482422
Arab World,,1978,45.9264
Arab World,,1979,46.39663
Arab World,,1980,46.94396
Arab World,,1981,47.52019
Arab World,,1982,48.16667
Arab World,,1983,48.36862
Arab World,,1984,49.19871
Arab World,,1985,50.04015
Arab World,,1986,51.05814
Arab World,,1987,51.56526
Arab World,,1988,52.53544
Arab World,,1989,53.41984
Arab World,,1990,54.36569
Arab World,,1991,55.44517
Arab World,,1992,56.34638
Arab World,,1993,57.06204
Arab World,,1994,57.8799
Arab World,,1995,58.8336
Arab World,,1996,60.35684
Arab World,,1997,61.03267
Arab World,,1998,62.21463
Arab World,,1999,63.24747
Arab World,,2000,64.12604
Arab World,,2001,65.35204
Arab World,,2002,66.50626
Arab World,,2003,69.14341
Arab World,,2004,70.10079
Arab World,,2005,70.69717
Arab World,,2006,68.56241
Arab World,,2007,69.06261
Arab World,,2008,70.00262
Arab World,,2009,68.66351
Arab World,,2010,69.63679
Arab World,,2011,71.37224
Arab World,,2012,72.48431
Arab World,,2013,72.74568
Arab World,,2014,73.32167
Arab World,,2015,73.74158
Arab World,,2016,74.15789
Argentina,ARG,1980,93.9128570556641
Argentina,ARG,1991,96.1281967163086
Argentina,ARG,2001,97.1933135986328
Argentina,ARG,2015,98.0899963378906
Armenia,ARM,1989,98.7519607543945
Armenia,ARM,2001,99.4001617431641
Armenia,ARM,2011,99.7444076538086
Aruba,ABW,2000,97.2912521362305
Aruba,ABW,2010,96.822639465332
Azerbaijan,AZE,1999,98.7918014526367
Azerbaijan,AZE,2007,99.6019134521484
Azerbaijan,AZE,2009,99.7598419189453
Azerbaijan,AZE,2010,99.7711410522461
Azerbaijan,AZE,2011,99.7786331176758
Azerbaijan,AZE,2012,99.7757720947266
Azerbaijan,AZE,2013,99.7893600463867
Azerbaijan,AZE,2014,99.7889862060547
Azerbaijan,AZE,2015,99.7880630493164
Azerbaijan,AZE,2016,99.7900619506836
Bahrain,BHR,1981,69.7535095214844
Bahrain,BHR,1991,84.0138320922852
Bahrain,BHR,2001,86.5487365722656
Bahrain,BHR,2010,94.5567932128906
Bangladesh,BGD,1981,29.2272300720215
Bangladesh,BGD,1991,35.3193016052246
Bangladesh,BGD,2001,47.4855003356934
Bangladesh,BGD,2007,46.6636009216309
Bangladesh,BGD,2011,47.0773086547852
Bangladesh,BGD,2016,72.7587203979492
Barbados,BRB,1970,99.2680816650391
Belarus,BLR,1989,97.8833694458008
Belarus,BLR,1999,99.5907287597656
Belarus,BLR,2009,99.617057800293
Belize,BLZ,1991,70.2984237670898
Benin,BEN,1979,16.4827899932861
Benin,BEN,1992,27.2452507019043
Benin,BEN,2002,34.6578483581543
Benin,BEN,2006,28.7021102905273
Benin,BEN,2012,32.9488182067871
Bhutan,BTN,2005,52.8146896362305
Bhutan,BTN,2012,57.0335998535156
Bolivia,BOL,1976,63.2081489562988
Bolivia,BOL,1992,79.9917678833008
Bolivia,BOL,2001,86.7236709594727
Bolivia,BOL,2007,90.7434692382813
Bolivia,BOL,2008,90.698112487793
Bolivia,BOL,2009,91.1678314208984
Bolivia,BOL,2011,92.2261505126953
Bolivia,BOL,2012,94.4605712890625
Bolivia,BOL,2015,92.455078125
Bosnia and Herzegovina,BIH,1991,89.063591003418
Bosnia and Herzegovina,BIH,2000,96.6631011962891
Bosnia and Herzegovina,BIH,2011,98.1420364379883
Bosnia and Herzegovina,BIH,2013,96.9917678833008
Botswana,BWA,1991,68.5809097290039
Botswana,BWA,2003,81.1887130737305
Brazil,BRA,1980,74.5867309570313
Brazil,BRA,2000,86.3678817749023
Brazil,BRA,2004,88.6162414550781
Brazil,BRA,2006,89.6152267456055
Brazil,BRA,2007,90.0093688964844
Brazil,BRA,2008,90.03662109375
Brazil,BRA,2009,90.298210144043
Brazil,BRA,2010,90.3791809082031
Brazil,BRA,2011,91.4112396240234
Brazil,BRA,2012,91.3378524780273
Brazil,BRA,2013,91.4842376708984
Brazil,BRA,2014,91.7294311523438
Brunei,BRN,1981,77.7354965209961
Brunei,BRN,1991,87.8041763305664
Brunei,BRN,2001,92.6711273193359
Brunei,BRN,2011,96.085563659668
Bulgaria,BGR,2001,98.2035598754883
Bulgaria,BGR,2011,98.3524475097656
Burkina Faso,BFA,1975,8.68515014648438
Burkina Faso,BFA,1991,13.5692300796509
Burkina Faso,BFA,1996,12.8481702804565
Burkina Faso,BFA,2003,21.8229198455811
Burkina Faso,BFA,2005,23.5537204742432
Burkina Faso,BFA,2006,22.4725799560547
Burkina Faso,BFA,2007,28.7292098999023
Burkina Faso,BFA,2014,34.5993995666504
Burundi,BDI,1979,22.5085506439209
Burundi,BDI,1990,37.3847198486328
Burundi,BDI,2000,59.3036193847656
Burundi,BDI,2008,48.0840606689453
Burundi,BDI,2014,61.5697288513184
Cambodia,KHM,1998,67.3350296020508
Cambodia,KHM,2004,73.6099472045898
Cambodia,KHM,2008,77.586540222168
Cambodia,KHM,2009,73.900032043457
Cameroon,CMR,1976,41.2162094116211
Cameroon,CMR,2000,68.4091567993164
Cameroon,CMR,2007,70.6799392700195
Cameroon,CMR,2010,71.2905120849609
Cape Verde,CPV,1990,62.7968597412109
Cape Verde,CPV,2012,85.3277893066406
Cape Verde,CPV,2015,86.7902908325195
Caribbean small states,,1993,86.77129
Caribbean small states,,1994,86.8153
Caribbean small states,,1995,87.08187
Caribbean small states,,1996,87.32161
Caribbean small states,,1997,87.56225
Caribbean small states,,1998,87.80577
Caribbean small states,,1999,87.50032
Caribbean small states,,2000,88.32033
Caribbean small states,,2001,88.58603
Caribbean small states,,2002,88.83248
Caribbean small states,,2003,89.07212
Caribbean small states,,2004,89.3109
Caribbean small states,,2005,89.55313
Caribbean small states,,2006,89.76627
Caribbean small states,,2007,90.29448
Caribbean small states,,2008,90.51049
Caribbean small states,,2009,90.71516
Cayman Islands,CYM,2007,98.8678207397461
Central African Republic,CAF,1975,18.2361698150635
Central African Republic,CAF,1988,33.6244201660156
Central African Republic,CAF,2000,50.6451683044434
Central African Republic,CAF,2010,36.7526092529297
Central Europe and the Baltics,,1982,98.00689
Central Europe and the Baltics,,1983,98.02631
Central Europe and the Baltics,,1984,98.05827
Central Europe and the Baltics,,1985,98.0856
Central Europe and the Baltics,,1986,98.10734
Central Europe and the Baltics,,1987,98.13963
Central Europe and the Baltics,,1988,98.2082
Central Europe and the Baltics,,1989,98.2721
Central Europe and the Baltics,,1990,98.33477
Central Europe and the Baltics,,1991,98.38094
Central Europe and the Baltics,,1992,98.43246
Central Europe and the Baltics,,1993,98.47438
Chad,TCD,1993,10.8946504592896
Chad,TCD,2000,25.6542091369629
Chad,TCD,2004,28.3814296722412
Chad,TCD,2015,26.0029907226563
Chad,TCD,2016,22.3115501403809
Chile,CHL,1982,91.1284027099609
Chile,CHL,1992,94.2911376953125
Chile,CHL,2002,95.7166213989258
Chile,CHL,2008,98.6490097045898
Chile,CHL,2009,98.5536804199219
Chile,CHL,2011,96.703010559082
Chile,CHL,2013,96.2670593261719
China,CHN,1982,65.5050888061523
China,CHN,1990,77.7850570678711
China,CHN,2000,90.9202117919922
China,CHN,2010,95.1244812011719
Colombia,COL,1993,91.0630874633789
Colombia,COL,1996,91.207160949707
Colombia,COL,2004,92.8037796020508
Colombia,COL,2005,92.8486633300781
Colombia,COL,2006,92.2996826171875
Colombia,COL,2007,92.6517868041992
Colombia,COL,2008,93.3781814575195
Colombia,COL,2009,93.2446899414063
Colombia,COL,2010,93.3723297119141
Colombia,COL,2011,93.5805282592773
Colombia,COL,2014,94.1862487792969
Colombia,COL,2015,94.2450485229492
Comoros,COM,1980,47.9192314147949
Comoros,COM,2000,68.4892272949219
Comoros,COM,2012,49.1961402893066
Congo,COG,2011,79.3111724853516
Costa Rica,CRI,1984,92.6290435791016
Costa Rica,CRI,2000,94.8681869506836
Costa Rica,CRI,2011,97.4065780639648
Cote d'Ivoire,CIV,1988,34.1392784118652
Cote d'Ivoire,CIV,1998,36.3502388000488
Cote d'Ivoire,CIV,2000,48.7407608032227
Cote d'Ivoire,CIV,2012,40.9816284179688
Cote d'Ivoire,CIV,2014,43.9084205627441
Croatia,HRV,1991,96.7015533447266
Croatia,HRV,2001,98.1466827392578
Croatia,HRV,2011,99.125358581543
Cuba,CUB,1981,97.8466491699219
Cuba,CUB,2002,99.799072265625
Cuba,CUB,2012,99.7525329589844
Cyprus,CYP,1992,94.3624725341797
Cyprus,CYP,2001,96.8036270141602
Cyprus,CYP,2011,98.6784286499023
Democratic Republic of Congo,COD,2001,67.1729888916016
Democratic Republic of Congo,COD,2007,61.2055511474609
Democratic Republic of Congo,COD,2012,75.0171890258789
Democratic Republic of Congo,COD,2016,77.0426788330078
Dominican Republic,DOM,1981,73.064567565918
Dominican Republic,DOM,2002,86.996467590332
Dominican Republic,DOM,2007,88.2444610595703
Dominican Republic,DOM,2010,89.5387268066406
Dominican Republic,DOM,2011,90.1063766479492
Dominican Republic,DOM,2012,90.1551818847656
Dominican Republic,DOM,2013,90.8581466674805
Dominican Republic,DOM,2014,91.7637634277344
Dominican Republic,DOM,2015,91.9912109375
Early-demographic dividend,,1975,48.81366
Early-demographic dividend,,1976,49.05571
Early-demographic dividend,,1977,49.69234
Early-demographic dividend,,1978,50.32672
Early-demographic dividend,,1979,50.93276
Early-demographic dividend,,1980,51.00415
Early-demographic dividend,,1981,51.82427
Early-demographic dividend,,1982,52.76275
Early-demographic dividend,,1983,53.3785
Early-demographic dividend,,1984,54.16983
Early-demographic dividend,,1985,54.82246
Early-demographic dividend,,1986,55.46878
Early-demographic dividend,,1987,56.35444
Early-demographic dividend,,1988,57.10424
Early-demographic dividend,,1989,57.79252
Early-demographic dividend,,1990,58.67016
Early-demographic dividend,,1991,59.18952
Early-demographic dividend,,1992,60.19956
Early-demographic dividend,,1993,60.98883
Early-demographic dividend,,1994,61.79185
Early-demographic dividend,,1995,62.58469
Early-demographic dividend,,1996,63.31489
Early-demographic dividend,,1997,63.97211
Early-demographic dividend,,1998,66.9927
Early-demographic dividend,,1999,67.60191
Early-demographic dividend,,2000,68.26212
Early-demographic dividend,,2001,68.71656
Early-demographic dividend,,2002,69.37874
Early-demographic dividend,,2003,70.41303
Early-demographic dividend,,2004,71.18626
Early-demographic dividend,,2005,71.08765
Early-demographic dividend,,2006,71.24246
Early-demographic dividend,,2007,72.14902
Early-demographic dividend,,2008,73.14989
Early-demographic dividend,,2009,73.97933
Early-demographic dividend,,2010,75.2004
Early-demographic dividend,,2011,74.69032
Early-demographic dividend,,2012,76.49464
Early-demographic dividend,,2013,76.9538
Early-demographic dividend,,2014,77.6761
Early-demographic dividend,,2015,78.1656
Early-demographic dividend,,2016,78.68024
East Asia & Pacific,,1976,68.77466
East Asia & Pacific,,1977,68.87067
East Asia & Pacific,,1978,69.78968
East Asia & Pacific,,1979,70.74184
East Asia & Pacific,,1980,71.12901
East Asia & Pacific,,1981,72.55735
East Asia & Pacific,,1982,73.08464
East Asia & Pacific,,1983,74.33903
East Asia & Pacific,,1984,75.20576
East Asia & Pacific,,1985,76.04138
East Asia & Pacific,,1986,76.82092
East Asia & Pacific,,1987,77.88814
East Asia & Pacific,,1988,81.63784
East Asia & Pacific,,1989,82.22966
East Asia & Pacific,,1990,82.00383
East Asia & Pacific,,1991,83.25179
East Asia & Pacific,,1992,83.67971
East Asia & Pacific,,1993,84.06937
East Asia & Pacific,,1994,84.53053
East Asia & Pacific,,1995,84.99768
East Asia & Pacific,,1996,85.45928
East Asia & Pacific,,1997,90.4183
East Asia & Pacific,,1998,90.74679
East Asia & Pacific,,1999,91.04059
East Asia & Pacific,,2000,91.46029
East Asia & Pacific,,2001,91.70931
East Asia & Pacific,,2002,92.03837
East Asia & Pacific,,2003,92.36223
East Asia & Pacific,,2004,92.84659
East Asia & Pacific,,2005,93.16707
East Asia & Pacific,,2006,93.54266
East Asia & Pacific,,2007,94.50484
East Asia & Pacific,,2008,94.71875
East Asia & Pacific,,2009,94.98859
East Asia & Pacific,,2010,95.06498
East Asia & Pacific,,2011,94.91905
