Entity,Code,Year,Onshore wind cost (2016 $/kWh),Wind energy generation (kilowatt-hours)
Algeria,DZA,1983,,0
Algeria,DZA,1984,,0
Algeria,DZA,1985,,0
Algeria,DZA,1986,,0
Algeria,DZA,1987,,0
Algeria,DZA,1988,,0
Algeria,DZA,1989,,0
Algeria,DZA,1990,,0
Algeria,DZA,1991,,0
Algeria,DZA,1992,,0
Algeria,DZA,1993,,0
Algeria,DZA,1994,,0
Algeria,DZA,1995,,0
Algeria,DZA,1996,,0
Algeria,DZA,1997,,0
Algeria,DZA,1998,,0
Algeria,DZA,1999,,0
Algeria,DZA,2000,,0
Algeria,DZA,2001,,0
Algeria,DZA,2002,,0
Algeria,DZA,2003,,0
Algeria,DZA,2004,,0
Algeria,DZA,2005,,0
Algeria,DZA,2006,,0
Algeria,DZA,2007,,0
Algeria,DZA,2008,,0
Algeria,DZA,2009,,0
Algeria,DZA,2010,,0
Algeria,DZA,2011,,0
Algeria,DZA,2012,,0
Algeria,DZA,2013,,0
Algeria,DZA,2014,,1000
Algeria,DZA,2015,,19000
Algeria,DZA,2016,,19052.0547945205
Algeria,DZA,2017,,19000
Algeria,DZA,1965,,0
Algeria,DZA,1966,,0
Algeria,DZA,1967,,0
Algeria,DZA,1968,,0
Algeria,DZA,1969,,0
Algeria,DZA,1970,,0
Algeria,DZA,1971,,0
Algeria,DZA,1972,,0
Algeria,DZA,1973,,0
Algeria,DZA,1974,,0
Algeria,DZA,1975,,0
Algeria,DZA,1976,,0
Algeria,DZA,1977,,0
Algeria,DZA,1978,,0
Algeria,DZA,1979,,0
Algeria,DZA,1980,,0
Algeria,DZA,1981,,0
Algeria,DZA,1982,,0
Algeria,DZA,2018,,10000
Argentina,ARG,1983,,0
Argentina,ARG,1984,,0
Argentina,ARG,1985,,0
Argentina,ARG,1986,,0
Argentina,ARG,1987,,0
Argentina,ARG,1988,,0
Argentina,ARG,1989,,0
Argentina,ARG,1990,,0
Argentina,ARG,1991,,0
Argentina,ARG,1992,,0
Argentina,ARG,1993,,0
Argentina,ARG,1994,,0
Argentina,ARG,1995,,0
Argentina,ARG,1996,,9618
Argentina,ARG,1997,,14592
Argentina,ARG,1998,,32541
Argentina,ARG,1999,,34781
Argentina,ARG,2000,,34758
Argentina,ARG,2001,,49361
Argentina,ARG,2002,,73405
Argentina,ARG,2003,,77954
Argentina,ARG,2004,,72446
Argentina,ARG,2005,,71719.66500000001
Argentina,ARG,2006,,69640
Argentina,ARG,2007,,61593
Argentina,ARG,2008,,41951.078
Argentina,ARG,2009,,36831.528600000005
Argentina,ARG,2010,,25351.606200000002
Argentina,ARG,2011,,26590.55
Argentina,ARG,2012,,369861.999333
Argentina,ARG,2013,,453354.876
Argentina,ARG,2014,,619491
Argentina,ARG,2015,,593334.963
Argentina,ARG,2016,,547359
Argentina,ARG,2017,,611567
Argentina,ARG,1965,,0
Argentina,ARG,1966,,0
Argentina,ARG,1967,,0
Argentina,ARG,1968,,0
Argentina,ARG,1969,,0
Argentina,ARG,1970,,0
Argentina,ARG,1971,,0
Argentina,ARG,1972,,0
Argentina,ARG,1973,,0
Argentina,ARG,1974,,0
Argentina,ARG,1975,,0
Argentina,ARG,1976,,0
Argentina,ARG,1977,,0
Argentina,ARG,1978,,0
Argentina,ARG,1979,,0
Argentina,ARG,1980,,0
Argentina,ARG,1981,,0
Argentina,ARG,1982,,0
Argentina,ARG,2018,,1412699.784
Australia,AUS,1983,,0
Australia,AUS,1984,,0
Australia,AUS,1985,,0
Australia,AUS,1986,,0
Australia,AUS,1987,,0
Australia,AUS,1988,,0
Australia,AUS,1989,,0
Australia,AUS,1990,,0
