Entity,Code,Year,Suite of Food Security Indicators - Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average) - 210091 - Value - 6121 - % (%)
Afghanistan,AFG,2015,45.2
Afghanistan,AFG,2016,49.7
Afghanistan,AFG,2017,54.3
Africa,,2015,49.5
Africa,,2016,51.8
Africa,,2017,53.1
Albania,ALB,2015,38.7
Albania,ALB,2016,39
Albania,ALB,2017,38.6
Angola,AGO,2015,64.6
Argentina,ARG,2015,19.1
Argentina,ARG,2016,25.8
Argentina,ARG,2017,32.1
Armenia,ARM,2015,28.8
Armenia,ARM,2016,33.1
Armenia,ARM,2017,34.3
Asia,,2015,19.6
Asia,,2016,19.9
Asia,,2017,21
"Asia, Central",,2015,11.7
"Asia, Central",,2016,13.7
"Asia, Central",,2017,15.8
Australia,AUS,2015,11.3
Australia,AUS,2016,12.3
Australia,AUS,2017,13.4
Australia & New Zealand,,2015,11.2
Australia & New Zealand,,2016,12.2
Australia & New Zealand,,2017,13.5
Austria,AUT,2015,5.7
Austria,AUT,2016,4.9
Austria,AUT,2017,4.4
Bangladesh,BGD,2015,32.3
Bangladesh,BGD,2016,31.4
Bangladesh,BGD,2017,30.5
Belgium,BEL,2015,9.2
Belgium,BEL,2016,9.7
Belgium,BEL,2017,10.3
Bosnia and Herzegovina,BIH,2015,9.8
Bosnia and Herzegovina,BIH,2016,10.5
Bosnia and Herzegovina,BIH,2017,9.2
Botswana,BWA,2015,62.3
Botswana,BWA,2016,67.7
Botswana,BWA,2017,70
Bulgaria,BGR,2015,14.1
Bulgaria,BGR,2016,12.8
Bulgaria,BGR,2017,11.8
Burkina Faso,BFA,2015,40.7
Cambodia,KHM,2015,48.9
Cambodia,KHM,2016,45.3
Cambodia,KHM,2017,44.9
Cameroon,CMR,2015,62.2
Cameroon,CMR,2016,67.8
Cameroon,CMR,2017,71.2
Canada,CAN,2015,5
Canada,CAN,2016,5
Cape Verde,CPV,2017,37.7
Central America,,2015,32.2
Central America,,2016,32.4
Central America,,2017,31.7
Central and Southern Asia,,2015,30.1
Central and Southern Asia,,2016,29.1
Central and Southern Asia,,2017,30.4
Chile,CHL,2017,13.6
China,CHN,2015,6.9
China,CHN,2016,8.3
China,CHN,2017,9.6
Costa Rica,CRI,2015,21.4
Costa Rica,CRI,2016,21.7
Costa Rica,CRI,2017,23.2
Cote d'Ivoire,CIV,2016,58.1
Croatia,HRV,2015,6.4
Croatia,HRV,2016,6.8
Croatia,HRV,2017,7.8
Czech Republic,CZE,2015,5.8
Czech Republic,CZE,2016,5.1
Czech Republic,CZE,2017,3.8
Denmark,DNK,2015,5.7
Denmark,DNK,2016,5.6
Denmark,DNK,2017,5.3
East Asia (exc China),,2015,3.8
East Asia (exc China),,2016,4.1
East Asia (exc China),,2017,4.5
Eastern Africa,,2015,60.9
Eastern Africa,,2016,63.4
Eastern Africa,,2017,64.3
Eastern Asia,,2015,6.4
Eastern Asia,,2016,7.7
Eastern Asia,,2017,8.9
Eastern Europe,,2015,11
Eastern Europe,,2016,11.1
Eastern Europe,,2017,10.5
Eastern and South-Eastern Asia,,2015,9.9
Eastern and South-Eastern Asia,,2016,11
Eastern and South-Eastern Asia,,2017,12.1
Ecuador,ECU,2015,23.3
Ecuador,ECU,2016,23.3
Ecuador,ECU,2017,23.3
Egypt,EGY,2015,27.6
Egypt,EGY,2016,32.8
Egypt,EGY,2017,36
El Salvador,SLV,2015,42.3
El Salvador,SLV,2016,40.2
El Salvador,SLV,2017,40
Estonia,EST,2015,9.7
Estonia,EST,2016,8.5
Estonia,EST,2017,8.6
Europe,,2015,9
Europe,,2016,8.7
Europe,,2017,8.2
Europe and Northern America,,2015,9.3
Europe and Northern America,,2016,8.9
Europe and Northern America,,2017,8.4
"Europe, Western",,2015,5.5
"Europe, Western",,2016,5.2
"Europe, Western",,2017,5
Finland,FIN,2015,9.3
Finland,FIN,2016,8.4
Finland,FIN,2017,8.3
France,FRA,2015,6.8
France,FRA,2016,6.3
France,FRA,2017,6.4
Gambia,GMB,2016,54.1
Gambia,GMB,2017,54.1
Georgia,GEO,2015,30.6
Georgia,GEO,2016,32.7
Georgia,GEO,2017,34.5
Germany,DEU,2015,4.1
Germany,DEU,2016,3.8
Germany,DEU,2017,3.6
Ghana,GHA,2015,49.6
Ghana,GHA,2016,49.6
Ghana,GHA,2017,49.6
Greece,GRC,2015,16.1
Greece,GRC,2016,16.9
Greece,GRC,2017,17.4
Guatemala,GTM,2015,43.1
Guatemala,GTM,2016,44.6
Guatemala,GTM,2017,43.6
Guinea,GIN,2015,72.8
Guinea,GIN,2016,72.8
Guinea,GIN,2017,74.1
High income,,2015,8.8
High income,,2016,8.6
High income,,2017,8.6
Honduras,HND,2015,52.4
Honduras,HND,2016,50.8
Honduras,HND,2017,49.3
Hong Kong,HKG,2015,7.6
Hong Kong,HKG,2016,6.6
Hong Kong,HKG,2017,6.1
Hungary,HUN,2015,10.6
Hungary,HUN,2016,8.8
Hungary,HUN,2017,8.3
Iceland,ISL,2015,6.4
Iceland,ISL,2016,7.1
Iceland,ISL,2017,6.7
Indonesia,IDN,2016,8.7
Indonesia,IDN,2017,8.1
Ireland,IRL,2015,9.5
Ireland,IRL,2016,6.9
Ireland,IRL,2017,6.6
Israel,ISR,2015,8.3
Israel,ISR,2016,7.9
Israel,ISR,2017,8.6
Italy,ITA,2015,8.1
Italy,ITA,2016,7.2
Italy,ITA,2017,7.1
Japan,JPN,2015,2.3
Japan,JPN,2016,2.4
Japan,JPN,2017,2.8
Kazakhstan,KAZ,2015,7
Kazakhstan,KAZ,2016,7.8
Kazakhstan,KAZ,2017,9.3
Kenya,KEN,2015,56.5
Kenya,KEN,2016,56.5
Kenya,KEN,2017,56.5
Kyrgyzstan,KGZ,2015,22
Kyrgyzstan,KGZ,2016,22
Kyrgyzstan,KGZ,2017,23.9
Land Locked Developing Countries,,2015,46.5
Land Locked Developing Countries,,2016,48.9
Land Locked Developing Countries,,2017,50.8
Latvia,LVA,2015,10.4
Latvia,LVA,2016,10
Latvia,LVA,2017,10
Least Developed Countries,,2015,49.4
Least Developed Countries,,2016,51.3
Least Developed Countries,,2017,52.5
Lesotho,LSO,2015,78.6
Lesotho,LSO,2016,78.1
Lesotho,LSO,2017,77.8
Liberia,LBR,2015,85
Liberia,LBR,2016,85.7
Liberia,LBR,2017,86.2
Lithuania,LTU,2015,13.8
Lithuania,LTU,2016,11.9
Lithuania,LTU,2017,11.2
Low income,,2015,54
Low income,,2016,56.8
Low income,,2017,58.3
Lower middle income,,2015,29.6
Lower middle income,,2016,29.4
Lower middle income,,2017,30.6
Luxembourg,LUX,2015,4.7
Luxembourg,LUX,2016,3.7
Luxembourg,LUX,2017,3.3
Macedonia,MKD,2015,14.3
Macedonia,MKD,2016,12.8
Macedonia,MKD,2017,13.2
Malawi,MWI,2015,81.9
Malawi,MWI,2016,81.9
Malawi,MWI,2017,81.9
Mauritius,MUS,2015,13
Mauritius,MUS,2016,16.6
Mauritius,MUS,2017,18.5
Mexico,MEX,2015,28.5
Mexico,MEX,2016,28.8
Mexico,MEX,2017,28
Moldova,MDA,2015,20
Moldova,MDA,2016,21.7
Moldova,MDA,2017,25.4
Mongolia,MNG,2015,20.9
Mongolia,MNG,2016,25.7
Mongolia,MNG,2017,27.1
Montenegro,MNE,2015,13
Montenegro,MNE,2016,11.6
Montenegro,MNE,2017,12
Mozambique,MOZ,2015,63.7
Mozambique,MOZ,2016,67.1
Mozambique,MOZ,2017,68.6
Namibia,NAM,2015,66
Namibia,NAM,2016,67.3
Namibia,NAM,2017,67.9
Nepal,NPL,2015,29.4
Nepal,NPL,2016,31.1
Nepal,NPL,2017,31.6
Netherlands,NLD,2015,5.5
