Entity,Code,Year,Government expenditure on primary education as % of GDP (%) (%)
Albania,ALB,2013,2.01438999176025
Algeria,DZA,1999,1.90129995346069
Algeria,DZA,2000,1.54446995258331
Algeria,DZA,2002,1.61837995052338
Algeria,DZA,2003,1.64054000377655
Andorra,AND,2002,0.460500001907349
Andorra,AND,2004,0.448659986257553
Andorra,AND,2005,0.386229991912842
Andorra,AND,2006,0.521329998970032
Andorra,AND,2007,0.531799972057343
Andorra,AND,2009,0.834389984607697
Andorra,AND,2010,0.885869979858398
Andorra,AND,2011,0.910040020942688
Andorra,AND,2013,0.791570007801056
Andorra,AND,2014,0.683059990406036
Angola,AGO,2005,0.773810029029846
Angola,AGO,2006,0.717140018939972
Antigua and Barbuda,ATG,1999,1.07176005840302
Antigua and Barbuda,ATG,2002,0.983720004558563
Antigua and Barbuda,ATG,2009,1.06299996376038
Argentina,ARG,1998,1.41680002212524
Argentina,ARG,1999,1.64340996742249
Argentina,ARG,2000,1.63477003574371
Argentina,ARG,2001,1.83290004730225
Argentina,ARG,2002,1.42349994182587
Argentina,ARG,2003,1.34384000301361
Argentina,ARG,2004,1.15831005573273
Argentina,ARG,2005,1.18798005580902
Argentina,ARG,2006,1.28079998493195
Argentina,ARG,2007,1.38224005699158
Argentina,ARG,2008,1.52313995361328
Argentina,ARG,2009,1.60404002666473
Argentina,ARG,2010,1.52262997627258
Argentina,ARG,2011,1.59405994415283
Argentina,ARG,2012,1.62144005298615
Argentina,ARG,2013,1.6049599647522
Armenia,ARM,2012,0.708500027656555
Armenia,ARM,2013,0.532970011234283
Aruba,ABW,1998,1.09872996807098
Aruba,ABW,1999,1.18455994129181
Aruba,ABW,2000,1.33183002471924
Aruba,ABW,2001,1.23860001564026
Aruba,ABW,2002,1.4279500246048
Aruba,ABW,2004,1.17736005783081
Aruba,ABW,2005,1.25127005577087
Australia,AUS,2000,1.66751003265381
Australia,AUS,2005,1.70098996162415
Australia,AUS,2006,1.65921998023987
Australia,AUS,2007,1.63798999786377
Australia,AUS,2008,1.641970038414
Australia,AUS,2009,1.83148002624512
Australia,AUS,2010,2.04976010322571
Australia,AUS,2011,1.83422005176544
Australia,AUS,2012,1.67166996002197
Australia,AUS,2013,1.72976005077362
Austria,AUT,1998,1.1873300075531
Austria,AUT,1999,1.18720996379852
Austria,AUT,2000,1.10299003124237
Austria,AUT,2001,1.09713995456696
Austria,AUT,2002,1.09542000293732
Austria,AUT,2003,1.06147003173828
