Entity,Code,Year,"Rate of violent deaths in conflicts and one-sided violence (per 100,000)"
Civil conflicts,,1946,10.62729
Civil conflicts,,1947,14.73245
Civil conflicts,,1948,16.409353
Civil conflicts,,1949,15.759101
Civil conflicts,,1950,0.21119544
Civil conflicts,,1951,0.051830042
Civil conflicts,,1952,0.050917886
Civil conflicts,,1953,0.051125571
Civil conflicts,,1954,0.050983559
Civil conflicts,,1955,0.21955436
Civil conflicts,,1956,0.38603669
Civil conflicts,,1957,0.23925145
Civil conflicts,,1958,0.71520597
Civil conflicts,,1959,0.90280288
Civil conflicts,,1960,0.43407908
Civil conflicts,,1961,0.53738558
Civil conflicts,,1962,0.064686924
Civil conflicts,,1963,0.0087975385
Civil conflicts,,1964,0.11458438
Civil conflicts,,1965,0.24731413
Civil conflicts,,1966,0.085941322
Civil conflicts,,1967,0.55073994
Civil conflicts,,1968,0.94112372
Civil conflicts,,1969,0.88722819
Civil conflicts,,1970,1.1377635
Civil conflicts,,1971,0.10245535
Civil conflicts,,1972,0.078177273
Civil conflicts,,1973,0.11274458
Civil conflicts,,1974,0.14928243
Civil conflicts,,1975,0.53171331
Civil conflicts,,1976,1.9464568
Civil conflicts,,1977,0.48813647
Civil conflicts,,1978,1.0088695
Civil conflicts,,1979,1.3918011
Civil conflicts,,1980,0.30642176
Civil conflicts,,1981,0.60195607
Civil conflicts,,1982,1.5933888
Civil conflicts,,1983,0.92548716
Civil conflicts,,1984,1.504871
Civil conflicts,,1985,0.99687988
Civil conflicts,,1986,0.98626971
Civil conflicts,,1987,0.57801211
Civil conflicts,,1988,0.72661734
Civil conflicts,,1989,0.81960493
Civil conflicts,,1990,1.4161903
Civil conflicts,,1991,0.88481086
Civil conflicts,,1992,0.54480165
Civil conflicts,,1993,0.50820053
Civil conflicts,,1994,0.57113379
Civil conflicts,,1995,0.46190813
Civil conflicts,,1996,0.40033412
Civil conflicts,,1997,0.41951728
Civil conflicts,,1998,0.4722966
Civil conflicts,,1999,0.36148551
Civil conflicts,,2000,0.39473626
Civil conflicts,,2001,0.2441206
Civil conflicts,,2002,0.28615308
Civil conflicts,,2003,0.19033088
Civil conflicts,,2004,0.20958588
Civil conflicts,,2005,0.10873307
Civil conflicts,,2006,0.18970579
Civil conflicts,,2007,0.12516449
Civil conflicts,,2008,0.27063456
Civil conflicts,,2009,0.33652332
Civil conflicts,,2010,0.14462334
Civil conflicts,,2011,0.15798268
Civil conflicts,,2012,0.66481853
Civil conflicts,,2013,1.0773889
Civil conflicts,,2014,0.89640683
Civil conflicts,,2015,0.12979163
Civil conflicts,,2016,0.0984798
Civil conflicts with foreign state intervention,,1946,0.0018868212
Civil conflicts with foreign state intervention,,1947,0
Civil conflicts with foreign state intervention,,1948,0
Civil conflicts with foreign state intervention,,1949,0
Civil conflicts with foreign state intervention,,1950,0
Civil conflicts with foreign state intervention,,1951,0
Civil conflicts with foreign state intervention,,1952,0
Civil conflicts with foreign state intervention,,1953,0
Civil conflicts with foreign state intervention,,1954,0
