Entity,Code,Year,"Gross enrolment ratio, secondary, both sexes (%) (%)"
Afghanistan,AFG,1970,8.33160972595215
Afghanistan,AFG,1971,9.35029029846191
Afghanistan,AFG,1972,10.3486099243164
Afghanistan,AFG,1973,10.8316898345947
Afghanistan,AFG,1974,10.9764003753662
Afghanistan,AFG,1975,11.0410299301147
Afghanistan,AFG,1976,11.9362201690674
Afghanistan,AFG,1977,12.7769603729248
Afghanistan,AFG,1978,13.4486303329468
Afghanistan,AFG,1980,16.9421405792236
Afghanistan,AFG,1981,19.5852394104004
Afghanistan,AFG,1982,10.7739696502686
Afghanistan,AFG,1984,12.6788196563721
Afghanistan,AFG,1985,13.4631299972534
Afghanistan,AFG,1986,12.4384202957153
Afghanistan,AFG,1988,13.5438804626465
Afghanistan,AFG,1989,13.0111999511719
Afghanistan,AFG,1990,11.2228298187256
Afghanistan,AFG,1991,16.3062992095947
Afghanistan,AFG,1993,16.5285701751709
Afghanistan,AFG,1994,23.1541004180908
Afghanistan,AFG,1995,22.5660190582275
Afghanistan,AFG,2001,13.0487403869629
Afghanistan,AFG,2003,13.3170795440674
Afghanistan,AFG,2004,18.6647891998291
Afghanistan,AFG,2005,19.7837009429932
Afghanistan,AFG,2006,29.9304599761963
Afghanistan,AFG,2007,30.0831604003906
Afghanistan,AFG,2008,40.2233810424805
Afghanistan,AFG,2009,46.7327613830566
Afghanistan,AFG,2010,53.2468299865723
Afghanistan,AFG,2011,54.6161804199219
Afghanistan,AFG,2012,56.6773414611816
Afghanistan,AFG,2013,56.6886596679688
Afghanistan,AFG,2014,55.6561584472656
Albania,ALB,1976,84.978271484375
Albania,ALB,1978,86.5127105712891
Albania,ALB,1979,88.2596130371094
Albania,ALB,1980,90.202018737793
Albania,ALB,1981,91.2001724243164
Albania,ALB,1982,87.0644989013672
Albania,ALB,1983,82.0288391113281
Albania,ALB,1984,82.2892913818359
Albania,ALB,1985,85.3397521972656
Albania,ALB,1986,88.4709091186523
Albania,ALB,1987,87.9317932128906
Albania,ALB,1988,88.7278518676758
Albania,ALB,1989,88.9528198242188
Albania,ALB,1990,90.2612762451172
Albania,ALB,1991,91.1052017211914
Albania,ALB,1992,77.9227981567383
Albania,ALB,1993,70.5480117797852
Albania,ALB,1994,68.9601516723633
Albania,ALB,1995,68.9317092895508
Albania,ALB,1996,68.1389236450195
Albania,ALB,1997,69.6703720092773
Albania,ALB,1998,71.655158996582
Albania,ALB,1999,71.9115295410156
Albania,ALB,2000,71.4527969360352
Albania,ALB,2001,72.905158996582
Albania,ALB,2002,73.0028610229492
Albania,ALB,2003,75.0189895629883
Albania,ALB,2004,74.170280456543
Albania,ALB,2005,76.8870620727539
Albania,ALB,2006,77.9558868408203
Albania,ALB,2007,81.2808685302734
Albania,ALB,2008,83.6489181518555
Albania,ALB,2009,85.409309387207
Albania,ALB,2010,88.4116363525391
Albania,ALB,2011,90.8483505249023
Albania,ALB,2012,92.7414703369141
Albania,ALB,2013,95.8315734863281
Albania,ALB,2014,96.4260864257813
Algeria,DZA,1971,10.0363597869873
Algeria,DZA,1972,12.071720123291
Algeria,DZA,1973,13.5241203308105
Algeria,DZA,1974,14.7479801177979
Algeria,DZA,1975,16.0282707214355
Algeria,DZA,1976,18.395040512085
Algeria,DZA,1977,21.5101108551025
Algeria,DZA,1978,25.3287105560303
Algeria,DZA,1979,27.9937801361084
Algeria,DZA,1980,30.065149307251
Algeria,DZA,1981,32.1846313476563
Algeria,DZA,1982,35.2346496582031
Algeria,DZA,1983,38.527759552002
