Entity,Code,Year,Number of rhinos poached (rhinos poached)
Africa,,2006,60
Africa,,2007,62
Africa,,2008,262
Africa,,2009,201
Africa,,2010,426
Africa,,2011,532
Africa,,2012,751
Africa,,2013,1123
Africa,,2014,1324
Africa,,2015,1349
Africa,,2016,1167
Africa,,2017,1124
Botswana,BWA,2006,0
Botswana,BWA,2007,0
Botswana,BWA,2008,0
Botswana,BWA,2009,0
Botswana,BWA,2010,0
Botswana,BWA,2011,0
Botswana,BWA,2012,2
Botswana,BWA,2013,2
Botswana,BWA,2014,1
Botswana,BWA,2015,0
Botswana,BWA,2016,1
Botswana,BWA,2017,0
Democratic Republic of Congo,COD,2006,0
Democratic Republic of Congo,COD,2007,2
Democratic Republic of Congo,COD,2008,2
India,IND,2006,4
India,IND,2007,20
India,IND,2008,11
India,IND,2009,17
India,IND,2010,7
India,IND,2011,15
India,IND,2012,26
India,IND,2013,41
India,IND,2014,34
India,IND,2015,24
India,IND,2016,22
India,IND,2017,11
Kenya,KEN,2006,3
Kenya,KEN,2007,1
Kenya,KEN,2008,6
Kenya,KEN,2009,21
Kenya,KEN,2010,22
Kenya,KEN,2011,27
Kenya,KEN,2012,29
Kenya,KEN,2013,59
Kenya,KEN,2014,35
Kenya,KEN,2015,11
Kenya,KEN,2016,10
Kenya,KEN,2017,9
Malawi,MWI,2006,0
Malawi,MWI,2007,0
Malawi,MWI,2008,0
Malawi,MWI,2009,0
Malawi,MWI,2010,0
Malawi,MWI,2011,0
Malawi,MWI,2012,2
Malawi,MWI,2013,1
Malawi,MWI,2014,1
Malawi,MWI,2015,1
Malawi,MWI,2016,1
Malawi,MWI,2017,1
Mozambique,MOZ,2006,0
Mozambique,MOZ,2007,9
Mozambique,MOZ,2008,5
Mozambique,MOZ,2009,15
Mozambique,MOZ,2010,16
Mozambique,MOZ,2011,10
Mozambique,MOZ,2012,16
Mozambique,MOZ,2013,15
Mozambique,MOZ,2014,19
Mozambique,MOZ,2015,13
Mozambique,MOZ,2016,5
Mozambique,MOZ,2017,4
Namibia,NAM,2006,0
Namibia,NAM,2007,0
Namibia,NAM,2008,0
Namibia,NAM,2009,2
Namibia,NAM,2010,2
Namibia,NAM,2011,1
Namibia,NAM,2012,1
Namibia,NAM,2013,4
Namibia,NAM,2014,30
Namibia,NAM,2015,97
Namibia,NAM,2016,61
Namibia,NAM,2017,44
Nepal,NPL,1998,5
Nepal,NPL,1999,8
Nepal,NPL,2000,9
Nepal,NPL,2001,15
Nepal,NPL,2002,38
Nepal,NPL,2003,22
Nepal,NPL,2004,11
Nepal,NPL,2005,15
Nepal,NPL,2006,19
Nepal,NPL,2007,2
Nepal,NPL,2008,7
Nepal,NPL,2009,11
Nepal,NPL,2013,0
Nepal,NPL,2014,0
Nepal,NPL,2015,0
