Entity,Code,Year,"Percentage of teachers in pre-primary education who are trained, both sexes (%) (%)"
Andorra,AND,2006,100
Andorra,AND,2007,100
Andorra,AND,2008,100
Andorra,AND,2009,100
Andorra,AND,2010,100
Andorra,AND,2011,100
Andorra,AND,2012,100
Andorra,AND,2013,100
Andorra,AND,2014,100
Angola,AGO,2010,45.147518157959
Angola,AGO,2011,44.0139694213867
Antigua and Barbuda,ATG,2000,45.0757598876953
Antigua and Barbuda,ATG,2007,28.8888893127441
Antigua and Barbuda,ATG,2008,11.9617204666138
Antigua and Barbuda,ATG,2011,58.0419616699219
Antigua and Barbuda,ATG,2012,70.9677429199219
Arab World,,2004,92.9351806640625
Arab World,,2005,92.1936569213867
Arab World,,2006,91.9632034301758
Arab World,,2007,92.1558990478516
Arab World,,2008,89.838737487793
Arab World,,2009,88.5835723876953
Arab World,,2012,76.2831573486328
Arab World,,2013,81.2261199951172
Arab World,,2014,80.6945037841797
Armenia,ARM,2002,97.1321716308594
Armenia,ARM,2009,90.4066009521484
Armenia,ARM,2010,87.8378372192383
Armenia,ARM,2011,78.8199005126953
Armenia,ARM,2012,79.6775588989258
Aruba,ABW,1999,100
Aruba,ABW,2000,100
Aruba,ABW,2001,100
Aruba,ABW,2002,100
Aruba,ABW,2003,98.5185165405273
Aruba,ABW,2004,100
Aruba,ABW,2005,100
Aruba,ABW,2006,100
Aruba,ABW,2007,100
Aruba,ABW,2008,100
Aruba,ABW,2009,100
Aruba,ABW,2010,100
Aruba,ABW,2011,98.6394577026367
Aruba,ABW,2012,100
Azerbaijan,AZE,1999,77.5016784667969
Azerbaijan,AZE,2000,79.1495971679688
Azerbaijan,AZE,2001,78.0742874145508
Azerbaijan,AZE,2002,82.9657897949219
Azerbaijan,AZE,2003,82.7328262329102
Azerbaijan,AZE,2004,84.5256500244141
Azerbaijan,AZE,2005,83.7140808105469
Azerbaijan,AZE,2006,89.8609390258789
Azerbaijan,AZE,2007,90.4952163696289
Azerbaijan,AZE,2008,88.6552581787109
Azerbaijan,AZE,2009,90.2028732299805
Azerbaijan,AZE,2010,90.9000396728516
Azerbaijan,AZE,2011,91.6777572631836
Azerbaijan,AZE,2012,91.7216110229492
Azerbaijan,AZE,2014,85.1524276733398
Bahamas,BHS,1999,53.2051315307617
Bahamas,BHS,2000,56.0975608825684
Bahamas,BHS,2002,59.7633094787598
Bahrain,BHR,1999,18.3333301544189
Bahrain,BHR,2006,58.2703590393066
Bahrain,BHR,2008,47.0461082458496
Bahrain,BHR,2009,48.1818199157715
Bahrain,BHR,2010,49.3166999816895
Bahrain,BHR,2011,45.549129486084
