Entity,Code,Year,"Age-standardised death rates from air pollution (per 100,000)- IHME GBD SDG indicators (Percent)"
Afghanistan,AFG,1990,504.6
Afghanistan,AFG,1995,521.8
Afghanistan,AFG,2000,531.4
Afghanistan,AFG,2005,500.1
Afghanistan,AFG,2010,463.6
Afghanistan,AFG,2015,427.3
Albania,ALB,1990,150.6
Albania,ALB,1995,133.3
Albania,ALB,2000,120.2
Albania,ALB,2005,94.3
Albania,ALB,2010,70.8
Albania,ALB,2015,62.5
Algeria,DZA,1990,75.3
Algeria,DZA,1995,66.4
Algeria,DZA,2000,58.3
Algeria,DZA,2005,48.9
Algeria,DZA,2010,42.4
Algeria,DZA,2015,47.4
Andorra,AND,1990,20.1
Andorra,AND,1995,18.1
Andorra,AND,2000,16.2
Andorra,AND,2005,14.6
Andorra,AND,2010,13.8
Andorra,AND,2015,13.4
Angola,AGO,1990,376.7
Angola,AGO,1995,356.8
Angola,AGO,2000,329.3
Angola,AGO,2005,287.1
Angola,AGO,2010,260.6
Angola,AGO,2015,249.3
Antigua and Barbuda,ATG,1990,49.7
Antigua and Barbuda,ATG,1995,46.1
Antigua and Barbuda,ATG,2000,41.4
Antigua and Barbuda,ATG,2005,37.4
Antigua and Barbuda,ATG,2010,31.1
Antigua and Barbuda,ATG,2015,30.6
Argentina,ARG,1990,56.3
Argentina,ARG,1995,50.6
Argentina,ARG,2000,47.9
Argentina,ARG,2005,42.8
Argentina,ARG,2010,39.5
Argentina,ARG,2015,36
Armenia,ARM,1990,166.3
Armenia,ARM,1995,173.4
Armenia,ARM,2000,123.8
Armenia,ARM,2005,89.5
Armenia,ARM,2010,77.7
Armenia,ARM,2015,67.4
Australia,AUS,1990,22.8
Australia,AUS,1995,19.3
Australia,AUS,2000,15.9
Australia,AUS,2005,12.4
Australia,AUS,2010,9.2
Australia,AUS,2015,9
Austria,AUT,1990,44.9
Austria,AUT,1995,39.8
Austria,AUT,2000,35.6
Austria,AUT,2005,27.7
Austria,AUT,2010,24.1
Austria,AUT,2015,23.8
Azerbaijan,AZE,1990,247
Azerbaijan,AZE,1995,218.7
Azerbaijan,AZE,2000,181
Azerbaijan,AZE,2005,130.8
Azerbaijan,AZE,2010,120.3
Azerbaijan,AZE,2015,96.2
Bahamas,BHS,1990,63.8
Bahamas,BHS,1995,52.2
Bahamas,BHS,2000,47.5
Bahamas,BHS,2005,39.9
Bahamas,BHS,2010,29.5
Bahamas,BHS,2015,30.9
Bahrain,BHR,1990,112.4
Bahrain,BHR,1995,100.2
Bahrain,BHR,2000,89.6
Bahrain,BHR,2005,69.3
Bahrain,BHR,2010,53.8
Bahrain,BHR,2015,48.5
Bangladesh,BGD,1990,248.5
Bangladesh,BGD,1995,239.2
Bangladesh,BGD,2000,237.5
Bangladesh,BGD,2005,245.5
Bangladesh,BGD,2010,243.3
Bangladesh,BGD,2015,229.3
Barbados,BRB,1990,44.2
Barbados,BRB,1995,42.9
Barbados,BRB,2000,36.6
Barbados,BRB,2005,30
Barbados,BRB,2010,26.6
Barbados,BRB,2015,26.8
Belarus,BLR,1990,141.3
Belarus,BLR,1995,139.2
Belarus,BLR,2000,122.7
Belarus,BLR,2005,102.8
Belarus,BLR,2010,89.3
Belarus,BLR,2015,84.1
Belgium,BEL,1990,48.1
Belgium,BEL,1995,42
Belgium,BEL,2000,38.5
Belgium,BEL,2005,31.3
Belgium,BEL,2010,27.4
Belgium,BEL,2015,25.9
Belize,BLZ,1990,109.7
Belize,BLZ,1995,112.9
Belize,BLZ,2000,108.4
Belize,BLZ,2005,89.5
