Entity,Code,Year,Polio Cases,Polio Deaths
United States,USA,1910,5861,950
United States,USA,1911,1931,440
United States,USA,1913,1934,421
United States,USA,1914,1220,329
United States,USA,1915,1634,691
United States,USA,1916,27363,7130
United States,USA,1917,4082,1182
United States,USA,1918,2493,960
United States,USA,1919,1932,747
United States,USA,1920,2325,769
United States,USA,1921,6266,1597
United States,USA,1922,2222,790
United States,USA,1923,3266,850
United States,USA,1924,5199,1079
United States,USA,1925,5926,1492
United States,USA,1926,2528,851
United States,USA,1927,10533,2013
United States,USA,1928,5113,1381
United States,USA,1929,2837,812
United States,USA,1930,9188,1370
United States,USA,1931,15790,2096
United States,USA,1932,3778,828
United States,USA,1933,4983,797
United States,USA,1934,7519,852
United States,USA,1935,10839,1040
United States,USA,1936,4523,780
United States,USA,1937,9511,1433
United States,USA,1938,1712,478
United States,USA,1939,7343,756
United States,USA,1940,9826,1004
United States,USA,1941,9086,
United States,USA,1942,4033,
United States,USA,1943,12449,1115
United States,USA,1944,19029,1433
United States,USA,1945,13619,1189
United States,USA,1946,25191,1845
United States,USA,1947,10734,580
United States,USA,1948,27680,2140
United States,USA,1949,42033,2720
United States,USA,1950,33300,1904
United States,USA,1951,28386,1551
United States,USA,1952,57879,3145
United States,USA,1953,35592,1450
United States,USA,1954,38476,1368
United States,USA,1955,28985,1043
United States,USA,1956,15140,566
United States,USA,1957,5485,221
United States,USA,1958,5787,255
United States,USA,1959,8425,454
United States,USA,1960,3190,230
United States,USA,1961,1312,90
United States,USA,1962,910,60
United States,USA,1963,449,41
United States,USA,1964,122,17
United States,USA,1965,72,16
United States,USA,1966,133,9
United States,USA,1967,41,16
United States,USA,1968,53,24
United States,USA,1969,20,13
United States,USA,1970,33,7
United States,USA,1971,21,18
United States,USA,1972,31,2
United States,USA,1973,8,10
United States,USA,1974,7,3
United States,USA,1975,8,9
United States,USA,1976,14,16
United States,USA,1977,18,16
United States,USA,1978,15,13
United States,USA,1979,34,4
United States,USA,1980,9,6
United States,USA,1981,6,0
United States,USA,1982,8,0
United States,USA,1983,15,3
United States,USA,1984,8,0
United States,USA,1985,7,0
United States,USA,1986,8,0
United States,USA,1987,6,0
United States,USA,1988,9,1
United States,USA,1989,5,0
United States,USA,1990,7,0
United States,USA,1991,8,1
United States,USA,1992,4,0
United States,USA,1993,4,0
United States,USA,1994,8,0
United States,USA,1995,6,0
United States,USA,1996,5,0
United States,USA,1997,5,0
United States,USA,1998,1,0
United States,USA,1999,2,0
United States,USA,2000,0,0
United States,USA,2001,0,
United States,USA,2002,0,0
United States,USA,2003,0,0
United States,USA,2004,0,0
United States,USA,2005,0,0
United States,USA,2006,0,0
United States,USA,2007,0,0
United States,USA,2008,0,0
United States,USA,2009,1,
United States,USA,2010,0,
United States,USA,2011,0,0
United States,USA,2012,0,0
United States,USA,2013,0,0
United States,USA,2014,0,0
United States,USA,2015,0,0
United States,USA,2016,0,0
United States,USA,2017,0,0
United States,USA,2018,0,0
United States,USA,2019,0,0
