Entity,Code,Year,Year of last polio case (WHO (GPEI) (2017))
Afghanistan,AFG,0,2025
Albania,ALB,0,1978
Algeria,DZA,0,1996
American Samoa,ASM,0,1950
Andorra,AND,0,1959
Angola,AGO,0,2001
Anguilla,AIA,0,1962
Antigua and Barbuda,ATG,0,1965
Argentina,ARG,0,1984
Armenia,ARM,0,1995
Australia,AUS,0,1972
Austria,AUT,0,1980
Azerbaijan,AZE,0,1995
Bahamas,BHS,0,1967
Bahrain,BHR,0,1993
Bangladesh,BGD,0,2000
Barbados,BRB,0,1967
Belarus,BLR,0,1994
Belgium,BEL,0,1979
Belize,BLZ,0,1981
Benin,BEN,0,2000
Bhutan,BTN,0,1986
Bolivia,BOL,0,1989
Bosnia and Herzegovina,BIH,0,1993
Botswana,BWA,0,1989
Brazil,BRA,0,1989
Brunei,BRN,0,1978
Bulgaria,BGR,0,1982
Burkina Faso,BFA,0,2000
Burundi,BDI,0,1999
Cambodia,KHM,0,1997
Cameroon,CMR,0,1999
Canada,CAN,0,1979
Cape Verde,CPV,0,1988
Cayman Islands,CYM,0,1958
Central African Republic,CAF,0,2000
Chad,TCD,0,2000
Chile,CHL,0,1975
China,CHN,0,1994
Colombia,COL,0,1991
Comoros,COM,0,1983
Congo,COG,0,2000
Cook Islands,COK,0,1959
Costa Rica,CRI,0,1972
Cote d'Ivoire,CIV,0,2000
Croatia,HRV,0,1990
Cuba,CUB,0,1962
Cyprus,CYP,0,1995
Czech Republic,CZE,0,1960
Democratic Republic of Congo,COD,0,2000
Denmark,DNK,0,1976
Djibouti,DJI,0,1999
Dominica,DMA,0,1980
Dominican Republic,DOM,0,1985
Ecuador,ECU,0,1990
Egypt,EGY,0,2004
El Salvador,SLV,0,1987
Equatorial Guinea,GNQ,0,1992
Eritrea,ERI,0,1992
Estonia,EST,0,1961
Ethiopia,ETH,0,2001
Fiji,FJI,0,1962
Finland,FIN,0,1963
France,FRA,0,1989
French Guiana,GUF,0,1983
French Polynesia,PYF,0,1982
Gabon,GAB,0,1996
Gambia,GMB,0,1997
Georgia,GEO,0,1991
Germany,DEU,0,1990
Ghana,GHA,0,2000
Greece,GRC,0,1982
Grenada,GRD,0,1970
Guam,GUM,0,1964
Guatemala,GTM,0,1990
Guinea,GIN,0,1999
Guinea-Bissau,GNB,0,1999
Guyana,GUY,0,1962
Haiti,HTI,0,1989
Honduras,HND,0,1989
Hong Kong,HKG,0,1983
Hungary,HUN,0,1969
Iceland,ISL,0,1960
India,IND,0,2011
Indonesia,IDN,0,1995
Iran,IRN,0,1997
Iraq,IRQ,0,2000
Ireland,IRL,0,1965
Israel,ISR,0,1988
Italy,ITA,0,1982
Jamaica,JAM,0,1982
Japan,JPN,0,1980
Jordan,JOR,0,1988
Kazakhstan,KAZ,0,1995
Kenya,KEN,0,1988
Kuwait,KWT,0,1985
Kyrgyzstan,KGZ,0,1992
Laos,LAO,0,1996
Latvia,LVA,0,1992
Lebanon,LBN,0,1994
Lesotho,LSO,0,1987
Liberia,LBR,0,1999
Libya,LBY,0,1991
Lithuania,LTU,0,1971
Luxembourg,LUX,0,1963
Macao,MAC,0,1975
Macedonia,MKD,0,1993
Madagascar,MDG,0,1997
Malawi,MWI,0,1991
Malaysia,MYS,0,1986
Maldives,MDV,0,1980
Mali,MLI,0,1999
Malta,MLT,0,1964
Marshall Islands,MHL,0,1976
Mauritania,MRT,0,1999
Mauritius,MUS,0,1980
Mexico,MEX,0,1990
Micronesia (country),FSM,0,1970
Moldova,MDA,0,1996
Monaco,MCO,0,1964
Mongolia,MNG,0,1993
Montserrat,MSR,0,1976
Morocco,MAR,0,1989
Mozambique,MOZ,0,1993
Myanmar,MMR,0,1996
Namibia,NAM,0,1995
Nauru,NRU,0,1910
Nepal,NPL,0,2000
Netherlands,NLD,0,1960
New Caledonia,NCL,0,1982
New Zealand,NZL,0,1962
Nicaragua,NIC,0,1981
Niger,NER,0,2006
Nigeria,NGA,0,2025
Niue,NIU,0,1950
North Korea,PRK,0,1996
Northern Mariana Islands,MNP,0,1960
Norway,NOR,0,1969
Oman,OMN,0,1993
Pakistan,PAK,0,2025
Palau,PLW,0,1940
Palestine,PSE,0,1988
Panama,PAN,0,1972
Papua New Guinea,PNG,0,1996
Paraguay,PRY,0,1985
Peru,PER,0,1991
Philippines,PHL,0,1993
Poland,POL,0,1984
Portugal,PRT,0,1986
Puerto Rico,PRI,0,1974
Qatar,QAT,0,1990
Reunion,REU,0,1979
Romania,ROU,0,1992
Russia,RUS,0,1996
Rwanda,RWA,0,1999
Saint Kitts and Nevis,KNA,0,1969
Saint Lucia,LCA,0,1970
Saint Vincent and the Grenadines,VCT,0,1977
Samoa,WSM,0,1950
San Marino,SMR,0,1982
Sao Tome and Principe,STP,0,1983
Saudi Arabia,SAU,0,1995
Senegal,SEN,0,1998
Seychelles,SYC,0,1980
Sierra Leone,SLE,0,1999
Singapore,SGP,0,1978
Slovakia,SVK,0,1960
Slovenia,SVN,0,1978
Solomon Islands,SLB,0,1972
Somalia,SOM,0,2013
South Africa,ZAF,0,1989
South Korea,KOR,0,1983
South Sudan,SSD,0,2004
Spain,ESP,0,1988
Sri Lanka,LKA,0,1993
Sudan,SDN,0,2004
