Entity,Code,Year,Gas Production (terawatt-hours)
Africa,,1970,30.172162499999963
Africa,,1971,37.022901989999966
Africa,,1972,65.13484622349996
Africa,,1973,98.32215261999995
Africa,,1974,102.60499662350003
Africa,,1975,115.33114865000006
Africa,,1976,137.28213429000016
Africa,,1977,139.9768493199997
Africa,,1978,186.69027662000013
Africa,,1979,283.32994511999976
Africa,,1980,248.30338881000037
Africa,,1981,264.74803956999966
Africa,,1982,325.11289289000007
Africa,,1983,436.95682900000037
Africa,,1984,458.65069382000047
Africa,,1985,505.6782096600006
Africa,,1986,530.1431318400001
Africa,,1987,578.9781925100007
Africa,,1988,617.5322795300006
Africa,,1989,677.4079679200005
Africa,,1990,721.5905930300004
Africa,,1991,773.4517301299996
Africa,,1992,808.2827992599998
Africa,,1993,833.4067217199996
Africa,,1994,789.6462175500004
Africa,,1995,872.70522239
Africa,,1996,933.3250037000003
Africa,,1997,1041.6110237815467
Africa,,1998,1109.3163539265079
Africa,,1999,1216.7257452968224
Africa,,2000,1351.0124295966234
Africa,,2001,1396.443045186347
Africa,,2002,1460.0827455522299
Africa,,2003,1568.4997743879337
Africa,,2004,1641.0787052026371
Africa,,2005,1710.6409347310298
Africa,,2006,1851.058651284643
Africa,,2007,1957.0313504810313
Africa,,2008,2038.4401624046811
Africa,,2009,1921.1408008613023
Africa,,2010,2023.1163612552714
Africa,,2011,2017.1576690393274
Africa,,2012,2067.5261291950223
Africa,,2013,1983.0441787397094
Africa,,2014,1986.4651270718466
Africa,,2015,2035.5147228684248
Africa,,2016,2088.393281409726
Africa,,2017,2256.5409391244366
Africa,,2018,2365.673233509374
Algeria,DZA,1970,24.38012499999995
Algeria,DZA,1971,25.698750000000004
Algeria,DZA,1972,32.56137500000004
Algeria,DZA,1973,43.21625000000003
Algeria,DZA,1974,49.963374999999964
Algeria,DZA,1975,61.52300000000005
Algeria,DZA,1976,77.49087500000006
Algeria,DZA,1977,74.16543749999995
Algeria,DZA,1978,115.01875000000003
Algeria,DZA,1979,188.53450000000018
Algeria,DZA,1980,154.0975
Algeria,DZA,1981,178.64843000000002
Algeria,DZA,1982,233.10009
Algeria,DZA,1983,333.79263000000003
Algeria,DZA,1984,339.75882
Algeria,DZA,1985,373.38115
Algeria,DZA,1986,381.8943100000001
Algeria,DZA,1987,431.00780000000003
Algeria,DZA,1988,450.5810900000001
Algeria,DZA,1989,485.83162000000004
Algeria,DZA,1990,516.5697100000001
Algeria,DZA,1991,557.03048
Algeria,DZA,1992,580.0113600000001
Algeria,DZA,1993,587.46619
Algeria,DZA,1994,540.10883
Algeria,DZA,1995,614.91299
Algeria,DZA,1996,652.51278
Algeria,DZA,1997,748.5882100000001
Algeria,DZA,1998,801.6210100000002
Algeria,DZA,1999,901.06914
Algeria,DZA,2000,918.8863000000001
Algeria,DZA,2001,864.72539
Algeria,DZA,2002,889.41588
Algeria,DZA,2003,938.5758900000001
