Entity,Code,Year,Earnings of tertiary-educated workers relative to the earnings of workers with upper-secondary education (OECD 2017) (%)
Australia,AUS,2015,140.028
Austria,AUT,2015,153.076
Belgium,BEL,2015,139.916
Brazil,BRA,2015,248.65601
Canada,CAN,2015,141.411
Chile,CHL,2015,236.713
Colombia,COL,2015,234.48
Costa Rica,CRI,2015,215.10501
Czech Republic,CZE,2015,169.24701
Denmark,DNK,2015,130.862
Estonia,EST,2015,123.599
Finland,FIN,2015,136.85001
France,FRA,2015,154.43399
Germany,DEU,2015,166.26001
Greece,GRC,2015,138.964
Hungary,HUN,2015,199.099
Ireland,IRL,2015,166.01001
Israel,ISR,2015,158.48199
Italy,ITA,2015,141.17801
Japan,JPN,2015,151.701
Korea,,2015,140.974
Latvia,LVA,2015,144.048
Lithuania,LTU,2015,179.30099
Luxembourg,LUX,2015,158.217
Mexico,MEX,2015,202.29901
Netherlands,NLD,2015,150.101
New Zealand,NZL,2015,140.01401
Norway,NOR,2015,127.693
OECD average,,2015,155.59601
Poland,POL,2015,159.58099
Portugal,PRT,2015,168.758
Slovakia,SVK,2015,169.88
Slovenia,SVN,2015,170.51801
Spain,ESP,2015,152.507
Sweden,SWE,2015,116.528
Switzerland,CHE,2015,150.634
Turkey,TUR,2015,166.757
United Kingdom,GBR,2015,153.03101
United States,USA,2015,173.50101
