Entity,Code,Year,15.2.1 - Above-ground biomass in forest per hectare (tonnes per hectare) - AG_LND_FRSTBIOPHA (tonnes per hectare)
Afghanistan,AFG,2000,46.96
Afghanistan,AFG,2005,46.96
Afghanistan,AFG,2010,46.96
Afghanistan,AFG,2015,46.96
Africa,,2000,161.604
Africa,,2005,161.71828
Africa,,2010,162.40903
Africa,,2015,163.30404
Albania,ALB,2000,97.23
Albania,ALB,2005,93.56
Albania,ALB,2010,95.45
Albania,ALB,2015,97.6
Algeria,DZA,2000,34.14
Algeria,DZA,2005,34.12
Algeria,DZA,2010,34.12
Algeria,DZA,2015,34.13
American Samoa,ASM,2000,176.84
American Samoa,ASM,2005,176.84
American Samoa,ASM,2010,176.83
American Samoa,ASM,2015,177.56
Americas,,2000,163.07763
Americas,,2005,163.9125
Americas,,2010,164.54268
Americas,,2015,166.16719
Angola,AGO,2000,128.68
Angola,AGO,2005,128.67
Angola,AGO,2010,128.66
Angola,AGO,2015,128.65
Argentina,ARG,2000,173.82
Argentina,ARG,2005,177.37
Argentina,ARG,2010,180.1
Argentina,ARG,2015,182.69
Armenia,ARM,2000,81.38
Armenia,ARM,2005,80.72
Armenia,ARM,2010,80.06
Armenia,ARM,2015,80.72
Asia,,2000,104.74823
Asia,,2005,100.35972
Asia,,2010,97.51083
Asia,,2015,94.60492
"Asia, Central",,2000,25.26582
"Asia, Central",,2005,26.0369
"Asia, Central",,2010,24.47684
"Asia, Central",,2015,27.50472
Australia,AUS,2000,87.05
Australia,AUS,2005,87.25
Australia,AUS,2010,90.46
Australia and New Zealand,,2000,207.81142
Australia and New Zealand,,2005,211.038
Australia and New Zealand,,2010,216.03783
Australia and New Zealand,,2015,219.95666
Austria,AUT,2000,156.07
Austria,AUT,2005,160.22
Austria,AUT,2010,162.69
Austria,AUT,2015,165.16
Bangladesh,BGD,2000,98.77
Bangladesh,BGD,2005,98.97
Bangladesh,BGD,2010,118.59
Bangladesh,BGD,2015,123.86
Belarus,BLR,2000,95.08
Belarus,BLR,2005,104.54
Belarus,BLR,2010,116.78
Belarus,BLR,2015,122.01
Belgium,BEL,2000,148.48
Belgium,BEL,2005,158.71
Belgium,BEL,2010,166.63
Belgium,BEL,2015,175.61
Belize,BLZ,2000,215.17
Belize,BLZ,2005,214.61
Belize,BLZ,2010,211.3
Belize,BLZ,2015,211.52
Benin,BEN,2000,98.76
Benin,BEN,2005,98.77
Benin,BEN,2010,98.77
Benin,BEN,2015,98.77
Bhutan,BTN,2000,165.43
Bhutan,BTN,2005,165.87
Bhutan,BTN,2010,165.05
Bhutan,BTN,2015,165.09
Bolivia,BOL,2000,133.25
Bolivia,BOL,2005,133.26
Bolivia,BOL,2010,135.6
Bolivia,BOL,2015,135.6
Bosnia and Herzegovina,BIH,2000,87.03
Bosnia and Herzegovina,BIH,2005,87.03
Bosnia and Herzegovina,BIH,2010,87.03
Bosnia and Herzegovina,BIH,2015,87.03
Botswana,BWA,2000,72.12
Botswana,BWA,2005,74.77
Botswana,BWA,2010,77.61
Botswana,BWA,2015,80.07
Brazil,BRA,2000,193.67
Brazil,BRA,2005,194.49
Brazil,BRA,2010,195.5
Brazil,BRA,2015,196.18
Brunei,BRN,2000,329.37
Brunei,BRN,2005,325.96
Brunei,BRN,2010,323.26
Brunei,BRN,2015,323.68
Bulgaria,BGR,2000,79.7
Bulgaria,BGR,2005,82.99
Bulgaria,BGR,2010,88.04
Bulgaria,BGR,2015,92.86
Burkina Faso,BFA,2000,85.95
Burkina Faso,BFA,2005,86.23
Burkina Faso,BFA,2010,86.03
Burkina Faso,BFA,2015,86.17
Burundi,BDI,2000,159.9
Burundi,BDI,2005,166.57
Burundi,BDI,2010,167
Burundi,BDI,2015,166.78
Cambodia,KHM,2000,63.4
Cambodia,KHM,2005,63
Cambodia,KHM,2010,62.71
Cambodia,KHM,2015,62.39
Cameroon,CMR,2000,232.28
Cameroon,CMR,2005,232.25
Cameroon,CMR,2010,232.28
Cameroon,CMR,2015,232.3
Canada,CAN,2000,66.48
Canada,CAN,2005,65.24
Canada,CAN,2010,64.6
Cape Verde,CPV,2000,95.02
Cape Verde,CPV,2005,94.51
Cape Verde,CPV,2010,95.19
Cape Verde,CPV,2015,95.44
Caribbean,,2000,167.392
Caribbean,,2005,171.66908
Caribbean,,2010,149.29544
Caribbean,,2015,147.70003
Caucasus and Central Asia,,2000,43.21813
Caucasus and Central Asia,,2005,44.20715
Caucasus and Central Asia,,2010,43.61252
Caucasus and Central Asia,,2015,46.13542
Central African Republic,CAF,2000,221.97
Central African Republic,CAF,2005,221.31
Central African Republic,CAF,2010,220.65
Central African Republic,CAF,2015,219.98
Central America,,2000,78.18863
Central America,,2005,77.51904
Central America,,2010,76.75067
Central America,,2015,75.98695
Central and Southern Asia,,2000,54.72102
Central and Southern Asia,,2005,54.97252
Central and Southern Asia,,2010,55.82509
Central and Southern Asia,,2015,52.08978
Chad,TCD,2000,91.53
Chad,TCD,2005,91.52
Chad,TCD,2010,91.5
Chad,TCD,2015,91.49
Chile,CHL,2000,139.83
Chile,CHL,2005,139.04
Chile,CHL,2010,138.47
Chile,CHL,2015,140.25
China,CHN,2000,48.61
China,CHN,2005,48.51
China,CHN,2010,51.12
China,CHN,2015,52.54
Colombia,COL,2000,262.66
Colombia,COL,2005,263.07
Colombia,COL,2010,263.64
Colombia,COL,2015,263.66
Comoros,COM,2000,64.67
Comoros,COM,2005,65
Comoros,COM,2010,65.64
Comoros,COM,2015,64.32
Congo,COG,2000,263.3
Congo,COG,2005,263.27
Congo,COG,2010,263.26
Congo,COG,2015,263.28
Costa Rica,CRI,2000,156.57
Costa Rica,CRI,2005,156.56
Costa Rica,CRI,2010,156.62
