Entity,Code,Year,"2.3.2 - Average income of small-scale food producers, PPP (constant 2011 international $) - SI_AGR_SSFP ($)"
Albania,ALB,2005,1967.35
Armenia,ARM,2010,961.76
Armenia,ARM,2013,984.24
Bangladesh,BGD,2010,793.36
Bolivia,BOL,2008,1609.56
Bulgaria,BGR,2007,1177.25
Burkina Faso,BFA,2014,634.57
Cambodia,KHM,2009,983.37
Cameroon,CMR,2014,2711.74
Canada,CAN,2016,-1537
Ecuador,ECU,2006,490.48
Ecuador,ECU,2014,812.28
Ethiopia,ETH,2013,376.78
Ethiopia,ETH,2015,510.38
Georgia,GEO,2013,1476.24
Georgia,GEO,2014,1754.63
Georgia,GEO,2015,1649.08
Ghana,GHA,2013,1044.76
Guatemala,GTM,2011,535.06
Guatemala,GTM,2014,524.71
India,IND,2005,1082.32
India,IND,2012,1306.14
Iraq,IRQ,2007,2992.58
Iraq,IRQ,2012,2766.49
Kenya,KEN,2005,666.93
Kyrgyzstan,KGZ,2013,2014.35
Malawi,MWI,2004,135.07
Malawi,MWI,2011,223.69
Malawi,MWI,2013,505.24
Mali,MLI,2014,1156.29
Mexico,MEX,2014,896.49
Mongolia,MNG,2014,2848.73
Mozambique,MOZ,2009,263.91
Nepal,NPL,2011,897.39
Nicaragua,NIC,2014,706.04
Niger,NER,2011,216.28
Niger,NER,2014,266.99
Nigeria,NGA,2013,789.01
Nigeria,NGA,2016,921.54
Pakistan,PAK,2014,3093.21
Panama,PAN,2008,518.65
Peru,PER,2010,831.6
Peru,PER,2014,776.44
Peru,PER,2015,749.11
Rwanda,RWA,2013,184.82
Senegal,SEN,2011,681.65
Serbia,SRB,2007,1365.97
Sierra Leone,SLE,2011,865.73
Tanzania,TZA,2009,378.83
Tanzania,TZA,2011,488.09
Tanzania,TZA,2013,503.5
Timor,TLS,2007,1031.36
Uganda,UGA,2009,638.95
Uganda,UGA,2011,587.37
Uganda,UGA,2012,570.56
Uganda,UGA,2013,557.22
Vietnam,VNM,2010,2810.28
