Entity,Code,Year,Annual freshwater withdrawals (m³)
Afghanistan,AFG,1975,10700000000
Afghanistan,AFG,1987,26110000000
Afghanistan,AFG,2000,20280000000
Albania,ALB,1990,1200000000
Albania,ALB,2000,1838000000
Albania,ALB,2006,1311000000
Algeria,DZA,1970,2000000000
Algeria,DZA,1975,2500000000
Algeria,DZA,1980,3000000000
Algeria,DZA,1985,3500000000
Algeria,DZA,1990,4436000000
Algeria,DZA,2001,5706000000
Algeria,DZA,2012,7810000000
Angola,AGO,1987,480000000
Angola,AGO,2000,640400000
Angola,AGO,2005,705700000
Antigua and Barbuda,ATG,1990,1700000
Antigua and Barbuda,ATG,2005,5100000
Antigua and Barbuda,ATG,2012,4400000
Argentina,ARG,1976,27600000000
Argentina,ARG,1995,28580000000
Argentina,ARG,2011,37690000000
Armenia,ARM,1995,2925000000
Armenia,ARM,2002,1733000000
Armenia,ARM,2007,2858000000
Armenia,ARM,2012,2941000000
Armenia,ARM,2015,3272000000
Australia,AUS,1996,22030000000
Australia,AUS,2001,21500000000
Australia,AUS,2005,18510000000
Australia,AUS,2012,15450000000
Australia,AUS,2015,16760000000.000002
Austria,AUT,1980,3340000000
Austria,AUT,1985,3578000000
Austria,AUT,1990,3805000000
Austria,AUT,1997,3642000000
Austria,AUT,2002,3666000000
Austria,AUT,2010,3492000000
Azerbaijan,AZE,1997,12510000000
Azerbaijan,AZE,2002,10070000000
Azerbaijan,AZE,2005,12210000000
Azerbaijan,AZE,2012,11970000000
Bahrain,BHR,1990,186900000
Bahrain,BHR,2003,238700000
Bangladesh,BGD,2008,35870000000
Barbados,BRB,1962,30000000
Barbados,BRB,1996,81000000
Barbados,BRB,2005,70000000
Belarus,BLR,1995,1980000000
Belarus,BLR,2000,1837000000
Belarus,BLR,2005,1706000000
Belarus,BLR,2010,1548000000
Belarus,BLR,2013,1514000000
Belgium,BEL,1980,9030000000
Belgium,BEL,1997,7690000000
Belgium,BEL,2002,6735000000
Belgium,BEL,2007,6214000000
Belgium,BEL,2009,6002000000
Belize,BLZ,1987,20000000
Belize,BLZ,2000,101000000
Benin,BEN,1985,110000000
Benin,BEN,2001,130000000
Bhutan,BTN,2008,337900000
Bolivia,BOL,1987,1240000000
Bolivia,BOL,2009,2088000000
Bosnia and Herzegovina,BIH,2005,334100000
Bosnia and Herzegovina,BIH,2012,329000000
Bosnia and Herzegovina,BIH,2013,327900000
Botswana,BWA,1985,90000000
Botswana,BWA,1992,113000000
Botswana,BWA,1995,143400000
Botswana,BWA,2000,194000000
Brazil,BRA,1987,35040000000
Brazil,BRA,1996,54830000000
Brazil,BRA,2006,58070000000
Brazil,BRA,2010,74780000000
Brunei,BRN,1991,76000000
Brunei,BRN,1994,92000000
Bulgaria,BGR,1980,14180000000
Bulgaria,BGR,1985,14090000000
Bulgaria,BGR,1990,7494000000
Bulgaria,BGR,2002,6589000000
Bulgaria,BGR,2007,6202000000
Bulgaria,BGR,2012,5715000000
Bulgaria,BGR,2015,5629000000
Burkina Faso,BFA,1985,290000000
Burkina Faso,BFA,1992,376000000
Burkina Faso,BFA,2001,715700000
Burkina Faso,BFA,2005,818000000
Burundi,BDI,1987,100000000
Burundi,BDI,2000,288000000
Cambodia,KHM,2006,2184000000
Cameroon,CMR,1987,396000000
Cameroon,CMR,1992,400000000
Cameroon,CMR,2000,966400000
Canada,CAN,1986,42200000000
Canada,CAN,1991,45090000000
Canada,CAN,1996,42210000000
Canada,CAN,2007,41320000000
Canada,CAN,2009,38800000000
Cape Verde,CPV,2001,20300000
Central African Republic,CAF,1987,19400000
Central African Republic,CAF,2000,66199999.99999999
Central African Republic,CAF,2005,72500000
Chad,TCD,1987,181000000
Chad,TCD,2002,849200000
Chad,TCD,2005,879600000
Chile,CHL,1992,20290000000
Chile,CHL,2006,35360000000
China,CHN,1980,443700000000
China,CHN,1985,481100000000
China,CHN,1990,500000000000
China,CHN,1993,525400000000
China,CHN,2000,549800000000
China,CHN,2007,571300000000
China,CHN,2012,599800000000
China,CHN,2015,594200000000
Colombia,COL,2000,7746000000
Colombia,COL,2008,11770000000
Comoros,COM,1999,10000000
Congo,COG,1987,40000000
Congo,COG,2002,46000000
Costa Rica,CRI,2013,2347000000
Cote d'Ivoire,CIV,1987,709000000
Cote d'Ivoire,CIV,1990,1100000000
Cote d'Ivoire,CIV,1994,1232000000
