Entity,Code,Year,15.2.1 - Forest area net change rate (%) - AG_LND_FRSTCHG (%)
Afghanistan,AFG,2005,0
Afghanistan,AFG,2010,0
Afghanistan,AFG,2015,0
Africa,,2005,-0.49606
Africa,,2010,-0.52834
Africa,,2015,-0.47105
Albania,ALB,2005,0.33827
Albania,ALB,2010,-0.15642
Albania,ALB,2015,-0.12397
Algeria,DZA,2005,-0.55068
Algeria,DZA,2010,4.54216
Algeria,DZA,2015,0.39314
American Samoa,ASM,2005,-0.18796
American Samoa,ASM,2010,-0.18975
American Samoa,ASM,2015,-0.19156
Americas,,2005,-0.27986
Americas,,2010,-0.1757
Americas,,2015,-0.12197
Andorra,AND,2005,0
Andorra,AND,2010,0
Andorra,AND,2015,0
Angola,AGO,2005,-0.20983
Angola,AGO,2010,-0.21205
Angola,AGO,2015,-0.21432
Anguilla,AIA,2005,0
Anguilla,AIA,2010,0
Anguilla,AIA,2015,0
Antigua and Barbuda,ATG,2005,-0.40324
Antigua and Barbuda,ATG,2010,0
Antigua and Barbuda,ATG,2015,0
Argentina,ARG,2005,-1.07366
Argentina,ARG,2010,-1.07639
Argentina,ARG,2015,-1.06015
Armenia,ARM,2005,-0.06013
Armenia,ARM,2010,-0.06031
Armenia,ARM,2015,0.06035
Aruba,ABW,2005,0
Aruba,ABW,2010,0
Aruba,ABW,2015,0
Asia,,2005,0.52306
Asia,,2010,0.29225
Asia,,2015,0.13389
"Asia, Central",,2005,0.11001
"Asia, Central",,2010,-0.40161
"Asia, Central",,2015,-0.15917
Australia,AUS,2005,-0.18697
Australia,AUS,2010,-0.70398
Australia,AUS,2015,0.24874
Australia and New Zealand,,2005,-0.16691
Australia and New Zealand,,2010,-0.65604
Australia and New Zealand,,2015,0.23004
Austria,AUT,2005,0.06765
Austria,AUT,2010,0.0467
Austria,AUT,2015,0.04659
Azerbaijan,AZE,2005,0.12358
Azerbaijan,AZE,2010,2.82488
Azerbaijan,AZE,2015,2.47485
Bahamas,BHS,2005,0
Bahamas,BHS,2010,0
Bahamas,BHS,2015,0
Bahrain,BHR,2005,3.84386
Bahrain,BHR,2010,3.26224
Bahrain,BHR,2015,2.80405
Bangladesh,BGD,2005,-0.17774
Bangladesh,BGD,2010,-0.17934
Bangladesh,BGD,2015,-0.18096
Barbados,BRB,2005,0
Barbados,BRB,2010,0
Barbados,BRB,2015,0
Belarus,BLR,2005,0.39098
Belarus,BLR,2010,0.23127
Belarus,BLR,2015,0.2321
Belgium,BEL,2005,0.20595
Belgium,BEL,2010,0.2068
Belgium,BEL,2015,0.06451
Belize,BLZ,2005,-0.59318
Belize,BLZ,2010,-0.35748
Belize,BLZ,2015,-0.36329
Benin,BEN,2005,-1.00807
Benin,BEN,2010,-1.06159
Benin,BEN,2015,-1.12111
Bermuda,BMU,2005,0
Bermuda,BMU,2010,0
Bermuda,BMU,2015,0
Bhutan,BTN,2005,0.37813
Bhutan,BTN,2010,0.37111
Bhutan,BTN,2015,0.36435
Bolivia,BOL,2005,-0.45578
Bolivia,BOL,2010,-0.87499
Bolivia,BOL,2015,-0.51952
Bonaire Sint Eustatius and Saba,BES,2005,0
Bonaire Sint Eustatius and Saba,BES,2010,0
Bonaire Sint Eustatius and Saba,BES,2015,0
Bosnia and Herzegovina,BIH,2005,0
Bosnia and Herzegovina,BIH,2010,0
Bosnia and Herzegovina,BIH,2015,0
Botswana,BWA,2005,-0.96292
Botswana,BWA,2010,-1.01164
Botswana,BWA,2015,-0.91703
Brazil,BRA,2005,-0.56419
Brazil,BRA,2010,-0.3288
Brazil,BRA,2015,-0.19819
British Virgin Islands,VGB,2005,-0.05456
British Virgin Islands,VGB,2010,-0.10953
British Virgin Islands,VGB,2015,-0.11013
Brunei,BRN,2005,-0.40631
Brunei,BRN,2010,-0.46707
Brunei,BRN,2015,0
Bulgaria,BGR,2005,1.58454
Bulgaria,BGR,2010,0.46673
Bulgaria,BGR,2015,0.45608
Burkina Faso,BFA,2005,-0.97597
Burkina Faso,BFA,2010,-1.02956
Burkina Faso,BFA,2015,-1.08175
Burundi,BDI,2005,-1.77938
Burundi,BDI,2010,6.92725
Burundi,BDI,2015,1.75546
Cambodia,KHM,2005,-1.45338
Cambodia,KHM,2010,-1.21645
Cambodia,KHM,2015,-1.29526
Cameroon,CMR,2005,-1.01516
Cameroon,CMR,2010,-1.06945
Cameroon,CMR,2015,-1.12989
Canada,CAN,2005,-0.013
Canada,CAN,2010,-0.01577
Canada,CAN,2015,-0.01342
Cape Verde,CPV,2005,0.36281
Cape Verde,CPV,2010,0.35635
Cape Verde,CPV,2015,1.10651
Caribbean,,2005,1.40658
Caribbean,,2010,1.24426
Caribbean,,2015,1.3009
Caucasus and Central Asia,,2005,0.10306
Caucasus and Central Asia,,2010,-0.07477
Caucasus and Central Asia,,2015,0.0482
Cayman Islands,CYM,2005,0
Cayman Islands,CYM,2010,0
Cayman Islands,CYM,2015,0
Central African Republic,CAF,2005,-0.06973
Central African Republic,CAF,2010,-0.06997
Central African Republic,CAF,2015,-0.07022
Central America,,2005,-0.4484
Central America,,2010,-0.39906
Central America,,2015,-0.27996
Central and Southern Asia,,2005,0.63696
Central and Southern Asia,,2010,0.31624
Central and Southern Asia,,2015,0.11135
Chad,TCD,2005,-0.59185
Chad,TCD,2010,-2.15222
Chad,TCD,2015,-2.41206
Chile,CHL,2005,0.26136
Chile,CHL,2010,0.23453
Chile,CHL,2015,1.78814
China,CHN,2005,1.75045
China,CHN,2010,0.7719
China,CHN,2015,0.7572
Colombia,COL,2005,-0.52229
Colombia,COL,2010,-0.52577
Colombia,COL,2015,-0.0456
Comoros,COM,2005,-1.37038
Comoros,COM,2010,-1.47123
Comoros,COM,2015,-1.04735
Congo,COG,2005,-0.07548
Congo,COG,2010,-0.05346
Congo,COG,2015,-0.06881
Cook Islands,COK,2005,0
Cook Islands,COK,2010,0
Cook Islands,COK,2015,0
Costa Rica,CRI,2005,0.9498
Costa Rica,CRI,2010,0.89899
Costa Rica,CRI,2015,1.13333
Cote d'Ivoire,CIV,2005,-2.32114
Cote d'Ivoire,CIV,2010,-2.62638
Cote d'Ivoire,CIV,2015,-3.0241
Croatia,HRV,2005,0.19026
Croatia,HRV,2010,0.17803
Croatia,HRV,2015,0.02082
Cuba,CUB,2005,2.0649
Cuba,CUB,2010,1.68493
Cuba,CUB,2015,1.76471
Curacao,CUW,2005,0
Curacao,CUW,2010,0
Curacao,CUW,2015,0
Cyprus,CYP,2005,0.14421
Cyprus,CYP,2010,-0.00116
Cyprus,CYP,2015,-0.01632
Czech Republic,CZE,2005,0.07573
Czech Republic,CZE,2010,0.07544
Czech Republic,CZE,2015,0.07516
Democratic Republic of Congo,COD,2005,-0.19882
Democratic Republic of Congo,COD,2010,-0.20082
Democratic Republic of Congo,COD,2015,-0.20285
Denmark,DNK,2005,-0.96818
Denmark,DNK,2010,1.03278
Denmark,DNK,2015,0.84079
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2005,0.01921
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2010,0.09525
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2015,0.05023
Developing regions,,2005,-0.22721
Developing regions,,2010,-0.23957
Developing regions,,2015,-0.19977
Djibouti,DJI,2005,0
Djibouti,DJI,2010,0
Djibouti,DJI,2015,0
Dominica,DMA,2005,-0.57276
Dominica,DMA,2010,-0.5852
Dominica,DMA,2015,-0.60284
Dominican Republic,DOM,2005,2.14056
Dominican Republic,DOM,2010,1.92224
Dominican Republic,DOM,2015,1.76386
Eastern Africa,,2005,-0.64851
Eastern Africa,,2010,-0.72116
Eastern Africa,,2015,-0.60699
Eastern Asia,,2005,1.29122
Eastern Asia,,2010,0.70634
Eastern Asia,,2015,0.51706
Eastern Asia (excluding Japan),,2005,1.44028
Eastern Asia (excluding Japan),,2010,0.78351
Eastern Asia (excluding Japan),,2015,0.57434
Eastern Europe,,2005,0.00745
Eastern Europe,,2010,0.1603
Eastern Europe,,2015,0.01392
Eastern and South-Eastern Asia,,2005,0.49431
Eastern and South-Eastern Asia,,2010,0.26586
Eastern and South-Eastern Asia,,2015,0.1162
Ecuador,ECU,2005,-0.5802
Ecuador,ECU,2010,-0.59753
Ecuador,ECU,2015,-0.61594
Egypt,EGY,2005,2.57572
Egypt,EGY,2010,0.8799
Egypt,EGY,2015,0.84282
El Salvador,SLV,2005,-1.42561
El Salvador,SLV,2010,-1.46632
El Salvador,SLV,2015,-1.58239
Equatorial Guinea,GNQ,2005,-0.67456
Equatorial Guinea,GNQ,2010,-0.71032
Equatorial Guinea,GNQ,2015,-0.72381
Eritrea,ERI,2005,-0.28076
Eritrea,ERI,2010,-0.28476
Eritrea,ERI,2015,-0.28887
Estonia,EST,2005,0.08012
Estonia,EST,2010,-0.16037
Estonia,EST,2015,-0.01791
Ethiopia,ETH,2005,-1.05067
Ethiopia,ETH,2010,-1.10733
Ethiopia,ETH,2015,0.32803
Europe,,2005,0.0368
Europe,,2010,0.18702
Europe,,2015,0.03767
Europe and Northern America,,2005,0.03433
Europe and Northern America,,2010,0.15784
Europe and Northern America,,2015,0.03654
"Europe, Western",,2005,0.39323
"Europe, Western",,2010,0.37392
"Europe, Western",,2015,0.35445
Faeroe Islands,FRO,2005,0
Faeroe Islands,FRO,2010,0
Faeroe Islands,FRO,2015,0
Federated States of Micronesia,,2005,0.04287
Federated States of Micronesia,,2010,0.04247
Federated States of Micronesia,,2015,0.04238
Fiji,FJI,2005,0.34078
Fiji,FJI,2010,-0.08767
Fiji,FJI,2015,0.48473
Finland,FIN,2005,-0.27056
Finland,FIN,2010,0.06765
Finland,FIN,2015,0
France,FRA,2005,0.7373
France,FRA,2010,0.70005
France,FRA,2015,0.67874
French Guiana,GUF,2005,-0.03424
French Guiana,GUF,2010,-0.07357
French Guiana,GUF,2015,-0.01967
French Polynesia,PYF,2005,4.36402
French Polynesia,PYF,2010,3.58042
French Polynesia,PYF,2015,0
Gabon,GAB,2005,0
Gabon,GAB,2010,0
Gabon,GAB,2015,0.893
Gambia,GMB,2005,0.43012
Gambia,GMB,2010,0.37928
Gambia,GMB,2015,0.33113
Georgia,GEO,2005,0.08606
Georgia,GEO,2010,0.3574
Georgia,GEO,2015,0
Germany,DEU,2005,0.05279
Germany,DEU,2010,0.04388
Germany,DEU,2015,0.01752
Ghana,GHA,2005,0.3212
Ghana,GHA,2010,0.31176
Ghana,GHA,2015,0.30697
Greece,GRC,2005,0.82493
Greece,GRC,2010,0.79225
Greece,GRC,2015,0.76206
Greenland,GRL,2005,0
Greenland,GRL,2010,0
Greenland,GRL,2015,0
Grenada,GRD,2005,0
Grenada,GRD,2010,0
Grenada,GRD,2015,0
Guadeloupe,GLP,2005,-0.04521
Guadeloupe,GLP,2010,-0.33143
