Entity,Code,Year,Indicator:Alcohol expenditure as a per cent of total household expenditure (%)
Albania,ALB,2007,2.1
Albania,ALB,2012,5.1
Albania,ALB,2013,4.8
Albania,ALB,2014,4.5
Armenia,ARM,1990,4
Armenia,ARM,1991,2.8
Armenia,ARM,1992,2.8
Armenia,ARM,1993,3.4
Armenia,ARM,1994,2.2
Armenia,ARM,1995,1.7
Armenia,ARM,1996,1.3
Armenia,ARM,1999,1.9
Armenia,ARM,2001,1.6
Armenia,ARM,2002,1.6
Armenia,ARM,2003,1.6
Armenia,ARM,2004,1.6
Armenia,ARM,2005,1.6
Armenia,ARM,2006,1.7
Armenia,ARM,2007,1.7
Armenia,ARM,2008,1.5
Armenia,ARM,2009,1.6
Armenia,ARM,2010,1.8
Armenia,ARM,2011,1.8
Armenia,ARM,2012,1.5
Armenia,ARM,2013,1.4
Australia,AUS,1991,4.1
Australia,AUS,1993,2.9
Australia,AUS,1994,2.9
Australia,AUS,1999,2.9
Australia,AUS,2004,2.6
Australia,AUS,2010,2.6
Austria,AUT,1995,1.7
Austria,AUT,1996,1.6
Austria,AUT,1997,1.6
Austria,AUT,1998,1.5
Austria,AUT,1999,1.5
Austria,AUT,2000,1.4
Austria,AUT,2001,1.4
Austria,AUT,2002,1.4
Austria,AUT,2003,1.4
Austria,AUT,2004,1.4
Austria,AUT,2005,1.4
Austria,AUT,2006,1.3
Austria,AUT,2007,1.3
Austria,AUT,2008,1.4
Austria,AUT,2009,1.4
Austria,AUT,2010,1.4
Austria,AUT,2011,1.4
Austria,AUT,2012,1.4
Austria,AUT,2013,1.4
Austria,AUT,2014,1.4
Azerbaijan,AZE,1990,1.3
Azerbaijan,AZE,1991,1.3
Azerbaijan,AZE,1992,1
Azerbaijan,AZE,1993,1.2
Azerbaijan,AZE,1994,1.1
Azerbaijan,AZE,1995,0.9
Azerbaijan,AZE,2005,0.6
Azerbaijan,AZE,2008,0.6
Azerbaijan,AZE,2009,0.6
Azerbaijan,AZE,2010,0.5
Azerbaijan,AZE,2011,0.5
Azerbaijan,AZE,2012,0.5
Azerbaijan,AZE,2013,0.5
Azerbaijan,AZE,2014,0.5
Belarus,BLR,1990,7.4
Belarus,BLR,1991,5.9
Belarus,BLR,1992,5.4
Belarus,BLR,1993,5.6
Belarus,BLR,1994,4.7
Belarus,BLR,1995,3.3
Belarus,BLR,2000,3.5
Belarus,BLR,2005,2.5
Belarus,BLR,2007,2.3
Belarus,BLR,2008,2.3
