Entity,Code,Year,"All basins (rivers, lakes & aquifers) (%)",Aquifers (%),River and lake basins (%)
Afghanistan,AFG,2017,,,51.69
Albania,ALB,2017,75.58,89.32,66.82
Algeria,DZA,2017,,,0
Andorra,AND,2017,,,4.38
Angola,AGO,2017,79,15.24,100
Armenia,ARM,2017,0.12,0,0.13
Austria,AUT,2017,100,100,100
Belgium,BEL,2017,100,100,100
Benin,BEN,2017,81.46,49.15,96.29
Bosnia and Herzegovina,BIH,2017,92.6,73.32,96.14
Botswana,BWA,2017,100,100,100
Brazil,BRA,2017,62.36,0,98.17
Bulgaria,BGR,2017,99.55,98,100
Burkina Faso,BFA,2017,,,93.58
Burundi,BDI,2017,88.34,79.39,92.03
Cameroon,CMR,2018,88.57,96.32,86.58
Canada,CAN,2017,88,0,100
Chad,TCD,2017,50.41,53.09,48.29
Chile,CHL,2017,0,0,0
Colombia,COL,2017,,,1.08
Cote d'Ivoire,CIV,2017,,,18.04
Croatia,HRV,2017,,,100
Czech Republic,CZE,2017,100,100,100
Democratic Republic of Congo,COD,2017,,,99.61
Dominican Republic,DOM,2017,0,0,0
Ecuador,ECU,2017,100,100,100
El Salvador,SLV,2017,0,0,0
Equatorial Guinea,GNQ,2017,0,,0
Estonia,EST,2017,100,100,100
Finland,FIN,2017,100,,100
France,FRA,2017,,,53.1
Gabon,GAB,2017,0,0,0
Gambia,GMB,2017,48.99,0,98.98
Georgia,GEO,2017,0,0,0
Germany,DEU,2017,100,100,100
Ghana,GHA,2017,91.05,95.68,88.36
Greece,GRC,2017,,,58.14
Greece,GRC,2018,32.76,1,
Guinea,GIN,2017,,,66.78
Honduras,HND,2017,0,0,0
Hungary,HUN,2017,100,100,100
Iraq,IRQ,2017,13.55,0,17.34
Ireland,IRL,2017,100,100,100
Italy,ITA,2017,100,100,100
Jordan,JOR,2017,21.91,13.91,61.69
Kazakhstan,KAZ,2017,72,0,100
Kenya,KEN,2017,26.75,0,35.91
Latvia,LVA,2017,97,95.04,100
Lesotho,LSO,2017,50,0,100
Lithuania,LTU,2017,34.96,50.17,26.83
Luxembourg,LUX,2017,100,100,100
Macedonia,MKD,2017,,,13.58
Malaysia,MYS,2017,,,13.38
Mali,MLI,2017,75.35,60.67,99.91
Mexico,MEX,2017,1.31,0,2.33
Moldova,MDA,2018,95.81,100,93.33
Montenegro,MNE,2017,79.51,0,84.24
Morocco,MAR,2017,0,0,0
Namibia,NAM,2017,100,100,100
Netherlands,NLD,2017,100,100,100
Niger,NER,2017,90,74.99,100
Nigeria,NGA,2017,,,100
Norway,NOR,2017,59.47,54.41,59.55
Panama,PAN,2018,9.13,0,9.31
Paraguay,PRY,2017,50.86,0,100
Peru,PER,2017,,,14.11
Poland,POL,2017,,100,72.35
Portugal,PRT,2017,,,100
Qatar,QAT,2017,0,0,
Romania,ROU,2017,100,100,100
Senegal,SEN,2017,34,0,100
Serbia,SRB,2017,90.01,78.09,92.3
Sierra Leone,SLE,2017,7.02,,7.02
Slovakia,SVK,2017,100,100,100
Slovenia,SVN,2017,100,100,100
Somalia,SOM,2017,0,0,0
South Africa,ZAF,2017,,,100
South Korea,KOR,2017,0,0,0
Spain,ESP,2017,,,100
Sweden,SWE,2017,,100,
Sweden,SWE,2018,78,,78.04
Switzerland,CHE,2017,,,93.5
Togo,TGO,2017,60.17,76.02,55.63
Tunisia,TUN,2017,80,100,0
Uganda,UGA,2017,83.56,0,97.54
Ukraine,UKR,2017,,,36.9
United Kingdom,GBR,2017,0,0,0
Uzbekistan,UZB,2017,,,59.28
Venezuela,VEN,2017,3.51,0,6.96
Vietnam,VNM,2018,,,29.29
World,OWID_WRL,2017,59.16,48.52,63.28
Zambia,ZMB,2017,70.03,0,76.79
Zimbabwe,ZWE,2017,,,76.24
