Entity,Code,Year,Urban poverty headcount ratio at national poverty lines (% of urban population) (% of urban population)
Afghanistan,AFG,2007,28.9
Afghanistan,AFG,2011,27.6
Albania,ALB,2002,19.5
Albania,ALB,2005,11.2
Albania,ALB,2008,10.1
Albania,ALB,2012,13.6
Algeria,DZA,2011,5.8
Angola,AGO,2008,18.7
Argentina,ARG,2003,47.8
Argentina,ARG,2004,40.2
Argentina,ARG,2005,33.8
Argentina,ARG,2006,26.9
Argentina,ARG,2007,20.6
Argentina,ARG,2008,15.3
Argentina,ARG,2009,13.2
Argentina,ARG,2010,9.9
Argentina,ARG,2011,6.5
Argentina,ARG,2012,5.4
Argentina,ARG,2013,4.7
Armenia,ARM,2001,48.5
Armenia,ARM,2008,27.6
Armenia,ARM,2009,33.7
Armenia,ARM,2010,35.7
Armenia,ARM,2011,35.2
Armenia,ARM,2012,32.5
Armenia,ARM,2013,32.2
Armenia,ARM,2014,30
Azerbaijan,AZE,2001,55.7
Bangladesh,BGD,2000,35.2
Bangladesh,BGD,2005,28.4
Bangladesh,BGD,2010,21.3
Belarus,BLR,2000,37.9
Belarus,BLR,2005,10.9
Belarus,BLR,2006,9.1
Belarus,BLR,2007,5.6
Belarus,BLR,2008,4.4
Belarus,BLR,2009,4
Belarus,BLR,2010,3.8
Belarus,BLR,2011,5.8
Belarus,BLR,2012,5.2
Belarus,BLR,2013,4.2
Belarus,BLR,2014,3.7
Belarus,BLR,2015,3.7
Benin,BEN,2006,35.4
Benin,BEN,2007,28.3
Benin,BEN,2009,29.8
Benin,BEN,2011,31.4
Bhutan,BTN,2007,1.7
Bhutan,BTN,2012,1.8
Bolivia,BOL,2000,54.5
Bolivia,BOL,2001,54.3
Bolivia,BOL,2002,53.9
Bolivia,BOL,2004,54.4
Bolivia,BOL,2005,51.1
Bolivia,BOL,2006,50.3
Bolivia,BOL,2007,50.9
Bolivia,BOL,2008,48.7
Bolivia,BOL,2009,43.5
Bolivia,BOL,2011,36.8
Bolivia,BOL,2012,34.7
Bolivia,BOL,2013,29
Bolivia,BOL,2014,30.6
Botswana,BWA,1985,30
Botswana,BWA,1993,24.7
Botswana,BWA,2002,19.4
Botswana,BWA,2009,11
Burkina Faso,BFA,2003,22.2
Burkina Faso,BFA,2009,25.2
Burkina Faso,BFA,2014,13.7
Burundi,BDI,2014,27.6
Cambodia,KHM,2003,28.5
Cambodia,KHM,2006,18.3
Cambodia,KHM,2008,15.1
Cambodia,KHM,2009,8
Cambodia,KHM,2010,8.5
Cambodia,KHM,2011,8.7
Cambodia,KHM,2012,6.4
Cameroon,CMR,1996,41.4
Cameroon,CMR,2001,17.9
