Entity,Code,Year,Top 1% share of net personal wealth (WID 2018)
China,CHN,1978,15.79725
China,CHN,1979,15.7972515
China,CHN,1980,15.79725
China,CHN,1981,15.79725
China,CHN,1982,15.79725
China,CHN,1983,15.7972515
China,CHN,1984,15.79725
China,CHN,1985,15.79725
China,CHN,1986,15.79725
China,CHN,1987,15.79725
China,CHN,1988,15.7972515
China,CHN,1989,15.79725
China,CHN,1990,15.79725
China,CHN,1991,15.79725
China,CHN,1992,15.79725
China,CHN,1993,15.79725
China,CHN,1994,15.7972515
China,CHN,1995,15.79725
China,CHN,1996,17.0144156
China,CHN,1997,17.923221
China,CHN,1998,18.6276749
China,CHN,1999,19.1897363
China,CHN,2000,19.648613
China,CHN,2001,20.0303301
China,CHN,2002,20.3528434
China,CHN,2003,20.5001935
China,CHN,2004,22.4525511
China,CHN,2005,23.7034768
China,CHN,2006,26.2048215
China,CHN,2007,28.4824282
China,CHN,2008,29.2496175
China,CHN,2009,31.1558098
China,CHN,2010,30.450359
China,CHN,2011,27.9194802
China,CHN,2012,27.2453427
China,CHN,2013,27.2461355
China,CHN,2014,27.8310061
China,CHN,2015,29.6289712
France,FRA,1807,44.135651
France,FRA,1817,48.4394699
France,FRA,1827,46.669811
France,FRA,1837,45.7861811
France,FRA,1847,51.1815429
France,FRA,1857,51.5544117
France,FRA,1867,49.2745489
France,FRA,1877,45.367229
France,FRA,1887,48.943001
France,FRA,1902,52.3612082
France,FRA,1903,54.3647528
France,FRA,1904,56.3263714
France,FRA,1905,56.9032073
France,FRA,1907,54.4162273
France,FRA,1909,55.3711116
France,FRA,1910,54.0226102
France,FRA,1911,55.4071426
France,FRA,1912,55.2998602
France,FRA,1913,54.561007
France,FRA,1914,54.5639217
France,FRA,1915,54.0020824
France,FRA,1916,53.7610173
France,FRA,1917,53.4865916
France,FRA,1918,52.8084874
France,FRA,1919,52.0013392
France,FRA,1920,50.4585087
France,FRA,1921,49.396041
France,FRA,1922,48.4598994
France,FRA,1923,47.7312386
France,FRA,1924,47.426939
France,FRA,1925,44.6986795
France,FRA,1926,45.3574389
France,FRA,1927,47.7407813
France,FRA,1929,49.0732104
France,FRA,1930,49.606511
France,FRA,1931,46.3319689
France,FRA,1932,44.7955996
France,FRA,1933,44.5934504
France,FRA,1935,43.74533
France,FRA,1936,43.2666898
France,FRA,1937,42.636779
France,FRA,1938,39.6942288
France,FRA,1939,39.9934888
France,FRA,1940,34.7851396
France,FRA,1941,34.8426312
France,FRA,1942,36.2469792
France,FRA,1943,38.0550712
France,FRA,1944,37.8379405
France,FRA,1945,35.1722091
France,FRA,1946,30.7016999
France,FRA,1947,30.2390814
France,FRA,1948,30.5667698
France,FRA,1949,33.264631
France,FRA,1950,33.3773404
France,FRA,1951,32.7243805
France,FRA,1952,32.0551008
France,FRA,1953,31.898129
France,FRA,1954,30.4307401
France,FRA,1955,31.0825586
France,FRA,1956,31.3312709
France,FRA,1957,33.2434386
France,FRA,1958,31.1223298
France,FRA,1959,32.5632513
France,FRA,1960,31.4349294
France,FRA,1962,32.0073485
France,FRA,1964,32.5498402
France,FRA,1965,31.8616211
France,FRA,1966,30.4876089
France,FRA,1967,29.2049587
France,FRA,1968,25.7107288
France,FRA,1969,23.3322993
France,FRA,1970,20.3266203
France,FRA,1971,19.8403001
France,FRA,1972,19.7850004
France,FRA,1973,19.7785899
France,FRA,1974,19.1330597
France,FRA,1975,18.6811507
France,FRA,1976,18.3030397
France,FRA,1977,17.8670093
France,FRA,1978,17.6020101
France,FRA,1979,17.4355403
France,FRA,1980,17.2069699
France,FRA,1981,16.67469
France,FRA,1982,16.1787704
France,FRA,1983,15.9276605
France,FRA,1984,15.8037201
France,FRA,1985,16.1395803
France,FRA,1986,16.7873293
France,FRA,1987,17.0586497
France,FRA,1988,17.3697904
France,FRA,1989,17.6592097
France,FRA,1990,17.1825796
France,FRA,1991,18.0915803
France,FRA,1992,17.4980894
France,FRA,1993,18.7895507
France,FRA,1994,19.3238303
France,FRA,1995,19.6422502
France,FRA,1996,23.3208805
France,FRA,1997,25.3081799
France,FRA,1998,26.6985804
France,FRA,1999,27.8355092
France,FRA,2000,28.1123012
France,FRA,2001,27.0501107
France,FRA,2002,25.4023314
France,FRA,2003,24.6183202
France,FRA,2004,23.7641797
France,FRA,2005,22.5110605
France,FRA,2006,22.1320704
France,FRA,2007,22.3748505
France,FRA,2008,21.59293
France,FRA,2009,21.7010707
France,FRA,2010,23.5065907
France,FRA,2011,22.9755104
France,FRA,2012,22.3577902
France,FRA,2013,22.90456
France,FRA,2014,23.3788595
Russia,RUS,1995,21.5031222
Russia,RUS,1996,23.4241724
Russia,RUS,1997,31.5069526
Russia,RUS,1998,35.744977
Russia,RUS,1999,41.2465841
Russia,RUS,2000,39.1768605
Russia,RUS,2001,42.8869188
Russia,RUS,2002,38.4764552
Russia,RUS,2003,42.7291721
Russia,RUS,2004,43.0843264
Russia,RUS,2005,40.450418
Russia,RUS,2006,36.7203325
Russia,RUS,2007,35.9593362
Russia,RUS,2008,39.3181652
Russia,RUS,2009,31.7463189
Russia,RUS,2010,34.2773527
Russia,RUS,2011,35.9799266
Russia,RUS,2012,35.4666352
Russia,RUS,2013,35.4626745
Russia,RUS,2014,36.9069368
Russia,RUS,2015,42.5818324
United Kingdom,GBR,1895,70.0078249
United Kingdom,GBR,1896,70.5110073
United Kingdom,GBR,1897,71.3764727
United Kingdom,GBR,1898,70.1990306
United Kingdom,GBR,1899,71.4167357
United Kingdom,GBR,1900,70.6519008
United Kingdom,GBR,1901,73.7716317
United Kingdom,GBR,1902,70.6519008
United Kingdom,GBR,1903,70.3399181
United Kingdom,GBR,1904,70.0078249
United Kingdom,GBR,1905,71.346283
United Kingdom,GBR,1906,72.0910013
United Kingdom,GBR,1907,69.9373782
United Kingdom,GBR,1908,68.6492205
United Kingdom,GBR,1909,70.2493489
United Kingdom,GBR,1910,68.8303709
United Kingdom,GBR,1911,67.6520228
United Kingdom,GBR,1912,68.7790453
United Kingdom,GBR,1913,66.5845573
United Kingdom,GBR,1914,67.214042
United Kingdom,GBR,1919,62.5506461
United Kingdom,GBR,1920,57.3149741
United Kingdom,GBR,1921,60.5379164
