Entity,Code,Year,Global injuries from natural disasters (injured)
All natural disasters,,1900,0
All natural disasters,,1901,0
All natural disasters,,1902,0
All natural disasters,,1903,23
All natural disasters,,1904,0
All natural disasters,,1905,18
All natural disasters,,1906,0
All natural disasters,,1907,0
All natural disasters,,1908,0
All natural disasters,,1909,0
All natural disasters,,1910,0
All natural disasters,,1911,199
All natural disasters,,1912,1775
All natural disasters,,1913,0
All natural disasters,,1914,20
All natural disasters,,1915,22
All natural disasters,,1916,0
All natural disasters,,1917,0
All natural disasters,,1918,0
All natural disasters,,1919,0
All natural disasters,,1920,650
All natural disasters,,1921,0
All natural disasters,,1922,0
All natural disasters,,1923,103733
All natural disasters,,1924,0
All natural disasters,,1925,0
All natural disasters,,1926,0
All natural disasters,,1927,60
All natural disasters,,1928,209
All natural disasters,,1929,1121
All natural disasters,,1930,6208
All natural disasters,,1931,882
All natural disasters,,1932,115
All natural disasters,,1933,0
All natural disasters,,1934,1189
All natural disasters,,1935,500
All natural disasters,,1936,20
All natural disasters,,1937,0
All natural disasters,,1938,800
All natural disasters,,1939,58568
All natural disasters,,1940,0
All natural disasters,,1941,0
All natural disasters,,1942,16
All natural disasters,,1943,7131
All natural disasters,,1944,35000
All natural disasters,,1945,0
All natural disasters,,1946,0
All natural disasters,,1947,0
All natural disasters,,1948,6300
All natural disasters,,1949,528
All natural disasters,,1950,200
All natural disasters,,1951,350
All natural disasters,,1952,1702
All natural disasters,,1953,155
All natural disasters,,1954,601
All natural disasters,,1955,2147
All natural disasters,,1956,2589
All natural disasters,,1957,5359
All natural disasters,,1958,1019
All natural disasters,,1959,0
All natural disasters,,1960,28377
All natural disasters,,1961,0
All natural disasters,,1962,3267
All natural disasters,,1963,4053
All natural disasters,,1964,5185
All natural disasters,,1965,620082
All natural disasters,,1966,10415
All natural disasters,,1967,7813
All natural disasters,,1968,107213
All natural disasters,,1969,22269
All natural disasters,,1970,153357
All natural disasters,,1971,5098
All natural disasters,,1972,23047
All natural disasters,,1973,16345
All natural disasters,,1974,19394
All natural disasters,,1975,4320
All natural disasters,,1976,270758
All natural disasters,,1977,31771
All natural disasters,,1978,10129
All natural disasters,,1979,15591
All natural disasters,,1980,51483
All natural disasters,,1981,53986
All natural disasters,,1982,32965
All natural disasters,,1983,12288
All natural disasters,,1984,5643
All natural disasters,,1985,45088
All natural disasters,,1986,32138
All natural disasters,,1987,9616
All natural disasters,,1988,36536
All natural disasters,,1989,35238
All natural disasters,,1990,123957
All natural disasters,,1991,190192
All natural disasters,,1992,291056
All natural disasters,,1993,45709
All natural disasters,,1994,47339
All natural disasters,,1995,118235
All natural disasters,,1996,314925
All natural disasters,,1997,57234
All natural disasters,,1998,166164
All natural disasters,,1999,114100
All natural disasters,,2000,14744
All natural disasters,,2001,278897
All natural disasters,,2002,52633
All natural disasters,,2003,207312
All natural disasters,,2004,1884112
All natural disasters,,2005,157239
All natural disasters,,2006,168950
All natural disasters,,2007,73127
All natural disasters,,2008,396350
All natural disasters,,2009,46522
All natural disasters,,2010,339230
All natural disasters,,2011,50394
All natural disasters,,2012,63770
All natural disasters,,2013,121912
All natural disasters,,2014,38020
All natural disasters,,2015,128471
All natural disasters,,2016,25934
All natural disasters,,2017,18549
All natural disasters,,2019,46618
Drought,,2017,0
Drought,,2019,0
Earthquake,,1912,1575
Earthquake,,1914,20
Earthquake,,1920,650
Earthquake,,1923,103733
Earthquake,,1927,50
Earthquake,,1928,209
Earthquake,,1929,1121
Earthquake,,1930,208
Earthquake,,1931,882
Earthquake,,1932,115
Earthquake,,1934,1189
Earthquake,,1936,20
Earthquake,,1938,800
Earthquake,,1939,58568
Earthquake,,1942,16
Earthquake,,1943,7131
Earthquake,,1944,35000
Earthquake,,1948,6000
Earthquake,,1949,528
Earthquake,,1950,200
Earthquake,,1951,150
Earthquake,,1952,450
Earthquake,,1953,155
Earthquake,,1954,601
Earthquake,,1955,2141
Earthquake,,1956,2589
Earthquake,,1957,5248
Earthquake,,1958,1019
Earthquake,,1960,28000
Earthquake,,1962,3267
Earthquake,,1963,3843
Earthquake,,1964,2961
Earthquake,,1965,2091
Earthquake,,1966,4389
Earthquake,,1967,4849
Earthquake,,1968,5953
Earthquake,,1969,2244
Earthquake,,1970,146685
Earthquake,,1971,2751
Earthquake,,1972,21332
Earthquake,,1973,162
Earthquake,,1974,17487
Earthquake,,1975,3372
Earthquake,,1976,268901
Earthquake,,1977,12981
Earthquake,,1978,926
Earthquake,,1979,6526
Earthquake,,1980,23142
Earthquake,,1981,7455
Earthquake,,1982,5044
Earthquake,,1983,7686
Earthquake,,1984,811
Earthquake,,1985,33825
Earthquake,,1986,21260
Earthquake,,1987,607
Earthquake,,1988,20482
Earthquake,,1989,5269
Earthquake,,1990,113416
Earthquake,,1991,6260
Earthquake,,1992,17371
Earthquake,,1993,31609
Earthquake,,1994,12988
Earthquake,,1995,38722
Earthquake,,1996,18686
Earthquake,,1997,10453
Earthquake,,1998,20219
Earthquake,,1999,71604
Earthquake,,2000,6852
Earthquake,,2001,179663
Earthquake,,2002,4756
Earthquake,,2003,43327
Earthquake,,2004,48720
Earthquake,,2005,146904
Earthquake,,2006,140437
Earthquake,,2007,6103
Earthquake,,2008,370939
Earthquake,,2009,6387
Earthquake,,2010,323981
Earthquake,,2011,13203
Earthquake,,2012,41776
Earthquake,,2013,21568
Earthquake,,2014,5832
Earthquake,,2015,81865
Earthquake,,2016,12017
Earthquake,,2017,13756
Earthquake,,2019,6806
Extreme temperature,,1975,600
Extreme temperature,,1987,17
Extreme temperature,,1988,200
Extreme temperature,,1993,560
Extreme temperature,,1994,184
Extreme temperature,,1995,278
Extreme temperature,,1996,200
Extreme temperature,,1998,386
Extreme temperature,,1999,246
Extreme temperature,,2000,1709
Extreme temperature,,2001,2311
Extreme temperature,,2002,3786
Extreme temperature,,2003,200
Extreme temperature,,2004,1800413
Extreme temperature,,2005,1246
Extreme temperature,,2006,11754
Extreme temperature,,2007,3164
Extreme temperature,,2008,682
Extreme temperature,,2009,27061
Extreme temperature,,2010,11
Extreme temperature,,2011,22472
Extreme temperature,,2012,5657
Extreme temperature,,2013,55325
Extreme temperature,,2014,18500
Extreme temperature,,2015,14933
Extreme temperature,,2016,1120
Extreme temperature,,2017,539
Extreme temperature,,2019,24422
Extreme weather,,1912,200
Extreme weather,,1927,10
Extreme weather,,1930,6000
Extreme weather,,1935,500
Extreme weather,,1948,300
Extreme weather,,1951,200
Extreme weather,,1952,1252
Extreme weather,,1957,111
Extreme weather,,1960,377
Extreme weather,,1964,2224
Extreme weather,,1965,601939
Extreme weather,,1966,1582
Extreme weather,,1967,1023
Extreme weather,,1968,1053
Extreme weather,,1969,16135
Extreme weather,,1970,5032
Extreme weather,,1971,347
Extreme weather,,1972,750
Extreme weather,,1973,15372
Extreme weather,,1974,907
Extreme weather,,1975,255
Extreme weather,,1976,1818
Extreme weather,,1977,11740
Extreme weather,,1978,7508
Extreme weather,,1979,7353
Extreme weather,,1980,1105
Extreme weather,,1981,12919
Extreme weather,,1982,1996
Extreme weather,,1983,3892
Extreme weather,,1984,4545
Extreme weather,,1985,5920
Extreme weather,,1986,9666
Extreme weather,,1987,4190
Extreme weather,,1988,9464
Extreme weather,,1989,18276
Extreme weather,,1990,2113
Extreme weather,,1991,151142
Extreme weather,,1992,21261
Extreme weather,,1993,11536
Extreme weather,,1994,11109
Extreme weather,,1995,7679
Extreme weather,,1996,42671
Extreme weather,,1997,17532
Extreme weather,,1998,21193
Extreme weather,,1999,12447
Extreme weather,,2000,4384
Extreme weather,,2001,92028
Extreme weather,,2002,3912
Extreme weather,,2003,9889
Extreme weather,,2004,18803
Extreme weather,,2005,6907
Extreme weather,,2006,14248
Extreme weather,,2007,57003
Extreme weather,,2008,23460
Extreme weather,,2009,10454
Extreme weather,,2010,2692
Extreme weather,,2011,12306
Extreme weather,,2012,6771
Extreme weather,,2013,36808
Extreme weather,,2014,8025
Extreme weather,,2015,7149
Extreme weather,,2016,3485
Extreme weather,,2017,1562
Flood,,1963,10
Flood,,1965,15245
Flood,,1966,2384
Flood,,1967,1841
Flood,,1968,100200
Flood,,1969,3890
Flood,,1970,1603
Flood,,1971,2000
Flood,,1972,965
Flood,,1973,811
Flood,,1975,93
Flood,,1976,20
Flood,,1977,7000
Flood,,1978,1488
Flood,,1979,670
Flood,,1980,27186
Flood,,1981,33612
Flood,,1982,25292
Flood,,1983,442
Flood,,1984,233
Flood,,1985,87
Flood,,1986,694
Flood,,1987,1488
Flood,,1988,5235
Flood,,1989,11312
Flood,,1990,8313
Flood,,1991,32427
Flood,,1992,252120
Flood,,1993,1570
Flood,,1994,22785
Flood,,1995,71074
Flood,,1996,252827
Flood,,1997,29090
Flood,,1998,123961
Flood,,1999,29767
Flood,,2000,1509
Flood,,2001,4768
Flood,,2002,38895
Flood,,2003,153150
Flood,,2004,15877
Flood,,2005,1921
Flood,,2006,2199
Flood,,2007,6650
Flood,,2008,973
Flood,,2009,2003
Flood,,2010,10383
Flood,,2011,2345
Flood,,2012,8918
Flood,,2013,6667
Flood,,2014,4933
Flood,,2015,23218
Flood,,2016,8936
Flood,,2017,1576
Flood,,2019,3625
Impact,,2013,1491
Landslide,,1968,7
Landslide,,1974,1000
Landslide,,1976,16
Landslide,,1977,50
Landslide,,1978,7
Landslide,,1979,18
Landslide,,1980,10
Landslide,,1982,115
Landslide,,1983,233
Landslide,,1984,54
Landslide,,1985,26
Landslide,,1986,28
Landslide,,1987,3000
Landslide,,1988,1155
Landslide,,1989,381
Landslide,,1991,140
Landslide,,1992,160
Landslide,,1993,241
Landslide,,1994,66
Landslide,,1995,422
Landslide,,1996,401
Landslide,,1997,80
Landslide,,1998,281
Landslide,,1999,31
Landslide,,2000,232
Landslide,,2001,117
Landslide,,2002,169
Landslide,,2003,448
Landslide,,2004,76
Landslide,,2005,104
Landslide,,2006,76
Landslide,,2007,10
Landslide,,2008,149
Landslide,,2009,88
Landslide,,2010,687
Landslide,,2011,58
Landslide,,2012,226
Landslide,,2013,34
Landslide,,2014,89
Landslide,,2015,125
Landslide,,2016,48
Landslide,,2017,617
Landslide,,2019,175
Mass movement (dry),,1903,23
Mass movement (dry),,1905,18
Mass movement (dry),,1915,22
Mass movement (dry),,1955,6
Mass movement (dry),,1965,22
Mass movement (dry),,1970,37
Mass movement (dry),,1983,15
Mass movement (dry),,1987,56
Mass movement (dry),,1990,115
Mass movement (dry),,1992,69
Mass movement (dry),,1993,36
Mass movement (dry),,2004,13
Mass movement (dry),,2006,5
Mass movement (dry),,2008,72
Mass movement (dry),,2013,2
Storm,,2019,11470
Volcanic activity,,1911,199
Volcanic activity,,1963,200
Volcanic activity,,1965,785
Volcanic activity,,1966,2060
Volcanic activity,,1976,3
Volcanic activity,,1979,1024
Volcanic activity,,1982,500
Volcanic activity,,1985,5000
Volcanic activity,,1986,437
Volcanic activity,,1987,35
Volcanic activity,,1991,215
Volcanic activity,,1992,75
Volcanic activity,,1993,27
Volcanic activity,,1994,24
Volcanic activity,,1995,6
Volcanic activity,,1996,29
Volcanic activity,,2002,400
Volcanic activity,,2004,105
Volcanic activity,,2006,13
Volcanic activity,,2007,15
Volcanic activity,,2008,7
Volcanic activity,,2010,455
Volcanic activity,,2011,5
Volcanic activity,,2014,141
Volcanic activity,,2017,0
Volcanic activity,,2019,23
Wildfire,,1967,100
Wildfire,,1978,200
Wildfire,,1980,40
Wildfire,,1982,18
Wildfire,,1983,20
Wildfire,,1985,230
Wildfire,,1986,53
Wildfire,,1987,223
Wildfire,,1991,8
Wildfire,,1993,130
Wildfire,,1994,183
Wildfire,,1995,54
Wildfire,,1996,111
Wildfire,,1997,79
Wildfire,,1998,124
Wildfire,,1999,5
Wildfire,,2000,58
Wildfire,,2001,10
Wildfire,,2002,715
Wildfire,,2003,298
Wildfire,,2004,105
Wildfire,,2005,157
Wildfire,,2006,218
Wildfire,,2007,182
Wildfire,,2008,68
Wildfire,,2009,529
Wildfire,,2010,1021
Wildfire,,2011,5
Wildfire,,2012,422
Wildfire,,2013,17
Wildfire,,2014,500
Wildfire,,2015,1181
Wildfire,,2016,328
Wildfire,,2017,499
Wildfire,,2019,97
