Entity,Code,Year,Share of global CO₂ emissions (production-based) (%),Share of global population (%),Share of global population (%)
Afghanistan,AFG,2015,0.03,0.459,0.459
Africa,,2015,3.788,16.251,16.251
Albania,ALB,2015,0.017,0.039,0.039
Algeria,DZA,2015,0.445,0.542,0.542
Andorra,AND,2015,0.001,0.001,0.001
Angola,AGO,2015,0.101,0.379,0.379
Anguilla,AIA,2015,0,0,0
Antigua and Barbuda,ATG,2015,0.002,0.001,0.001
Argentina,ARG,2015,0.599,0.59,0.59
Armenia,ARM,2015,0.016,0.04,0.04
Aruba,ABW,2015,0.003,0.001,0.001
Asia,,2015,55.976,59.668,59.668
Australia,AUS,2015,1.159,0.323,0.323
Austria,AUT,2015,0.192,0.117,0.117
Azerbaijan,AZE,2015,0.117,0.131,0.131
Bahamas,BHS,2015,0.007,0.005,0.005
Bahrain,BHR,2015,0.098,0.019,0.019
Bangladesh,BGD,2015,0.229,2.192,2.192
Barbados,BRB,2015,0.004,0.004,0.004
Belarus,BLR,2015,0.164,0.129,0.129
Belgium,BEL,2015,0.289,0.153,0.153
Belize,BLZ,2015,0.001,0.005,0.005
Benin,BEN,2015,0.018,0.144,0.144
Bermuda,BMU,2015,0.002,0.001,0.001
Bhutan,BTN,2015,0.003,0.011,0.011
Bolivia,BOL,2015,0.06,0.146,0.146
Bosnia and Herzegovina,BIH,2015,0.067,0.048,0.048
Botswana,BWA,2015,0.02,0.03,0.03
Brazil,BRA,2015,1.506,2.8,2.8
British Virgin Islands,VGB,2015,0.001,0,0
Brunei,BRN,2015,0.028,0.006,0.006
Bulgaria,BGR,2015,0.139,0.098,0.098
Burkina Faso,BFA,2015,0.008,0.246,0.246
Burundi,BDI,2015,0.001,0.139,0.139
Cambodia,KHM,2015,0.02,0.211,0.211
Cameroon,CMR,2015,0.021,0.31,0.31
Canada,CAN,2015,1.637,0.487,0.487
Cape Verde,CPV,2015,0.001,0.007,0.007
Cayman Islands,CYM,2015,0.002,0.001,0.001
Central African Republic,CAF,2015,0.001,0.062,0.062
Chad,TCD,2015,0.002,0.19,0.19
Chile,CHL,2015,0.239,0.241,0.241
China,CHN,2015,29.252,18.643,18.643
Colombia,COL,2015,0.248,0.656,0.656
Comoros,COM,2015,0,0.011,0.011
Congo,COG,2015,0.009,0.068,0.068
Cook Islands,COK,2015,0,0,0
Costa Rica,CRI,2015,0.023,0.065,0.065
Cote d'Ivoire,CIV,2015,0.034,0.314,0.314
Croatia,HRV,2015,0.052,0.057,0.057
Cuba,CUB,2015,0.104,0.156,0.156
Curacao,CUW,2015,0.018,0.002,0.002
Cyprus,CYP,2015,0.02,0.016,0.016
Czech Republic,CZE,2015,0.299,0.143,0.143
Democratic Republic of Congo,COD,2015,0.014,1.036,1.036
Denmark,DNK,2015,0.103,0.077,0.077
Djibouti,DJI,2015,0.002,0.013,0.013
Dominica,DMA,2015,0,0.001,0.001
Dominican Republic,DOM,2015,0.064,0.143,0.143
Ecuador,ECU,2015,0.123,0.219,0.219
Egypt,EGY,2015,0.597,1.275,1.275
El Salvador,SLV,2015,0.019,0.086,0.086
Equatorial Guinea,GNQ,2015,0.017,0.016,0.016
Eritrea,ERI,2015,0.002,0.066,0.066
Estonia,EST,2015,0.046,0.018,0.018
Ethiopia,ETH,2015,0.033,1.358,1.358
Europe,,2015,16.234,10.148,10.148
Faeroe Islands,FRO,2015,0.002,0.001,0.001
Falkland Islands,FLK,2015,0,0,0
Fiji,FJI,2015,0.004,0.012,0.012
Finland,FIN,2015,0.128,0.074,0.074
