Entity,Code,Year,9.3.1 - Proportion of small-scale industries in total industry value added (%) - NV_IND_SSIS (%)
Albania,ALB,2009,25.83
Albania,ALB,2010,22.29
Albania,ALB,2011,23.43
Albania,ALB,2012,21.19
Albania,ALB,2013,21.05
Australia,AUS,2000,16.75
Australia,AUS,2001,16.94
Australia,AUS,2002,21.37
Australia,AUS,2003,20.08
Australia,AUS,2004,20.65
Australia,AUS,2005,19.35
Australia,AUS,2006,19.56
Australia,AUS,2007,18.06
Australia,AUS,2008,20.81
Australia,AUS,2009,20.81
Australia,AUS,2010,19.4
Australia,AUS,2011,20.73
Australia,AUS,2012,19.79
Australia,AUS,2013,20.19
Australia,AUS,2014,19.01
Australia,AUS,2015,21.52
Australia,AUS,2016,19.34
Austria,AUT,2000,11.16
Austria,AUT,2001,11.9
Austria,AUT,2002,11.4
Austria,AUT,2003,11.86
Austria,AUT,2004,11.5
Austria,AUT,2005,10.45
Austria,AUT,2006,10.19
Austria,AUT,2007,9.87
Austria,AUT,2008,8.64
Austria,AUT,2009,9.23
Austria,AUT,2010,8.75
Austria,AUT,2011,8.47
Austria,AUT,2012,8.35
Austria,AUT,2013,8.57
Austria,AUT,2014,8.54
Austria,AUT,2015,8.19
Austria,AUT,2016,7.91
Bangladesh,BGD,2012,3.99
Belarus,BLR,2016,4.01
Belgium,BEL,2000,9.51
Belgium,BEL,2001,10.37
Belgium,BEL,2003,11.51
Belgium,BEL,2004,9.81
Belgium,BEL,2005,9.53
Belgium,BEL,2006,8.97
Belgium,BEL,2007,10
Belgium,BEL,2008,10.67
Belgium,BEL,2009,11.18
Belgium,BEL,2010,10.24
Belgium,BEL,2011,9.92
Belgium,BEL,2012,9.7
Belgium,BEL,2013,8.97
Belgium,BEL,2014,9.5
Belgium,BEL,2015,8.94
Belgium,BEL,2016,9.13
Bosnia and Herzegovina,BIH,2011,16.43
Bosnia and Herzegovina,BIH,2012,18.26
Bosnia and Herzegovina,BIH,2013,15.1
Bosnia and Herzegovina,BIH,2014,21.21
Bosnia and Herzegovina,BIH,2015,21.54
Bosnia and Herzegovina,BIH,2016,20.36
Brazil,BRA,2008,6.53
Brazil,BRA,2009,7.67
Brazil,BRA,2010,7.39
Brazil,BRA,2011,8.42
Brazil,BRA,2012,9.32
Brazil,BRA,2013,9.48
Brazil,BRA,2014,9.78
Bulgaria,BGR,2002,9.09
Bulgaria,BGR,2003,9.67
Bulgaria,BGR,2004,8.36
Bulgaria,BGR,2005,7.87
Bulgaria,BGR,2006,8.49
Bulgaria,BGR,2007,8.96
Bulgaria,BGR,2008,11.32
Bulgaria,BGR,2009,11.73
Bulgaria,BGR,2010,10.13
Bulgaria,BGR,2011,9.19
Bulgaria,BGR,2012,10.16
Bulgaria,BGR,2013,10.32
Bulgaria,BGR,2014,10.07
Bulgaria,BGR,2015,10.16
Bulgaria,BGR,2016,9.42
Colombia,COL,2000,3.66
Colombia,COL,2001,3.5
Colombia,COL,2002,3.13
Colombia,COL,2003,4.6
Colombia,COL,2004,2.47
Colombia,COL,2005,2.67
Colombia,COL,2006,2.31
Colombia,COL,2007,2.23
Colombia,COL,2008,3.08
Colombia,COL,2009,3.24
Colombia,COL,2010,3.41
Colombia,COL,2011,5.04
Colombia,COL,2012,4.85
Colombia,COL,2013,4.39
Colombia,COL,2014,4.47
Colombia,COL,2015,4.71
Colombia,COL,2016,3.95
Croatia,HRV,2008,14.98
Croatia,HRV,2009,15.88
Croatia,HRV,2010,15.32
Croatia,HRV,2011,14.17
Croatia,HRV,2012,13.87
Croatia,HRV,2013,15.16
Croatia,HRV,2014,15.44
Croatia,HRV,2015,15.48
Croatia,HRV,2016,13.93
Cyprus,CYP,2000,39.9
Cyprus,CYP,2001,38.47
Cyprus,CYP,2002,37.99
Cyprus,CYP,2003,39.27
Cyprus,CYP,2004,39.67
Cyprus,CYP,2005,38.44
Cyprus,CYP,2006,38.9
Cyprus,CYP,2007,37.66
Cyprus,CYP,2008,38.42
Cyprus,CYP,2009,38.11
Cyprus,CYP,2010,36.88
Cyprus,CYP,2011,37.72
Cyprus,CYP,2012,36.73
Cyprus,CYP,2013,36.27
Cyprus,CYP,2014,35.36
Cyprus,CYP,2015,34.49
Cyprus,CYP,2016,33.26
Czech Republic,CZE,2000,9.64
Czech Republic,CZE,2001,7.89
Czech Republic,CZE,2002,13.23
Czech Republic,CZE,2003,12.79
Czech Republic,CZE,2004,12.03
Czech Republic,CZE,2005,13.33
Czech Republic,CZE,2006,14.06
Czech Republic,CZE,2007,12.63
Czech Republic,CZE,2008,12.85
Czech Republic,CZE,2009,12.77
Czech Republic,CZE,2010,11.06
Czech Republic,CZE,2011,10.98
Czech Republic,CZE,2012,10.82
Czech Republic,CZE,2013,10.25
Czech Republic,CZE,2014,9.68
Czech Republic,CZE,2015,10.04
Czech Republic,CZE,2016,9.59
Denmark,DNK,2000,12.43
Denmark,DNK,2001,12.03
Denmark,DNK,2002,11.8
Denmark,DNK,2003,12.13
Denmark,DNK,2004,12.01
Denmark,DNK,2005,11.24
Denmark,DNK,2006,11.33
Denmark,DNK,2007,11.33
Denmark,DNK,2008,11.01
Denmark,DNK,2009,11.69
Denmark,DNK,2010,11.02
Denmark,DNK,2011,9.27
Denmark,DNK,2012,8.9
Denmark,DNK,2013,8.74
Denmark,DNK,2014,8.43
Denmark,DNK,2015,8.08
Denmark,DNK,2016,9.58
Ecuador,ECU,2000,0.51
Ecuador,ECU,2001,1.21
Ecuador,ECU,2002,1.56
Ecuador,ECU,2003,1.05
Ecuador,ECU,2004,7.87
Ecuador,ECU,2005,1.23
Ecuador,ECU,2006,1.15
Ecuador,ECU,2007,0.86
Ecuador,ECU,2008,1.6
Ecuador,ECU,2009,1.02
Ecuador,ECU,2010,0.84
Ecuador,ECU,2011,1.47
Ecuador,ECU,2012,0.58
Ecuador,ECU,2013,1.33
Ecuador,ECU,2014,0.36
Ecuador,ECU,2015,0.48
Ecuador,ECU,2016,0.14
Estonia,EST,2000,10.27
Estonia,EST,2001,10.9
Estonia,EST,2002,12.04
Estonia,EST,2003,11.21
Estonia,EST,2004,10.76
Estonia,EST,2005,10.41
Estonia,EST,2006,11.35
Estonia,EST,2007,12.33
Estonia,EST,2008,12.31
Estonia,EST,2009,12.52
Estonia,EST,2010,13.99
Estonia,EST,2011,13.17
Estonia,EST,2012,13.33
Estonia,EST,2013,13.03
Estonia,EST,2014,13.17
Estonia,EST,2015,14.34
Estonia,EST,2016,14.4
Finland,FIN,2000,8.41
Finland,FIN,2001,8.79
Finland,FIN,2002,9.04
Finland,FIN,2003,9.21
Finland,FIN,2004,9.2
Finland,FIN,2005,9.91
Finland,FIN,2006,8.92
Finland,FIN,2007,9.18
Finland,FIN,2008,9.77
Finland,FIN,2009,12.26
Finland,FIN,2010,11.15
Finland,FIN,2011,11.98
Finland,FIN,2012,13.13
Finland,FIN,2013,12.44
Finland,FIN,2014,11.18
Finland,FIN,2015,10.71
Finland,FIN,2016,10.44
France,FRA,2000,12.08
France,FRA,2001,12.68
France,FRA,2002,12.79
France,FRA,2003,13.05
France,FRA,2004,11.64
France,FRA,2005,12
France,FRA,2006,13.3
France,FRA,2007,14.01
France,FRA,2008,15.91
France,FRA,2009,14.67
France,FRA,2010,15.35
France,FRA,2011,16.83
France,FRA,2012,14.28
France,FRA,2013,14.06
France,FRA,2014,13.23
France,FRA,2015,12.89
France,FRA,2016,12.86
Georgia,GEO,2015,13.73
