Entity,Code,Year,Infant (less than 1 year),"Neonatal (less than 28 days) (deaths per 1,000 live births)","Perinatal (stillbirths & less than 7 days) (deaths per 1,000 total births)","Postneonatal (28 days to 1 year) (deaths per 1,000 live births)"
England and Wales,,1993,6.3,4.2,8.9,2.1
England and Wales,,1994,6.2,4.1,8.9,2.1
England and Wales,,1995,6.1,4.2,8.8,2
England and Wales,,1996,6.1,4.1,8.6,2
England and Wales,,1997,5.9,3.9,8.3,2
England and Wales,,1998,5.7,3.8,8.2,1.9
England and Wales,,1999,5.8,3.9,8.2,1.9
England and Wales,,2000,5.6,3.9,8.2,1.7
England and Wales,,2001,5.4,3.6,8,1.9
England and Wales,,2002,5.2,3.6,8.3,1.7
England and Wales,,2003,5.3,3.6,8.6,1.7
England and Wales,,2004,5,3.5,8.4,1.6
England and Wales,,2005,5,3.4,8,1.6
England and Wales,,2006,5,3.5,8,1.5
England and Wales,,2007,4.7,3.3,7.7,1.5
England and Wales,,2008,4.6,3.2,7.5,1.4
England and Wales,,2009,4.5,3.1,7.6,1.4
England and Wales,,2010,4.3,2.9,7.4,1.3
England and Wales,,2011,4.2,2.9,7.5,1.2
England and Wales,,2012,4,2.8,7,1.2
England and Wales,,2013,3.8,2.7,6.7,1.2
England and Wales,,2014,3.6,2.5,6.6,1.1
England and Wales,,2015,3.7,2.6,6.5,1.1
England and Wales,,2016,3.8,2.7,6.6,1.1
